trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	MDD_hc_expression	-	56	0.034408	0.0019024	0.1037	0.37002
baseline_thickness	marginal	MDD_hc_finemap	-	160	0.05378	0.0050118	0.070046	0.22132
baseline_thickness	marginal	MDD_hc_protein	-	10	-0.19932	-0.0046628	0.20781	0.83125
baseline_thickness	marginal	MDD_highconf	-	213	0.014785	0.0015874	0.058287	0.39988
baseline_thickness	marginal	MDD_pool	-	1881	0.011131	0.0033835	0.024996	0.32805
baseline_thickness	marginal	MDD_pool_not_hc	-	1668	0.0092385	0.0026615	0.026195	0.36217
global_slope	marginal	MDD_hc_expression	-	56	-0.036373	-0.0020111	0.10296	0.63806
global_slope	marginal	MDD_hc_finemap	-	160	0.093721	0.0087339	0.069539	0.088882
global_slope	marginal	MDD_hc_protein	-	10	0.07399	0.0017309	0.20632	0.35994
global_slope	marginal	MDD_highconf	-	213	0.049398	0.0053036	0.057866	0.19666
global_slope	marginal	MDD_pool	-	1881	0.029149	0.0088603	0.024815	0.12008
global_slope	marginal	MDD_pool_not_hc	-	1668	0.022036	0.0063482	0.026006	0.19841
MDD	marginal	MDD_hc_expression	-	56	1.8309	0.09915	0.15527	3.0271e-32
MDD	marginal	MDD_hc_finemap	-	160	2.3251	0.21225	0.094722	1.0837e-130
MDD	marginal	MDD_hc_protein	-	10	1.2664	0.029015	0.34364	0.00011473
MDD	marginal	MDD_highconf	-	213	2.1159	0.22254	0.081226	1.6259e-146
MDD	marginal	MDD_pool	-	1880	1.2366	0.36891	0.033581	4.239e-284
MDD	marginal	MDD_pool_not_hc	-	1667	0.94762	0.26785	0.036044	3.8594e-149
SCZ	marginal	MDD_hc_expression	-	56	1.0567	0.058133	0.16102	2.7411e-11
SCZ	marginal	MDD_hc_finemap	-	160	0.76497	0.070935	0.10091	1.8264e-14
SCZ	marginal	MDD_hc_protein	-	10	0.47083	0.01096	0.33844	0.082097
SCZ	marginal	MDD_highconf	-	213	0.80235	0.085719	0.085889	5.423e-21
SCZ	marginal	MDD_pool	-	1884	0.5843	0.17694	0.035588	2.4709e-60
SCZ	marginal	MDD_pool_not_hc	-	1671	0.49122	0.14099	0.037524	3.0912e-39
slope_PC1	marginal	MDD_hc_expression	-	56	-0.032946	-0.0018216	0.10111	0.62772
slope_PC1	marginal	MDD_hc_finemap	-	160	0.050959	0.0047489	0.068298	0.2278
slope_PC1	marginal	MDD_hc_protein	-	10	0.0010981	2.569e-05	0.20263	0.49784
slope_PC1	marginal	MDD_highconf	-	213	0.031772	0.0034113	0.056832	0.28807
slope_PC1	marginal	MDD_pool	-	1881	0.0010552	0.00032074	0.024372	0.48273
slope_PC1	marginal	MDD_pool_not_hc	-	1668	-0.0052584	-0.0015149	0.025541	0.58155
slope_PC2	marginal	MDD_hc_expression	-	56	0.097489	0.0053902	0.10181	0.16916
slope_PC2	marginal	MDD_hc_finemap	-	160	0.059868	0.0055792	0.068772	0.19201
slope_PC2	marginal	MDD_hc_protein	-	10	-0.020043	-0.0004689	0.20404	0.53913
slope_PC2	marginal	MDD_highconf	-	213	0.078826	0.0084633	0.057224	0.084187
slope_PC2	marginal	MDD_pool	-	1881	0.018999	0.005775	0.024541	0.21942
slope_PC2	marginal	MDD_pool_not_hc	-	1668	0.0049443	0.0014244	0.025719	0.42378
slope_PC3	marginal	MDD_hc_expression	-	56	-0.024218	-0.001339	0.10093	0.59481
slope_PC3	marginal	MDD_hc_finemap	-	160	-0.027567	-0.002569	0.068174	0.65702
slope_PC3	marginal	MDD_hc_protein	-	10	0.12272	0.002871	0.20226	0.27201
slope_PC3	marginal	MDD_highconf	-	213	-0.012242	-0.0013144	0.056729	0.58543
slope_PC3	marginal	MDD_pool	-	1881	-0.0064013	-0.0019457	0.024328	0.60377
slope_PC3	marginal	MDD_pool_not_hc	-	1668	-0.0045574	-0.0013129	0.025495	0.57093
