trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	SCZ_locus_pool	-	457	0.18275	0.028444	0.051397	0.00018904
baseline_thickness	marginal	SCZ_pool_not_prio	-	356	0.20745	0.028577	0.058321	0.00018811
baseline_thickness	marginal	SCZ_prio_finemap	-	61	0.15687	0.0090181	0.11494	0.086174
baseline_thickness	marginal	SCZ_prio_rare	-	7	-0.0065889	-0.0001285	0.38599	0.50681
baseline_thickness	marginal	SCZ_prio_smr	-	44	-0.0098011	-0.00047875	0.14439	0.52706
baseline_thickness	marginal	SCZ_prioritised	-	101	0.067262	0.0049701	0.090655	0.22906
baseline_thickness	marginal	SCZ_prioritised_pc	-	101	0.067262	0.0049701	0.090655	0.22906
global_slope	marginal	SCZ_locus_pool	-	457	0.10861	0.016904	0.05149	0.017468
global_slope	marginal	SCZ_pool_not_prio	-	356	0.14238	0.019613	0.058424	0.0074118
global_slope	marginal	SCZ_prio_finemap	-	61	-0.060207	-0.0034611	0.11513	0.69949
global_slope	marginal	SCZ_prio_rare	-	7	0.63207	0.012327	0.38655	0.051017
global_slope	marginal	SCZ_prio_smr	-	44	0.08605	0.0042033	0.14461	0.27591
global_slope	marginal	SCZ_prioritised	-	101	-0.0061188	-0.00045212	0.090797	0.52686
global_slope	marginal	SCZ_prioritised_pc	-	101	-0.0061188	-0.00045212	0.090797	0.52686
MDD	marginal	SCZ_locus_pool	-	460	0.73138	0.1123	0.069703	5.7691e-26
MDD	marginal	SCZ_pool_not_prio	-	356	0.57458	0.077832	0.078566	1.3716e-13
MDD	marginal	SCZ_prio_finemap	-	64	1.1216	0.06492	0.16108	1.7341e-12
MDD	marginal	SCZ_prio_rare	-	7	2.0878	0.040025	0.50738	1.9484e-05
MDD	marginal	SCZ_prio_smr	-	44	0.6734	0.032335	0.21645	0.00093357
MDD	marginal	SCZ_prioritised	-	104	0.99969	0.073684	0.13258	2.48e-14
MDD	marginal	SCZ_prioritised_pc	-	104	0.99969	0.073684	0.13258	2.48e-14
SCZ	marginal	SCZ_locus_pool	-	457	2.4149	0.37536	0.06709	4.2675e-272
SCZ	marginal	SCZ_pool_not_prio	-	356	2.1271	0.29264	0.076388	1.4303e-166
SCZ	marginal	SCZ_prio_finemap	-	61	2.7711	0.15909	0.16289	1.3963e-64
SCZ	marginal	SCZ_prio_rare	-	7	3.9668	0.07726	0.52226	1.628e-14
SCZ	marginal	SCZ_prio_smr	-	44	2.1835	0.10651	0.21112	2.7682e-25
SCZ	marginal	SCZ_prioritised	-	101	2.5654	0.18931	0.13064	4.7222e-85
SCZ	marginal	SCZ_prioritised_pc	-	101	2.5654	0.18931	0.13064	4.7222e-85
slope_PC1	marginal	SCZ_locus_pool	-	457	-0.024466	-0.003808	0.051079	0.68403
slope_PC1	marginal	SCZ_pool_not_prio	-	356	0.032929	0.0045362	0.057959	0.28497
slope_PC1	marginal	SCZ_prio_finemap	-	61	-0.097301	-0.0055936	0.11419	0.80291
slope_PC1	marginal	SCZ_prio_rare	-	7	0.23238	0.004532	0.38343	0.27224
slope_PC1	marginal	SCZ_prio_smr	-	44	-0.25842	-0.012623	0.14342	0.9642
slope_PC1	marginal	SCZ_prioritised	-	101	-0.15555	-0.011494	0.090048	0.95795
