k	stratum	race	pct	n
3	EURlike	AmInd	0.36	7419
3	EURlike	Asian	0.32	7419
3	EURlike	Black	0.32	7419
3	EURlike	Multiple	6.36	7419
3	EURlike	Other/NA	1.39	7419
3	EURlike	White	91.24	7419
3	EURlike	Hispanic(any)	11.42	7419
3	cluster1	AmInd	0.22	2308
3	cluster1	Asian	0.04	2308
3	cluster1	Black	79.42	2308
3	cluster1	Multiple	17.29	2308
3	cluster1	Other/NA	2.56	2308
3	cluster1	White	0.48	2308
3	cluster1	Hispanic(any)	6.72	2308
3	cluster2	AmInd	1.67	1921
3	cluster2	Asian	13.9	1921
3	cluster2	Black	0.83	1921
3	cluster2	Multiple	15.93	1921
3	cluster2	Other/NA	26.65	1921
3	cluster2	White	41.02	1921
3	cluster2	Hispanic(any)	70.38	1921
4	EURlike	AmInd	0.36	7439
4	EURlike	Asian	0.54	7439
4	EURlike	Black	0.35	7439
4	EURlike	Multiple	6.43	7439
4	EURlike	Other/NA	1.4	7439
4	EURlike	White	90.93	7439
4	EURlike	Hispanic(any)	11.39	7439
4	cluster1	AmInd	0.22	2302
4	cluster1	Asian	0.04	2302
4	cluster1	Black	79.63	2302
4	cluster1	Multiple	17.07	2302
4	cluster1	Other/NA	2.56	2302
4	cluster1	White	0.48	2302
4	cluster1	Hispanic(any)	6.73	2302
4	cluster2	AmInd	2.24	1385
4	cluster2	Asian	1.01	1385
4	cluster2	Black	1.01	1385
4	cluster2	Multiple	4.48	1385
4	cluster2	Other/NA	35.31	1385
4	cluster2	White	55.96	1385
4	cluster2	Hispanic(any)	95.16	1385
4	cluster3	AmInd	0.19	522
4	cluster3	Asian	45.4	522
4	cluster3	Black	0.0	522
4	cluster3	Multiple	46.74	522
4	cluster3	Other/NA	4.21	522
4	cluster3	White	3.45	522
4	cluster3	Hispanic(any)	6.51	522
5	EURlike	AmInd	0.36	7226
5	EURlike	Asian	0.53	7226
5	EURlike	Black	0.1	7226
5	EURlike	Multiple	5.04	7226
5	EURlike	Other/NA	1.02	7226
5	EURlike	White	92.96	7226
5	EURlike	Hispanic(any)	10.48	7226
5	cluster1	AmInd	0.28	1794
5	cluster1	Asian	0.0	1794
5	cluster1	Black	94.09	1794
5	cluster1	Multiple	4.01	1794
5	cluster1	Other/NA	1.51	1794
5	cluster1	White	0.11	1794
5	cluster1	Hispanic(any)	2.45	1794
5	cluster2	AmInd	2.23	1344
5	cluster2	Asian	0.97	1344
5	cluster2	Black	0.37	1344
5	cluster2	Multiple	3.94	1344
5	cluster2	Other/NA	35.71	1344
5	cluster2	White	56.77	1344
5	cluster2	Hispanic(any)	95.61	1344
5	cluster3	AmInd	0.26	771
5	cluster3	Asian	0.39	771
5	cluster3	Black	22.44	771
5	cluster3	Multiple	58.88	771
5	cluster3	Other/NA	9.21	771
5	cluster3	White	8.82	771
5	cluster3	Hispanic(any)	30.48	771
5	cluster4	AmInd	0.19	513
5	cluster4	Asian	46.39	513
5	cluster4	Black	0.0	513
5	cluster4	Multiple	45.61	513
5	cluster4	Other/NA	4.29	513
5	cluster4	White	3.51	513
5	cluster4	Hispanic(any)	6.43	513
