label,site_icc,manufacturer_icc,region
lh_bankssts,0.00758,0.00101,bankssts
lh_caudalanteriorcingulate,0.00954,0.00132,caudalanteriorcingulate
lh_caudalmiddlefrontal,0.01584,0,caudalmiddlefrontal
lh_cuneus,0.02145,0.00697,cuneus
lh_entorhinal,0.00944,0.00011,entorhinal
lh_frontalpole,0.00933,0.00049,frontalpole
lh_fusiform,0.01884,0,fusiform
lh_inferiorparietal,0.04004,0.04969,inferiorparietal
lh_inferiortemporal,0.02411,0.00904,inferiortemporal
lh_insula,0.02805,0.00152,insula
lh_isthmuscingulate,0.01065,0,isthmuscingulate
lh_lateraloccipital,0.04001,0.00723,lateraloccipital
lh_lateralorbitofrontal,0.05039,0.03524,lateralorbitofrontal
lh_lingual,0.01414,0.00482,lingual
lh_medialorbitofrontal,0.04873,0.03518,medialorbitofrontal
lh_middletemporal,0.02368,0.01458,middletemporal
lh_paracentral,0.01448,0.00122,paracentral
lh_parahippocampal,0.01998,0.01013,parahippocampal
lh_parsopercularis,0.01364,0,parsopercularis
lh_parsorbitalis,0.02127,0.00073,parsorbitalis
lh_parstriangularis,0.02577,0.00437,parstriangularis
lh_pericalcarine,0.02991,0.01774,pericalcarine
lh_postcentral,0.00984,0.00375,postcentral
lh_posteriorcingulate,0.0136,0,posteriorcingulate
lh_precentral,0.00762,0.00038,precentral
lh_precuneus,0.0223,0.01159,precuneus
lh_rostralanteriorcingulate,0.02229,0.00061,rostralanteriorcingulate
lh_rostralmiddlefrontal,0.04782,0,rostralmiddlefrontal
lh_superiorfrontal,0.03852,0.0176,superiorfrontal
lh_superiorparietal,0.04136,0.03313,superiorparietal
lh_superiortemporal,0.02434,0.00263,superiortemporal
lh_supramarginal,0.07448,0.06267,supramarginal
lh_temporalpole,0.00761,0.00745,temporalpole
lh_transversetemporal,0.01597,0,transversetemporal
rh_bankssts,0.01371,7e-05,bankssts
rh_caudalanteriorcingulate,0.02021,0.00631,caudalanteriorcingulate
rh_caudalmiddlefrontal,0.01676,0.00248,caudalmiddlefrontal
rh_cuneus,0.011,0.00019,cuneus
rh_entorhinal,0.00808,0.00202,entorhinal
rh_frontalpole,0.01172,0.00073,frontalpole
rh_fusiform,0.02557,0.00338,fusiform
rh_inferiorparietal,0.01801,0,inferiorparietal
rh_inferiortemporal,0.01706,0,inferiortemporal
rh_insula,0.04165,0.00116,insula
rh_isthmuscingulate,0.00878,0.00207,isthmuscingulate
rh_lateraloccipital,0.03304,0.00106,lateraloccipital
rh_lateralorbitofrontal,0.02855,0.00282,lateralorbitofrontal
rh_lingual,0.01512,0.00186,lingual
rh_medialorbitofrontal,0.05497,0.02207,medialorbitofrontal
rh_middletemporal,0.05536,0.05369,middletemporal
rh_paracentral,0.03424,0.02366,paracentral
rh_parahippocampal,0.01304,0.00204,parahippocampal
rh_parsopercularis,0.0314,0.00776,parsopercularis
rh_parsorbitalis,0.03232,0.00065,parsorbitalis
rh_parstriangularis,0.05208,0.01258,parstriangularis
rh_pericalcarine,0.01944,0.00375,pericalcarine
rh_postcentral,0.01031,0.00387,postcentral
rh_posteriorcingulate,0.02816,0.01656,posteriorcingulate
rh_precentral,0.00837,0.00115,precentral
rh_precuneus,0.02118,0.00375,precuneus
rh_rostralanteriorcingulate,0.03285,0.00238,rostralanteriorcingulate
rh_rostralmiddlefrontal,0.04977,0.00404,rostralmiddlefrontal
rh_superiorfrontal,0.03177,0.00653,superiorfrontal
rh_superiorparietal,0.02308,0.00189,superiorparietal
rh_superiortemporal,0.04513,0.02457,superiortemporal
rh_supramarginal,0.09388,0.08782,supramarginal
rh_temporalpole,0.00702,0.00069,temporalpole
rh_transversetemporal,0.01828,0.01377,transversetemporal
