split,in_sample,held_out,n_overlap_with_full_top10
0,0.689068,0.448594,6
1,0.91187,0.473747,7
2,0.672016,0.213842,4
3,0.569753,0.311905,3
4,0.617217,0.380611,7
5,0.729234,0.569241,5
6,0.953266,0.213732,6
7,0.664931,0.169854,4
8,0.592995,0.492001,6
9,0.6179,0.381446,5
10,0.579528,0.508224,4
11,0.582655,0.391301,5
12,0.747314,0.455996,6
13,0.331795,0.494514,4
14,0.5491,0.34391,4
15,0.649094,0.486633,6
16,0.565584,0.6971,7
17,0.772016,0.289615,5
18,0.850683,0.538141,7
19,0.799469,0.266239,4
20,0.666177,0.273328,4
21,0.739568,0.247996,4
22,0.725859,0.278457,5
23,0.949697,0.301463,3
24,0.628817,0.556815,5
25,0.877401,0.352735,5
26,0.55509,0.362966,3
27,0.588002,0.421364,6
28,0.604154,0.527242,7
29,0.906542,0.521036,8
30,0.799877,0.4177,4
31,0.699005,0.570298,6
32,0.828722,0.17985,5
33,0.776955,0.1757,4
34,0.68292,0.490082,5
35,0.629001,0.429886,5
36,0.942209,0.426596,6
37,0.418911,0.367945,3
38,0.813123,0.566573,4
39,0.609552,0.53831,5
