section	readout	atlas	construction	trait	method	estimate	se	p	n	note	source
heritability	GREML h2	hcp	1lmm	global_slope	GCTA	0.1833	0.0451	1.2761e-05	6011		work/results_70tab_hcp/scan_1lmm/reml_imp_pooled/reml_summary.tsv
heritability	GREML h2	hcp	1lmm	baseline_thickness	GCTA	0.2278	0.0465	2.6966e-07	6011		work/results_70tab_hcp/scan_1lmm/reml_imp_pooled/reml_summary.tsv
heritability	GREML h2	hcp	perregion	baseline_thickness	GCTA	0.2247	0.0465	3.9122e-07	6011		work/results_70tab_hcp/reml_imp_pooled/reml_summary.tsv
heritability	GREML h2	hcp	perregion	global_slope	GCTA	0.156	0.0446	0.00014354	6011		work/results_70tab_hcp/reml_imp_pooled/reml_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	1lmm	baseline_thickness	GENESIS	1.0215		3.652e-07	4205	hits=0; p<1e-5=149	work/results_70tab_hcp/scan_1lmm/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	1lmm	global_slope	GENESIS	1.0041		6.9249e-07	4205	hits=0; p<1e-5=52	work/results_70tab_hcp/scan_1lmm/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	baseline_thickness	GENESIS	1.0212		3.7847e-07	4205	hits=0; p<1e-5=162	work/results_70tab_hcp/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	global_slope	GENESIS	0.9935		1.6903e-07	4205	hits=0; p<1e-5=49	work/results_70tab_hcp/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	slope_PC1	GENESIS	1.0106		2.8398e-07	4205	hits=0; p<1e-5=62	work/results_70tab_hcp/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	slope_PC2	GENESIS	1.0165		4.9638e-07	4205	hits=0; p<1e-5=117	work/results_70tab_hcp/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	slope_PC3	GENESIS	1.0099		1.2328e-09	4205	hits=3; p<1e-5=87	work/results_70tab_hcp/assoc_eur/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	baseline_thickness	GENESIS	1.0399		4.047e-08	8395	hits=1; p<1e-5=223	work/results_70tab_hcp/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	global_slope	GENESIS	1.0278		1.4155e-07	8395	hits=0; p<1e-5=122	work/results_70tab_hcp/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	slope_PC1	GENESIS	1.0221		8.0082e-07	8395	hits=0; p<1e-5=46	work/results_70tab_hcp/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	slope_PC2	GENESIS	1.0346		2.5018e-07	8395	hits=0; p<1e-5=115	work/results_70tab_hcp/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	hcp	perregion	slope_PC3	GENESIS	1.0409		1.07e-07	8395	hits=0; p<1e-5=130	work/results_70tab_hcp/assoc/gwas_summary.tsv
ldsc	LDSC h2 (EUR); note = h2 z	hcp	1lmm	baseline_thickness	LDSC	0.4094	0.09438			h2_z=4.34	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	hcp	1lmm	baseline_thickness	LDSC	0.1101	0.1237	0.3736			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	hcp	1lmm	baseline_thickness	LDSC	-0.0499	0.1077	0.643			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	hcp	1lmm	baseline_thickness	LDSC	-0.1177	0.1025	0.2508		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	hcp	1lmm	baseline_thickness	LDSC	0.1082	0.05654	0.05575			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	hcp	1lmm	baseline_thickness	LDSC	-0.02066	0.05522	0.7083			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	hcp	1lmm	baseline_thickness	LDSC	0.04081	0.05791	0.4809			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	hcp	1lmm	baseline_thickness	LDSC	0.05192	0.05336	0.3306			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC h2 (EUR); note = h2 z	hcp	perregion	baseline_thickness	LDSC	0.4126	0.09403			h2_z=4.39	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	hcp	perregion	baseline_thickness	LDSC	0.1146	0.1237	0.3543			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	hcp	perregion	baseline_thickness	LDSC	-0.04836	0.1074	0.6524			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	hcp	perregion	baseline_thickness	LDSC	-0.1161	0.1019	0.2549		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	hcp	perregion	baseline_thickness	LDSC	0.1092	0.05628	0.05233			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	hcp	perregion	baseline_thickness	LDSC	-0.01918	0.05492	0.727			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	hcp	perregion	baseline_thickness	LDSC	0.04008	0.05767	0.487			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	hcp	perregion	baseline_thickness	LDSC	0.05115	0.05327	0.3369			work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC h2 (EUR); note = h2 z	hcp	1lmm	global_slope	LDSC	0.03549	0.09517			h2_z=0.37	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	hcp	1lmm	global_slope	LDSC	0.1093	0.4586	0.8116		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	hcp	1lmm	global_slope	LDSC	-0.1134	0.3353	0.7353		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	hcp	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	hcp	1lmm	global_slope	LDSC	0.4458	0.8848	0.6144		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	hcp	1lmm	global_slope	LDSC						work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	hcp	1lmm	global_slope	LDSC	-0.1389	0.2851	0.6261		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	hcp	1lmm	global_slope	LDSC	-0.2483	0.3823	0.516		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC h2 (EUR); note = h2 z	hcp	perregion	global_slope	LDSC	0.1726	0.09375			h2_z=1.84	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	hcp	perregion	global_slope	LDSC	0.007863	0.1889	0.9668		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	hcp	perregion	global_slope	LDSC	0.00591	0.1458	0.9677		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	hcp	perregion	global_slope	LDSC	0.1142	0.2913	0.695		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	hcp	perregion	global_slope	LDSC	0.07148	0.08726	0.4127		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	hcp	perregion	global_slope	LDSC	-0.04171	0.08298	0.6152		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	hcp	perregion	global_slope	LDSC	-0.09771	0.08693	0.261		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	hcp	perregion	global_slope	LDSC	-0.1504	0.0883	0.08858		uninformative (phenotype h2 z<4)	work/results_70tab_hcp/ldsc_1lmm/table_ldsc_panel.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	baseline_thickness	CT	0.01884	0.015671	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	perregion	baseline_thickness	CT	0.019132	0.015651	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	baseline_thickness	PRSCS	0.016021	0.015538	0.30257	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	perregion	baseline_thickness	PRSCS	0.016126	0.015519	0.29881	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	hcp	1lmm	baseline_thickness	SBayesR	0.019773	0.015526	0.2029	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
