label,base,baseline_ct,slope_mm_per_yr,ct_at_centre
lh_1,1,2.57758,-0.01633,2.52381
lh_10d,10d,2.94642,-0.03203,2.85808
lh_10pp,10pp,2.92908,-0.03026,2.8446
lh_10r,10r,2.58092,-0.03145,2.48747
lh_10v,10v,2.96865,-0.03059,2.87984
lh_11l,11l,2.95326,-0.03252,2.85041
lh_13l,13l,2.9116,-0.02413,2.83527
lh_2,2,2.35737,-0.02078,2.29694
lh_23c,23c,2.69459,-0.02568,2.60317
lh_23d,23d,3.28826,-0.03205,3.17075
lh_24dd,24dd,2.98595,-0.01813,2.94393
lh_24dv,24dv,2.8692,-0.02062,2.81054
lh_25,25,3.1975,-0.02458,3.13868
lh_31a,31a,2.93105,-0.02841,2.84622
lh_31pd,31pd,2.57539,-0.02632,2.48288
lh_31pv,31pv,2.69622,-0.02681,2.60707
lh_33pr,33pr,2.42662,-0.01102,2.38636
lh_3a,3a,2.08941,-0.01718,2.0391
lh_3b,3b,1.75641,-0.01475,1.70903
lh_4,4,2.7724,-0.00657,2.75954
lh_43,43,3.02679,-0.01515,2.99019
lh_44,44,2.92048,-0.0148,2.88459
lh_45,45,2.8708,-0.0219,2.80829
lh_46,46,2.73036,-0.02232,2.66199
lh_47l,47l,3.01886,-0.0231,2.95451
lh_47m,47m,2.8048,-0.02496,2.71971
lh_47s,47s,3.24521,-0.02065,3.18915
lh_52,52,2.62844,-0.01749,2.54561
lh_55b,55b,2.96237,-0.00518,2.95
lh_5L,5L,2.59478,-0.02713,2.48666
lh_5m,5m,2.58823,-0.02659,2.51487
lh_5mv,5mv,2.52704,-0.02687,2.43636
lh_6a,6a,2.69652,-0.00862,2.67227
lh_6d,6d,3.01655,-0.00014,3.00965
lh_6ma,6ma,3.07787,-0.01501,3.02818
lh_6mp,6mp,2.8889,-0.01008,2.86345
lh_6r,6r,2.84365,-0.01131,2.80604
lh_6v,6v,3.25503,-0.0073,3.23944
lh_7AL,7AL,2.53348,-0.02247,2.45258
lh_7Am,7Am,2.68311,-0.0277,2.58877
lh_7PC,7PC,2.65138,-0.01981,2.5787
lh_7PL,7PL,2.72393,-0.02994,2.62017
lh_7Pm,7Pm,2.74752,-0.02898,2.66145
lh_7m,7m,2.8585,-0.027,2.77469
lh_8Ad,8Ad,2.74958,-0.01515,2.70439
lh_8Av,8Av,3.02204,-0.01974,2.96934
lh_8BL,8BL,3.34973,-0.0254,3.27516
lh_8BM,8BM,3.30938,-0.02413,3.25042
lh_8C,8C,2.73607,-0.01674,2.68735
lh_9-46d,9-46d,2.58742,-0.02267,2.50781
lh_9a,9a,2.78637,-0.0232,2.70912
lh_9m,9m,3.17931,-0.02893,3.09514
lh_9p,9p,2.8718,-0.01938,2.81494
lh_A1,A1,2.73832,-0.02064,2.68638
lh_A4,A4,3.15176,-0.01632,3.11443
lh_A5,A5,3.29647,-0.02039,3.23819
lh_AAIC,AAIC,3.80718,-0.01578,3.76303
lh_AIP,AIP,2.50477,-0.02225,2.43562
lh_AVI,AVI,3.05557,-0.02031,2.98901
