age_bin,ct_bin,n
8.25,2.8,1
8.5,2.82,1
8.75,2.54,1
8.75,2.6,1
8.75,2.66,1
8.75,2.7,2
8.75,2.72,2
8.75,2.74,7
8.75,2.76,3
8.75,2.78,3
8.75,2.8,5
8.75,2.82,9
8.75,2.84,9
8.75,2.86,4
8.75,2.88,2
8.75,2.9,2
8.75,2.92,9
8.75,2.96,1
8.75,3.0,1
9.0,2.54,1
9.0,2.58,1
9.0,2.6,2
9.0,2.62,7
9.0,2.64,8
9.0,2.66,23
9.0,2.68,39
9.0,2.7,46
9.0,2.72,74
9.0,2.74,89
9.0,2.76,146
9.0,2.78,145
9.0,2.8,158
9.0,2.82,182
9.0,2.84,162
9.0,2.86,121
9.0,2.88,106
9.0,2.9,61
9.0,2.92,43
9.0,2.94,31
9.0,2.96,27
9.0,2.98,9
9.0,3.0,5
9.0,3.02,5
9.25,2.5,1
9.25,2.6,1
9.25,2.62,3
9.25,2.64,9
9.25,2.66,12
9.25,2.68,27
9.25,2.7,38
9.25,2.72,53
9.25,2.74,69
9.25,2.76,76
9.25,2.78,72
9.25,2.8,94
9.25,2.82,86
9.25,2.84,94
9.25,2.86,66
9.25,2.88,57
9.25,2.9,32
9.25,2.92,22
9.25,2.94,14
9.25,2.96,9
9.25,2.98,6
9.25,3.0,5
9.25,3.02,1
9.5,2.54,1
9.5,2.56,1
9.5,2.6,5
9.5,2.62,3
9.5,2.64,11
9.5,2.66,14
9.5,2.68,21
9.5,2.7,27
9.5,2.72,57
9.5,2.74,56
9.5,2.76,101
9.5,2.78,114
9.5,2.8,92
9.5,2.82,100
9.5,2.84,85
9.5,2.86,71
9.5,2.88,55
9.5,2.9,43
9.5,2.92,28
9.5,2.94,21
9.5,2.96,12
9.5,2.98,3
9.5,3.0,6
9.5,3.02,1
9.75,2.58,1
9.75,2.6,6
9.75,2.62,5
9.75,2.64,9
9.75,2.66,17
9.75,2.68,27
9.75,2.7,39
9.75,2.72,70
9.75,2.74,76
9.75,2.76,98
9.75,2.78,89
9.75,2.8,91
9.75,2.82,96
9.75,2.84,88
9.75,2.86,76
9.75,2.88,58
9.75,2.9,42
9.75,2.92,21
9.75,2.94,11
9.75,2.96,7
9.75,2.98,9
9.75,3.0,6
9.75,3.02,3
10.0,2.56,1
10.0,2.58,5
10.0,2.6,4
10.0,2.62,2
10.0,2.64,9
10.0,2.66,19
10.0,2.68,32
10.0,2.7,49
10.0,2.72,50
10.0,2.74,81
10.0,2.76,92
10.0,2.78,99
10.0,2.8,101
10.0,2.82,84
10.0,2.84,81
10.0,2.86,75
10.0,2.88,61
10.0,2.9,45
10.0,2.92,26
10.0,2.94,11
10.0,2.96,12
10.0,2.98,7
10.0,3.0,6
10.0,3.02,3
10.25,2.58,2
10.25,2.6,4
10.25,2.62,7
10.25,2.64,13
10.25,2.66,19
10.25,2.68,39
10.25,2.7,42
10.25,2.72,61
10.25,2.74,82
10.25,2.76,85
10.25,2.78,99
10.25,2.8,98
10.25,2.82,94
10.25,2.84,71
10.25,2.86,60
10.25,2.88,35
10.25,2.9,39
10.25,2.92,29
10.25,2.94,11
10.25,2.96,6
10.25,2.98,5
10.25,3.0,3
10.25,3.02,2
10.5,2.5,1
10.5,2.54,1
10.5,2.56,4
10.5,2.58,2
10.5,2.6,4
10.5,2.62,5
10.5,2.64,7
10.5,2.66,19
10.5,2.68,40
10.5,2.7,47
10.5,2.72,75
10.5,2.74,69
10.5,2.76,86
10.5,2.78,110
10.5,2.8,89
10.5,2.82,80
10.5,2.84,67
10.5,2.86,70
10.5,2.88,44
10.5,2.9,30
10.5,2.92,25
10.5,2.94,12
10.5,2.96,10
10.5,2.98,5
10.5,3.0,1
10.75,2.5,2
10.75,2.52,2
10.75,2.54,1
10.75,2.56,1
10.75,2.58,3
10.75,2.6,6
10.75,2.62,10
10.75,2.64,33
10.75,2.66,37
10.75,2.68,57
10.75,2.7,76
10.75,2.72,117
10.75,2.74,115
10.75,2.76,135
10.75,2.78,143
10.75,2.8,186
10.75,2.82,135
10.75,2.84,124
10.75,2.86,85
10.75,2.88,54
10.75,2.9,33
10.75,2.92,24
10.75,2.94,21
10.75,2.96,15
10.75,2.98,4
10.75,3.0,3
10.75,3.02,1
11.0,2.56,3
11.0,2.58,1
11.0,2.6,6
11.0,2.62,10
11.0,2.64,17
11.0,2.66,30
11.0,2.68,50
11.0,2.7,58
11.0,2.72,65
11.0,2.74,79
11.0,2.76,95
11.0,2.78,86
11.0,2.8,87
11.0,2.82,70
11.0,2.84,61
11.0,2.86,42
11.0,2.88,39
11.0,2.9,13
11.0,2.92,16
11.0,2.94,7
11.0,2.96,4
11.0,2.98,3
11.0,3.0,1
11.25,2.48,1
11.25,2.5,1
11.25,2.54,3
11.25,2.56,3
11.25,2.58,5
11.25,2.6,3
11.25,2.62,12
11.25,2.64,18
11.25,2.66,25
11.25,2.68,35
11.25,2.7,64
11.25,2.72,73
11.25,2.74,71
11.25,2.76,81
11.25,2.78,79
11.25,2.8,90
11.25,2.82,64
11.25,2.84,45
11.25,2.86,32
11.25,2.88,22
11.25,2.9,16
11.25,2.92,7
11.25,2.94,7
11.25,2.96,7
11.25,2.98,1
11.25,3.02,1
11.5,2.54,1
11.5,2.56,1
11.5,2.58,4
11.5,2.6,8
11.5,2.62,16
11.5,2.64,20
11.5,2.66,25
11.5,2.68,47
11.5,2.7,66
11.5,2.72,80
11.5,2.74,72
11.5,2.76,87
11.5,2.78,79
11.5,2.8,67
11.5,2.82,65
11.5,2.84,45
11.5,2.86,31
11.5,2.88,19
11.5,2.9,22
11.5,2.92,15
11.5,2.94,7
11.5,2.96,6
11.5,2.98,2
11.5,3.0,1
11.5,3.02,2
11.75,2.48,1
11.75,2.54,1
11.75,2.56,2
11.75,2.58,2
11.75,2.6,6
11.75,2.62,13
11.75,2.64,22
11.75,2.66,27
11.75,2.68,36
11.75,2.7,65
11.75,2.72,82
11.75,2.74,83
11.75,2.76,74
11.75,2.78,92
11.75,2.8,74
11.75,2.82,55
11.75,2.84,43
11.75,2.86,36
11.75,2.88,21
11.75,2.9,12
11.75,2.92,5
11.75,2.94,5
11.75,2.96,2
11.75,2.98,1
11.75,3.02,1
12.0,2.5,1
12.0,2.52,3
12.0,2.56,2
12.0,2.58,4
12.0,2.6,13
12.0,2.62,13
12.0,2.64,21
12.0,2.66,38
12.0,2.68,52
12.0,2.7,55
12.0,2.72,66
12.0,2.74,81
12.0,2.76,87
12.0,2.78,72
12.0,2.8,68
12.0,2.82,61
12.0,2.84,50
12.0,2.86,34
12.0,2.88,20
12.0,2.9,14
12.0,2.92,10
