ensg,symbol,class,p,q
ENSG00000099381,SETD1A,PTV + MPC >2,2.25e-14,6.9e-10
ENSG00000130227,XPO7,PTV + MPC >3,1.36e-09,1.05e-05
ENSG00000103657,HERC1,PTV,1.42e-08,7.24e-05
ENSG00000118007,STAG1,PTV + MPC >2,3.65e-08,0.00014
ENSG00000055130,CUL1,PTV,3.66e-08,0.00014
ENSG00000038382,TRIO,PTV,5.43e-08,0.000177
ENSG00000167978,SRRM2,PTV,3.54e-07,0.000988
ENSG00000196646,ZNF136,PTV,6.17e-07,0.00158
ENSG00000125675,GRIA3,PTV + MPC >3,7.32e-07,0.00173
ENSG00000023516,AKAP11,PTV,1.07e-06,0.00223
ENSG00000105866,SP4,PTV,1.92e-06,0.00349
ENSG00000157103,SLC6A1,MPC >2,1.93e-06,0.00349
ENSG00000183454,GRIN2A,PTV + MPC >3,2.42e-06,0.00412
ENSG00000186472,PCLO,PTV,2.68e-06,0.00433
ENSG00000023287,RB1CC1,PTV,5.07e-06,0.00724
ENSG00000048828,FAM120A,PTV + MPC >3,6.54e-06,0.00836
ENSG00000155495,MAGEC1,PTV,7.84e-06,0.00962
ENSG00000121741,ZMYM2,PTV + MPC >2,1.07e-05,0.0127
ENSG00000015171,ZMYND11,PTV,1.6e-05,0.0174
ENSG00000168000,BSCL2,PTV,1.94e-05,0.0192
ENSG00000168298,HIST1H1E,PTV,3.12e-05,0.029
ENSG00000101745,ANKRD12,PTV,4.96e-05,0.0424
ENSG00000126214,KLC1,MPC >2,4.97e-05,0.0424
ENSG00000138028,CGREF1,PTV,4.97e-05,0.0424
ENSG00000181927,OR4P4,PTV,5.58e-05,0.0439
ENSG00000187391,MAGI2,PTV,5.82e-05,0.0446
