phenotype	model	variable	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	AHBA_C3	6917	0.053357	0.013883	0.042587	0.2103
baseline_thickness	marginal	thinning_Z_ds0	13765	0.0049425	0.012554	0.0029354	0.092254
baseline_thickness	marginal	thinning_Z_ds25	10325	0.0013918	0.0035441	0.0034242	0.68442
baseline_thickness	marginal	thinning_Z_ds50	6935	0.0019441	0.004895	0.004337	0.65398
global_slope	marginal	AHBA_C3	6917	-0.016408	-0.0042691	0.042321	0.69826
global_slope	marginal	thinning_Z_ds0	13765	-0.00061073	-0.0015513	0.0029594	0.83651
global_slope	marginal	thinning_Z_ds25	10325	0.0032216	0.0082037	0.003449	0.35028
global_slope	marginal	thinning_Z_ds50	6935	0.0052084	0.013114	0.0043002	0.22587
slope_PC1	marginal	AHBA_C3	6917	0.054657	0.014221	0.042167	0.19495
slope_PC1	marginal	thinning_Z_ds0	13765	0.0003815	0.00096906	0.0029087	0.89565
slope_PC1	marginal	thinning_Z_ds25	10325	0.0013708	0.0034907	0.0033861	0.68561
slope_PC1	marginal	thinning_Z_ds50	6935	0.0038678	0.0097387	0.004269	0.36496
slope_PC2	marginal	AHBA_C3	6917	-0.028936	-0.0075289	0.042383	0.49481
slope_PC2	marginal	thinning_Z_ds0	13765	-0.0033821	-0.0085909	0.0029247	0.24754
slope_PC2	marginal	thinning_Z_ds25	10325	-0.0014566	-0.0037091	0.003407	0.66901
slope_PC2	marginal	thinning_Z_ds50	6935	-0.003187	-0.0080244	0.0043003	0.45866
slope_PC3	marginal	AHBA_C3	6917	0.0067559	0.0017578	0.04135	0.87022
slope_PC3	marginal	thinning_Z_ds0	13765	-0.0029575	-0.0075124	0.0028975	0.30741
slope_PC3	marginal	thinning_Z_ds25	10325	-0.0049079	-0.012497	0.0033566	0.14374
slope_PC3	marginal	thinning_Z_ds50	6935	-0.0031519	-0.0079362	0.0042021	0.45324
baseline_thickness	condC3	AHBA_C3	6917	0.078167	0.020338	0.063104	0.2155
baseline_thickness	condC3	thinning_Z_ds0	6917	-0.003306	-0.0086945	0.0062046	0.59417
baseline_thickness	condC3	AHBA_C3	6829	0.083536	0.021604	0.064915	0.1982
baseline_thickness	condC3	thinning_Z_ds25	6829	-0.0038768	-0.0099826	0.00647	0.54907
baseline_thickness	condC3	AHBA_C3	6055	0.095308	0.023976	0.072465	0.18849
baseline_thickness	condC3	thinning_Z_ds50	6055	-0.0024464	-0.0061749	0.0071954	0.73387
global_slope	condC3	AHBA_C3	6917	-0.099716	-0.025945	0.062694	0.11177
global_slope	condC3	thinning_Z_ds0	6917	0.011101	0.029194	0.0061643	0.07178
global_slope	condC3	AHBA_C3	6829	-0.10575	-0.027347	0.064509	0.10122
global_slope	condC3	thinning_Z_ds25	6829	0.012037	0.030995	0.0064295	0.061236
global_slope	condC3	AHBA_C3	6055	-0.10067	-0.025325	0.071595	0.15975
global_slope	condC3	thinning_Z_ds50	6055	0.013022	0.032869	0.0071089	0.067027
slope_PC1	condC3	AHBA_C3	6917	0.10888	0.028331	0.062474	0.081404
slope_PC1	condC3	thinning_Z_ds0	6917	-0.0072258	-0.019003	0.0061427	0.23951
slope_PC1	condC3	AHBA_C3	6829	0.11201	0.028968	0.064278	0.081447
slope_PC1	condC3	thinning_Z_ds25	6829	-0.0075163	-0.019354	0.0064065	0.24075
slope_PC1	condC3	AHBA_C3	6055	0.078914	0.019852	0.071397	0.26909
slope_PC1	condC3	thinning_Z_ds50	6055	-0.0015259	-0.0038513	0.0070893	0.82959
slope_PC2	condC3	AHBA_C3	6917	0.029093	0.0075697	0.062795	0.64316
slope_PC2	condC3	thinning_Z_ds0	6917	-0.0077323	-0.020335	0.0061742	0.21048
slope_PC2	condC3	AHBA_C3	6829	0.036845	0.0095287	0.06452	0.56798
slope_PC2	condC3	thinning_Z_ds25	6829	-0.0077379	-0.019925	0.0064306	0.22891
slope_PC2	condC3	AHBA_C3	6055	0.0017846	0.00044894	0.071521	0.98009
slope_PC2	condC3	thinning_Z_ds50	6055	-0.0051569	-0.013016	0.0071016	0.46777
slope_PC3	condC3	AHBA_C3	6917	0.03264	0.0084927	0.061269	0.59424
slope_PC3	condC3	thinning_Z_ds0	6917	-0.0034491	-0.0090709	0.0060242	0.56698
slope_PC3	condC3	AHBA_C3	6829	0.017486	0.0045221	0.06296	0.78123
slope_PC3	condC3	thinning_Z_ds25	6829	-0.00294	-0.0075703	0.0062751	0.63943
slope_PC3	condC3	AHBA_C3	6055	0.021395	0.0053821	0.069939	0.75969
slope_PC3	condC3	thinning_Z_ds50	6055	-0.0019281	-0.0048667	0.0069445	0.78129
