comparison	variable	type	n_genes	beta	se	p
baseline_thickness_ahba_components_posneg	C1+	COVAR	6941	-0.010137	0.035595	0.77583
baseline_thickness_ahba_components_posneg	C2+	COVAR	6941	0.060416	0.056341	0.28361
baseline_thickness_ahba_components_posneg	C3+	COVAR	6941	0.048444	0.07203	0.50126
baseline_thickness_ahba_components_posneg	C1-	COVAR	6941	-0.0014921	0.033604	0.96459
baseline_thickness_ahba_components_posneg	C2-	COVAR	6941	0.05301	0.063947	0.40716
baseline_thickness_ahba_components_posneg	C3-	COVAR	6941	-0.11165	0.073302	0.12777
baseline_thickness_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	1.4702	1.4551	0.31236
baseline_thickness_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	2.503	1.2365	0.042961
baseline_thickness_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	2.5144	2.409	0.29662
baseline_thickness_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	-9.7027	11.684	0.40632
global_slope_ahba_components_posneg	C1+	COVAR	6941	-0.028754	0.035371	0.41629
global_slope_ahba_components_posneg	C2+	COVAR	6941	0.072658	0.055986	0.1944
global_slope_ahba_components_posneg	C3+	COVAR	6941	0.029545	0.07158	0.6798
global_slope_ahba_components_posneg	C1-	COVAR	6941	-0.022375	0.033392	0.50283
global_slope_ahba_components_posneg	C2-	COVAR	6941	-0.068742	0.063544	0.27938
global_slope_ahba_components_posneg	C3-	COVAR	6941	0.084088	0.072848	0.24843
global_slope_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.84042	1.4584	0.56445
global_slope_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	0.66492	1.2394	0.59164
global_slope_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	4.6827	2.4141	0.052433
global_slope_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	13.905	11.71	0.23506
MDD_vs_baseline_thickness	baseline_thickness	COVAR	18228	0.039083	0.011246	0.00051211
MDD_vs_global_slope	global_slope	COVAR	18228	-0.011102	0.011243	0.32344
MDD_vs_slope_PC1	slope_PC1	COVAR	18228	-0.012056	0.011415	0.2909
MDD_vs_slope_PC2	slope_PC2	COVAR	18228	-0.0071417	0.011199	0.52367
MDD_vs_slope_PC3	slope_PC3	COVAR	18228	-0.0010434	0.011378	0.92693
SCZ_vs_baseline_thickness	baseline_thickness	COVAR	18261	0.030404	0.011378	0.0075454
SCZ_vs_global_slope	global_slope	COVAR	18261	0.012678	0.011323	0.2629
SCZ_vs_slope_PC1	slope_PC1	COVAR	18261	0.015775	0.011465	0.16888
SCZ_vs_slope_PC2	slope_PC2	COVAR	18261	-0.018437	0.011353	0.10441
SCZ_vs_slope_PC3	slope_PC3	COVAR	18261	0.0023553	0.011478	0.83742
slope_PC1_ahba_components_posneg	C1+	COVAR	6941	0.0034369	0.035245	0.92232
slope_PC1_ahba_components_posneg	C2+	COVAR	6941	0.065551	0.055785	0.24001
slope_PC1_ahba_components_posneg	C3+	COVAR	6941	0.078047	0.071316	0.27383
slope_PC1_ahba_components_posneg	C1-	COVAR	6941	-0.039104	0.033269	0.23989
slope_PC1_ahba_components_posneg	C2-	COVAR	6941	0.13277	0.063299	0.035985
slope_PC1_ahba_components_posneg	C3-	COVAR	6941	-0.073709	0.072587	0.30992
slope_PC1_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.010675	1.4374	0.99407
slope_PC1_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	1.4832	1.2215	0.22467
slope_PC1_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	0.94125	2.3795	0.69243
slope_PC1_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	4.2906	11.541	0.71008
slope_PC2_ahba_components_posneg	C1+	COVAR	6941	0.024021	0.03545	0.49804
slope_PC2_ahba_components_posneg	C2+	COVAR	6941	-0.047563	0.056114	0.39669
slope_PC2_ahba_components_posneg	C3+	COVAR	6941	-0.027612	0.071739	0.70032
slope_PC2_ahba_components_posneg	C1-	COVAR	6941	-0.051266	0.033461	0.12555
slope_PC2_ahba_components_posneg	C2-	COVAR	6941	0.10181	0.063678	0.10991
slope_PC2_ahba_components_posneg	C3-	COVAR	6941	0.065409	0.073013	0.37036
slope_PC2_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.80494	1.4516	0.57924
slope_PC2_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	0.81842	1.2336	0.50708
slope_PC2_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	4.0999	2.4029	0.087985
slope_PC2_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	9.2433	11.656	0.42777
