kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
reverse	ALZ_noAPOE	baseline_thickness	perregion	baseline_thickness	17689	0.0011186	0.008707	0.89778
reverse	ALZ_noAPOE	baseline_thickness	1lmm	baseline_thickness_1lmm	17689	0.0013699	0.0087189	0.87515
reverse	ALZ_noAPOE	global_slope	perregion	global_slope	17689	-0.0022987	0.0088356	0.79474
reverse	ALZ_noAPOE	global_slope	1lmm	global_slope_1lmm	17689	-0.0075418	0.0087855	0.39067
reverse	ALZ	baseline_thickness	perregion	baseline_thickness	17772	0.0010496	0.0087851	0.9049
reverse	ALZ	baseline_thickness	1lmm	baseline_thickness_1lmm	17772	0.0012795	0.0087972	0.88437
reverse	ALZ	global_slope	perregion	global_slope	17772	-0.0034739	0.0089198	0.69694
reverse	ALZ	global_slope	1lmm	global_slope_1lmm	17772	-0.0076629	0.0088692	0.38761
reverse	ASD	baseline_thickness	perregion	baseline_thickness	17727	-0.0036677	0.008523	0.66696
reverse	ASD	baseline_thickness	1lmm	baseline_thickness_1lmm	17727	-0.004071	0.0085331	0.63331
reverse	ASD	global_slope	perregion	global_slope	17727	0.0023666	0.0086687	0.78486
reverse	ASD	global_slope	1lmm	global_slope_1lmm	17727	-0.0025493	0.0086547	0.76834
reverse	EA	baseline_thickness	perregion	baseline_thickness	17848	0.0094823	0.0097361	0.33011
reverse	EA	baseline_thickness	1lmm	baseline_thickness_1lmm	17848	0.0098801	0.0097449	0.31066
reverse	EA	global_slope	perregion	global_slope	17848	0.016027	0.0098635	0.10421
reverse	EA	global_slope	1lmm	global_slope_1lmm	17848	0.011843	0.0097889	0.22636
reverse	MDD_EUR	baseline_thickness	perregion	baseline_thickness	17806	0.011261	0.010294	0.274
reverse	MDD_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	17806	0.011737	0.010305	0.25474
reverse	MDD_EUR	global_slope	perregion	global_slope	17806	-0.0057657	0.010483	0.58233
reverse	MDD_EUR	global_slope	1lmm	global_slope_1lmm	17806	-0.0039066	0.010418	0.70768
reverse	MDD_div	baseline_thickness	perregion	baseline_thickness	17747	0.0080874	0.010509	0.44155
reverse	MDD_div	baseline_thickness	1lmm	baseline_thickness_1lmm	17747	0.0085217	0.010525	0.41813
reverse	MDD_div	global_slope	perregion	global_slope	17747	-0.0070256	0.010715	0.51203
reverse	MDD_div	global_slope	1lmm	global_slope_1lmm	17747	-0.010953	0.01063	0.30286
reverse	PGC3_EUR	baseline_thickness	perregion	baseline_thickness	17852	0.0089453	0.010596	0.39858
reverse	PGC3_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	17852	0.0094452	0.010608	0.37327
reverse	PGC3_EUR	global_slope	perregion	global_slope	17852	0.024832	0.010734	0.020715
reverse	PGC3_EUR	global_slope	1lmm	global_slope_1lmm	17852	0.024325	0.010654	0.022438
reverse	PGC3_primary	baseline_thickness	perregion	baseline_thickness	17852	0.0083942	0.010726	0.43389
reverse	PGC3_primary	baseline_thickness	1lmm	baseline_thickness_1lmm	17852	0.0089125	0.010739	0.40658
reverse	PGC3_primary	global_slope	perregion	global_slope	17852	0.021081	0.010885	0.052804
reverse	PGC3_primary	global_slope	1lmm	global_slope_1lmm	17852	0.021014	0.010791	0.051508
reverse	SCZ25_EUR	baseline_thickness	perregion	baseline_thickness	17882	0.017847	0.010307	0.08336
reverse	SCZ25_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	17882	0.018447	0.010318	0.073827
reverse	SCZ25_EUR	global_slope	perregion	global_slope	17882	0.014159	0.010502	0.17761
reverse	SCZ25_EUR	global_slope	1lmm	global_slope_1lmm	17882	0.01533	0.010496	0.14416
reverse	SCZ25_META	baseline_thickness	perregion	baseline_thickness	17883	0.014946	0.01002	0.13582
reverse	SCZ25_META	baseline_thickness	1lmm	baseline_thickness_1lmm	17883	0.0155	0.010033	0.1224
reverse	SCZ25_META	global_slope	perregion	global_slope	17883	0.02478	0.010203	0.015162
reverse	SCZ25_META	global_slope	1lmm	global_slope_1lmm	17883	0.022764	0.010203	0.025687
reverse	SCZ25_METAnaive	baseline_thickness	perregion	baseline_thickness	17882	0.010828	0.010032	0.28046
reverse	SCZ25_METAnaive	baseline_thickness	1lmm	baseline_thickness_1lmm	17882	0.011391	0.010043	0.2567
reverse	SCZ25_METAnaive	global_slope	perregion	global_slope	17882	0.033482	0.010257	0.0011002
reverse	SCZ25_METAnaive	global_slope	1lmm	global_slope_1lmm	17882	0.029583	0.010172	0.0036397
forward	ALZ	baseline_thickness	1lmm	ALZ	17772	-0.0021214	0.0074221	0.77502
forward	ALZ_noAPOE	baseline_thickness	1lmm	ALZ_noAPOE	17689	-0.0012546	0.0075133	0.86739
forward	ASD	baseline_thickness	1lmm	ASD	17727	-0.0020297	0.00753	0.78751
