result	comparator	n_genes	n_bonferroni_sig	median_N	pearson_z	spearman_z	n_shared	sig_in_both	sig_only_in_result	sig_only_in_comparator
SCZ25_EUR		18546.0	788.0	134636.0						
SCZ25_META		18564.0	778.0	194669.5						
SCZ25_METAnaive		18555.0	771.0	151600.0						
PGC3_EUR		18456.0	705.0	115410.0						
PGC3_primary		18447.0	774.0	168263.0						
SCZ25_EUR	SCZ25_META				0.9224865871104915	0.8951585550230595	18546.0	630.0	158.0	148.0
SCZ25_EUR	SCZ25_METAnaive				0.904287591922744	0.8607845443509113	18541.0	642.0	146.0	129.0
SCZ25_EUR	PGC3_EUR				0.8989105367104826	0.8553206774084058	18456.0	624.0	164.0	81.0
SCZ25_EUR	PGC3_primary				0.8496913681399461	0.7836311869122357	18447.0	623.0	165.0	151.0
SCZ25_META	SCZ25_METAnaive				0.9163011268046101	0.880514616641243	18555.0	650.0	128.0	121.0
SCZ25_META	PGC3_EUR				0.8373830832481094	0.7785092775132193	18456.0	564.0	214.0	141.0
SCZ25_META	PGC3_primary				0.8366045339439816	0.7671028114689004	18447.0	629.0	149.0	145.0
SCZ25_METAnaive	PGC3_EUR				0.832017552264247	0.760777358943798	18452.0	562.0	209.0	143.0
SCZ25_METAnaive	PGC3_primary				0.8771222138777658	0.8214804966611882	18447.0	631.0	140.0	143.0
PGC3_EUR	PGC3_primary				0.920650823408487	0.8894229052909423	18445.0	631.0	74.0	143.0
