design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
matched	SCZ_pooled	SCZpooled	full	baseline_thickness	8596	8	2000	0.21156281868161114	1.3006234506079677	0.5442278860569715	1.0	yes
matched	SCZ_pooled	SCZpooled	full	slope_PC1	8596	8	2000	0.0025818384621998118	3.0145923312235245	0.009495252373813094	0.020654707697598494	yes
matched	SCZ_pooled	SCZpooled	full	slope_PC2	8596	8	2000	0.05334817465723508	1.9778246936427069	0.15142428785607195	0.4267853972578806	yes
matched	SCZ_pooled	SCZpooled	full	slope_PC3	8596	8	2000	0.052149052558646936	2.0421614339537935	0.15292353823088456	0.4171924204691755	yes
matched	SCZ_pooled	SCZpooled	full	global_slope	8596	8	2000	0.0010707698626425599	3.261796859582634	0.006496751624187906	0.008566158901140479	yes
matched	MDD_pooled	MDDpooled	full	baseline_thickness	8596	8	2000	0.011503915801969003	2.689029082289258	0.04247876061969016	0.09203132641575203	yes
matched	MDD_pooled	MDDpooled	full	slope_PC1	8596	8	2000	0.014017251533566682	2.4851135538286986	0.053973013493253376	0.11213801226853345	yes
matched	MDD_pooled	MDDpooled	full	slope_PC2	8596	8	2000	0.11024450639796693	1.595886619428109	0.34832583708145926	0.8819560511837354	yes
matched	MDD_pooled	MDDpooled	full	slope_PC3	8596	8	2000	0.05943779112717774	1.9680326451157337	0.18190904547726136	0.4755023290174219	yes
matched	MDD_pooled	MDDpooled	full	global_slope	8596	8	2000	0.02756669137290858	2.2850648683970944	0.09895052473763119	0.22053353098326864	yes
matched	SCZ_eur	SCZeur	EUR	baseline_thickness	4308	8	2000	0.25156183433962503	1.1967936978596438	0.6066966516741629	1.0	yes
matched	SCZ_eur	SCZeur	EUR	slope_PC1	4308	8	2000	0.0052959564417633985	2.8397792210208546	0.018490754622688656	0.04236765153410719	yes
matched	SCZ_eur	SCZeur	EUR	slope_PC2	4308	8	2000	0.006525596515683546	2.761978914341061	0.030484757621189407	0.05220477212546837	yes
matched	SCZ_eur	SCZeur	EUR	slope_PC3	4308	8	2000	0.13503109481781053	1.5793647865255156	0.3238380809595202	1.0	yes
matched	SCZ_eur	SCZeur	EUR	global_slope	4308	8	2000	0.015523792942228604	2.4723169238172713	0.05297351324337831	0.12419034353782883	yes
matched	MDD_eur	MDDeur	EUR	baseline_thickness	4308	8	2000	0.12526187828654675	1.6317182202955833	0.3588205897051474	1.0	yes
matched	MDD_eur	MDDeur	EUR	slope_PC1	4308	8	2000	0.10060355758892853	1.7089187429404247	0.2798600699650175	0.8048284607114282	yes
matched	MDD_eur	MDDeur	EUR	slope_PC2	4308	8	2000	0.13542541061779612	1.4557449855800761	0.424287856071964	1.0	yes
matched	MDD_eur	MDDeur	EUR	slope_PC3	4308	8	2000	0.027167505531583907	2.267853368887489	0.10294852573713144	0.21734004425267126	yes
matched	MDD_eur	MDDeur	EUR	global_slope	4308	8	2000	0.1549223789761378	1.491556958311383	0.4047976011994003	1.0	yes
matched	ASD	ASD	EUR	baseline_thickness	4308	8	2000	0.0036244457162287547	2.9787595804872264	0.026486756621689155	0.028995565729830038	yes
matched	ASD	ASD	EUR	slope_PC1	4308	8	2000	0.0737495873461972	1.793569550266194	0.31284357821089454	0.5899966987695776	yes
matched	ASD	ASD	EUR	slope_PC2	4308	8	2000	0.2200971466200811	1.213904116239588	0.7341329335332334	1.0	yes
matched	ASD	ASD	EUR	slope_PC3	4308	8	2000	0.03535469578050344	2.144143249781668	0.17341329335332334	0.2828375662440275	yes
matched	ASD	ASD	EUR	global_slope	4308	8	2000	0.01685161923640244	2.486545171753601	0.07646176911544228	0.13481295389121953	yes
matched	ALZ	ALZ	EUR	baseline_thickness	4308	8	2000	0.03649559570258577	2.18646678234989	0.14392803598200898	0.2919647656206862	yes
matched	ALZ	ALZ	EUR	slope_PC1	4308	8	2000	0.000596925760409101	3.553695488737825	0.00399800099950025	0.004775406083272808	yes
matched	ALZ	ALZ	EUR	slope_PC2	4308	8	2000	0.020653335532377796	2.3666106656893833	0.07896051974012994	0.16522668425902237	yes
matched	ALZ	ALZ	EUR	slope_PC3	4308	8	2000	0.00713082615455155	2.7532022416768602	0.034482758620689655	0.0570466092364124	yes
matched	ALZ	ALZ	EUR	global_slope	4308	8	2000	0.0049609986464797615	2.7948684108192148	0.025987006496751622	0.03968798917183809	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	baseline_thickness	4308	8	2000	0.011370505050326874	2.778113731390985	0.043478260869565216	0.09096404040261499	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	slope_PC1	4308	8	2000	0.18791358302528952	1.3618464061652127	0.5967016491754122	1.0	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	slope_PC2	4308	8	2000	0.27030662975030273	1.140830925950888	0.7331334332833583	1.0	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	slope_PC3	4308	8	2000	0.13668743199031724	1.5379778358304648	0.45527236381809094	1.0	yes
