atlas	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	n
dk	MDD_eur	EUR	CT	raw	-0.0235205874265649	0.0144391999559421	0.827229356469735	-0.0286868617495379	0.0146198124402289	0.398472415281491	4308
dk	MDD_eur	EUR	PRSCS	raw	-0.0157834976329046	0.0145574667223432	0.278331669038186	-0.0258032424299269	0.0146121641314448	0.077492566194884	4308
dk	MDD_eur	EUR	SBayesR	raw	-0.0281923563230054	0.0147237333693555	0.0555946942998046	-0.0360536385956931	0.014774278245359	0.014718431692333	4308
dk	MDD_eur	EUR	SBayesRC	raw	-0.0206661416173173	0.0146352088173887	0.158002824621422	-0.0300934942544134	0.0146860711346029	0.04051583882764	4308
dk	MDD_pooled	full	CT	zanc	-0.0215835978327403	0.0104563178872937	0.312268439684573	-0.0268221935852704	0.0105211289280301	0.0864835248837372	8596
dk	MDD_pooled	full	PRSCS	zanc	-0.0206400809013562	0.0104380211873585	0.0480309849705774	-0.0244800104055234	0.0104644187978625	0.0193412615867978	8596
dk	MDD_pooled	full	SBayesR	zanc	-0.0289618674280922	0.0105324503404756	0.00597707091327	-0.0313709983609196	0.0105566681544089	0.0029706781422967	8596
dk	MDD_pooled	full	SBayesRC	zanc	-0.022346366677916	0.0104469561517593	0.0324631906936301	-0.025169616132243	0.0104722584050744	0.0162635289685912	8596
dk	SCZ_eur	EUR	CT	raw	-0.0382449750732833	0.0146532917937058	0.0727062854139937	-0.034555001585194	0.0145542646838527	0.141066580963917	4308
dk	SCZ_eur	EUR	PRSCS	raw	-0.0261229693689971	0.0146283582416503	0.0742111975283298	-0.0251610184774907	0.0146833748580065	0.0866853247313625	4308
dk	SCZ_eur	EUR	SBayesR	raw	-0.0265702418902617	0.0146950237517761	0.0706634232424904	-0.0215714361179102	0.0147546022773624	0.143815607038342	4308
dk	SCZ_eur	EUR	SBayesRC	raw	-0.0269757028288829	0.0145943769861633	0.0646228142270162	-0.0230510717087529	0.014653351354217	0.11577620021927	4308
dk	SCZ_pooled	full	CT	zanc	-0.0336942143386709	0.0103671824042967	0.0092672986858203	-0.0307725186094219	0.0103956503092897	0.0246719096604454	8596
dk	SCZ_pooled	full	PRSCS	zanc	-0.0241731607310204	0.0104097615949384	0.0202488465324638	-0.0260103106835389	0.0104363877331129	0.0127128397457113	8596
dk	SCZ_pooled	full	SBayesR	zanc	-0.0302618602724526	0.0104719979875671	0.0038651925262313	-0.0282806861002182	0.0105010555633123	0.0070930722960609	8596
dk	SCZ_pooled	full	SBayesRC	zanc	-0.0289279012570905	0.0103880952382203	0.0053698015797175	-0.0296999291128302	0.0104160904342348	0.0043643711354791	8596
