method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	1e-5	8596	7198	594	0.0227209035535619	0.01082294669902	0.0358192319950043	0.286553855960034
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	0p05	8596	7198	56597	-0.0238154875405262	0.0118406267503795	0.0443229190775269	0.354583352620216
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	1e-5	8596	7198	594	-0.0205503876451066	0.0108428337495692	0.0580867511537228	0.464694009229782
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	1e-5	8596	7198	594	-0.0206954230827965	0.010989555018066	0.0597104716872555	0.477683773498044
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	1e-5	8596	7198	594	0.0187036245346905	0.0110997984733731	0.0920188944028322	0.736151155222657
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	0p05	4308	3601	56597	-0.0428431695687035	0.0148681625838216	0.0039784631545276	0.0318277052362208
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	0p1	4308	3601	89243	0.0433788112861497	0.0155490941985835	0.005299428916221	0.042395431329768
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	0p01	4308	3601	19894	0.0405566354237762	0.0156917069207662	0.0097840219131155	0.0782721753049246
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	5e-8	4308	3601	110	-0.0361643303503103	0.0153131545139103	0.0182381568268733	0.145905254614986
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	1e-5	4308	3601	594	-0.0347732483299362	0.0154830208859282	0.0247650936241159	0.198120748992927
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	1e-5	8596	7198	594	-0.0217989753358011	0.0106669895564476	0.0410243952675875	0.3281951621407
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	1e-5	8596	7198	594	0.020876738741212	0.0106566533450446	0.0501432516360965	0.401146013088772
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	global_slope	0p1	8596	7198	89243	-0.0195678978376761	0.0105365915554444	0.0633277152364317	0.506621721891454
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	1e-5	8596	7198	594	0.0171925442841223	0.0109286873020327	0.115721138440276	0.925769107522205
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	1e-5	8596	7198	594	-0.0162633299433948	0.010819872684277	0.132852626470019	1.0
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	5e-8	8596	7198	127	-0.020264177857438	0.0109418194554888	0.064061118945511	0.512488951564088
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	0p05	8596	7198	51175	-0.0187093351699636	0.0108897768096841	0.0858230764084749	0.686584611267799
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	0p001	8596	7198	5025	0.0175276184723769	0.0109885823144142	0.110734036278173	0.885872290225384
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	0p1	8596	7198	79137	0.0183551094287652	0.0116717492181158	0.115848640827379	0.926789126619034
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	1e-5	8596	7198	623	0.0163385250018931	0.0110250133929178	0.138392732302084	1.0
CT	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	0p001	4308	3601	5025	0.0349429695526762	0.0155144603752298	0.0243573529787429	0.194858823829943
CT	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	1e-5	4308	3601	623	0.031888900947129	0.0150942422321016	0.0346931236022302	0.277544988817842
