atlas	phenotype	cell	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	thr_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	thr_1lmm	n
dk	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	CT	raw	0.0202978418196661	0.015653969394459	1.0	0p5	0.019739906490773	0.0156653523374913	1.0	0p5	4308
dk	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	PRSCS	raw	0.0155527343456493	0.0155217156563927	0.316400983154113	prscs	0.0146590921711104	0.0155330509287406	0.345358055667699	prscs	4308
dk	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	SBayesR	raw	0.017384094323198	0.0155097044011118	0.262413363202455	sbr	0.0166711103401088	0.0155210171389733	0.282838745422467	sbr	4308
dk	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	SBayesRC	raw	0.0179332148500266	0.015482732852847	0.246817653681814	sbrc	0.0170684827188785	0.0154940719530033	0.270691521059191	sbrc	4308
dk	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	PRSCSX	raw	0.0047417598767376	0.0154291319741493	0.758610839993128	csx	0.0038774819833676	0.0154402673444598	0.801727255779648	csx	4308
dk	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	CT	zanc	-0.0073797619084223	0.0106351654293978	1.0	5e-8	-0.007804708335699	0.0106413110448278	1.0	5e-8	8596
dk	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCS	zanc	-0.0063114944813963	0.0107058763731838	0.555517661076101	prscs	-0.0066736983080508	0.0107120795421884	0.533296672856558	prscs	8596
dk	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesR	zanc	0.0010834815884504	0.0107028078936802	0.919367557132217	sbr	0.00107720654849	0.010709030890235	0.919879392578838	sbr	8596
dk	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesRC	zanc	-0.0057408686611824	0.0107004234181129	0.59162108341036	sbrc	-0.0062263917070287	0.0107066149548971	0.560887688864482	sbrc	8596
dk	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCSX	zanc	-0.0084626830632277	0.0106707678192791	0.427758091256458	csx	-0.0088315745801593	0.0106769385050217	0.408167425156104	csx	8596
dk	baseline_thickness	ancestry-matched composite -> pooled (primary)	SCZ25_MATCHED	full	CT	raw	0.0133903932327898	0.0109376792225883	1.0	0p5	0.01334328212972	0.0109440786753017	1.0	0p5	8596
dk	baseline_thickness	ancestry-matched composite -> pooled (primary)	SCZ25_MATCHED	full	PRSCSX	raw	-0.0103375735739215	0.0109021767499797	0.343048607150546	csx	-0.0107745126092805	0.0109084826271543	0.323318589327833	csx	8596
dk	baseline_thickness	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	CT	raw	-0.0098443573556261	0.0153533193901543	1.0	5e-8	-0.0104501651228415	0.0153642686489869	1.0	5e-8	4308
dk	baseline_thickness	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	PRSCS	raw	0.0076742200365825	0.0153690632062951	0.617573203935481	prscs	0.0069326154675919	0.0153801777423625	0.652192522709647	prscs	4308
dk	baseline_thickness	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	SBayesR	raw	0.0139806597888298	0.0153153302587851	0.361370619832888	sbr	0.0136403793509506	0.0153264143970764	0.373520294316132	sbr	4308
dk	baseline_thickness	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	SBayesRC	raw	0.0140406837074028	0.0153246652704402	0.359605802229383	sbrc	0.0131753571272851	0.015335851582897	0.390321594549123	sbrc	4308
dk	baseline_thickness	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	PRSCSX	raw	0.0042022547257199	0.0153470028079423	0.784239215175136	csx	0.0033413308343308	0.0153580811385438	0.82778094216319	csx	4308
