method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.413789435143928	2.85955666433074	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.315808946359124	3.53845368627299	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.0813264313210154	6.72145120394998	3.0	8	0.650611450568123
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.124298081476689	5.75239729202804	3.0	8	0.994384651813508
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.0509688708634599	7.77189428203565	3.0	8	0.407750966907679
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.0559593632361237	7.56309018303	3.0	8	0.44767490588899
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.454497028426972	2.61711462897802	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.733205245580886	1.28286782495707	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	pooled_stratumFE	all	8596	7198	-0.0014949869247987	0.0107020570196856	0.888906983383558			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0038379528350612	0.0109058608275311	0.724909504860832			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0144663469438111	0.0112919852277634	0.200187467608741			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	pooled_stratumFE	all	8596	7198	0.018838513780475	0.01148386486632	0.100951825076289			8	0.807614600610314
