comparison	variable	type	n_genes	beta	se	p
baseline_thickness_ahba_components_posneg	C1+	COVAR	6941	-0.0049559	0.035649	0.88944
baseline_thickness_ahba_components_posneg	C2+	COVAR	6941	0.056019	0.056426	0.32085
baseline_thickness_ahba_components_posneg	C3+	COVAR	6941	0.018514	0.072141	0.79746
baseline_thickness_ahba_components_posneg	C1-	COVAR	6941	0.0045861	0.033654	0.89161
baseline_thickness_ahba_components_posneg	C2-	COVAR	6941	0.033602	0.064046	0.59984
baseline_thickness_ahba_components_posneg	C3-	COVAR	6941	-0.13401	0.073407	0.067955
baseline_thickness_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	1.5825	1.4527	0.276
baseline_thickness_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	2.5566	1.2344	0.038365
baseline_thickness_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	1.6757	2.4049	0.48595
baseline_thickness_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	-11.512	11.664	0.32366
global_slope_ahba_components_posneg	C1+	COVAR	6941	-0.01957	0.034832	0.57425
global_slope_ahba_components_posneg	C2+	COVAR	6941	0.034745	0.055138	0.52862
global_slope_ahba_components_posneg	C3+	COVAR	6941	0.07072	0.070485	0.31574
global_slope_ahba_components_posneg	C1-	COVAR	6941	-0.029135	0.032882	0.37563
global_slope_ahba_components_posneg	C2-	COVAR	6941	-0.013556	0.062581	0.82852
global_slope_ahba_components_posneg	C3-	COVAR	6941	0.042332	0.071743	0.55518
global_slope_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	0.11853	1.4477	0.93475
global_slope_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	2.099	1.2301	0.087978
global_slope_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	5.5578	2.3961	0.020382
global_slope_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	4.3272	11.624	0.7097
MDD_vs_baseline_thickness	baseline_thickness	COVAR	18228	0.040741	0.011226	0.00028548
MDD_vs_global_slope	global_slope	COVAR	18228	0.011903	0.011318	0.29299
MDD_vs_slope_PC1	slope_PC1	COVAR	18228	-0.006902	0.011451	0.54668
MDD_vs_slope_PC2	slope_PC2	COVAR	18228	0.0055678	0.011382	0.62472
MDD_vs_slope_PC3	slope_PC3	COVAR	18228	0.0068649	0.011382	0.54643
SCZ_vs_baseline_thickness	baseline_thickness	COVAR	18261	0.03003	0.011364	0.0082348
SCZ_vs_global_slope	global_slope	COVAR	18261	0.020863	0.011411	0.067523
SCZ_vs_slope_PC1	slope_PC1	COVAR	18261	-0.0030921	0.011515	0.7883
SCZ_vs_slope_PC2	slope_PC2	COVAR	18261	-0.01361	0.01149	0.23622
SCZ_vs_slope_PC3	slope_PC3	COVAR	18261	-0.015896	0.011501	0.16697
slope_PC1_ahba_components_posneg	C1+	COVAR	6941	-0.023776	0.035164	0.49899
slope_PC1_ahba_components_posneg	C2+	COVAR	6941	0.040942	0.055663	0.46204
slope_PC1_ahba_components_posneg	C3+	COVAR	6941	0.09367	0.071153	0.18807
slope_PC1_ahba_components_posneg	C1-	COVAR	6941	-0.012453	0.033198	0.70758
slope_PC1_ahba_components_posneg	C2-	COVAR	6941	0.10994	0.063164	0.081818
slope_PC1_ahba_components_posneg	C3-	COVAR	6941	-0.0826	0.072423	0.25411
slope_PC1_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.53993	1.4304	0.70582
slope_PC1_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	0.87181	1.2156	0.47326
slope_PC1_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	2.1309	2.3679	0.36818
slope_PC1_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	-2.78	11.485	0.80875
slope_PC2_ahba_components_posneg	C1+	COVAR	6941	0.046379	0.035151	0.18708
slope_PC2_ahba_components_posneg	C2+	COVAR	6941	-0.0073705	0.05565	0.89464
slope_PC2_ahba_components_posneg	C3+	COVAR	6941	0.052923	0.071141	0.45695
slope_PC2_ahba_components_posneg	C1-	COVAR	6941	-0.046312	0.033184	0.16288
slope_PC2_ahba_components_posneg	C2-	COVAR	6941	0.10184	0.063148	0.10686
slope_PC2_ahba_components_posneg	C3-	COVAR	6941	0.047483	0.072408	0.512
slope_PC2_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	0.25658	1.4362	0.85822
slope_PC2_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	1.348	1.2205	0.26943
slope_PC2_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	3.7746	2.3774	0.11238
slope_PC2_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	22.392	11.53	0.052161
slope_PC3_ahba_components_posneg	C1+	COVAR	6941	0.0065382	0.034758	0.8508
slope_PC3_ahba_components_posneg	C2+	COVAR	6941	0.043107	0.055018	0.43336
slope_PC3_ahba_components_posneg	C3+	COVAR	6941	0.060261	0.070334	0.3916
slope_PC3_ahba_components_posneg	C1-	COVAR	6941	-0.021595	0.032812	0.51047
slope_PC3_ahba_components_posneg	C2-	COVAR	6941	0.060392	0.062442	0.3335
slope_PC3_ahba_components_posneg	C3-	COVAR	6941	-0.067116	0.071586	0.34851
slope_PC3_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.050287	1.4361	0.97207
slope_PC3_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	0.20027	1.2204	0.86966
slope_PC3_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	0.3409	2.3774	0.88598
slope_PC3_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	4.989	11.531	0.66526
