kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
reverse	ALZ_noAPOE	baseline_thickness	perregion	baseline_thickness	17689	-0.00071605	0.0087167	0.93453
reverse	ALZ_noAPOE	baseline_thickness	1lmm	baseline_thickness_1lmm	17689	-0.00064002	0.0087256	0.94153
reverse	ALZ_noAPOE	global_slope	perregion	global_slope	17689	-0.0015612	0.0088607	0.86014
reverse	ALZ_noAPOE	global_slope	1lmm	global_slope_1lmm	17689	-0.0047808	0.0087464	0.58466
reverse	ALZ	baseline_thickness	perregion	baseline_thickness	17772	-0.00056947	0.0087937	0.94837
reverse	ALZ	baseline_thickness	1lmm	baseline_thickness_1lmm	17772	-0.00053021	0.0088031	0.95197
reverse	ALZ	global_slope	perregion	global_slope	17772	-0.0036916	0.0089452	0.67984
reverse	ALZ	global_slope	1lmm	global_slope_1lmm	17772	-0.0049413	0.0088275	0.57565
reverse	ASD	baseline_thickness	perregion	baseline_thickness	17727	-0.0033491	0.0085148	0.69409
reverse	ASD	baseline_thickness	1lmm	baseline_thickness_1lmm	17727	-0.0037564	0.0085228	0.6594
reverse	ASD	global_slope	perregion	global_slope	17727	-0.0038845	0.0086625	0.65386
reverse	ASD	global_slope	1lmm	global_slope_1lmm	17727	-0.0038907	0.0086315	0.65217
reverse	EA	baseline_thickness	perregion	baseline_thickness	17848	0.011558	0.009739	0.23534
reverse	EA	baseline_thickness	1lmm	baseline_thickness_1lmm	17848	0.011639	0.0097469	0.23245
reverse	EA	global_slope	perregion	global_slope	17848	0.014728	0.0099015	0.13691
reverse	EA	global_slope	1lmm	global_slope_1lmm	17848	0.0090194	0.0097307	0.35399
reverse	MDD_EUR	baseline_thickness	perregion	baseline_thickness	17806	0.0093296	0.010318	0.3659
reverse	MDD_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	17806	0.0095994	0.010327	0.35263
reverse	MDD_EUR	global_slope	perregion	global_slope	17806	-0.0072413	0.010476	0.48945
reverse	MDD_EUR	global_slope	1lmm	global_slope_1lmm	17806	0.0030983	0.010347	0.7646
reverse	MDD_div	baseline_thickness	perregion	baseline_thickness	17747	0.0090417	0.010508	0.38956
reverse	MDD_div	baseline_thickness	1lmm	baseline_thickness_1lmm	17747	0.0093459	0.010519	0.37432
reverse	MDD_div	global_slope	perregion	global_slope	17747	-0.0041638	0.010728	0.69792
reverse	MDD_div	global_slope	1lmm	global_slope_1lmm	17747	-0.0031517	0.010613	0.7665
