trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	SCZ_locus_pool	-	455	0.18861	0.029391	0.051711	0.00013297
baseline_thickness	marginal	SCZ_pool_not_prio	-	354	0.18275	0.025191	0.058045	0.00082256
baseline_thickness	marginal	SCZ_prio_finemap	-	61	0.10862	0.006266	0.11338	0.16902
baseline_thickness	marginal	SCZ_prio_rare	-	7	0.27141	0.0053116	0.38432	0.24003
baseline_thickness	marginal	SCZ_prio_smr	-	44	0.16023	0.0078539	0.13534	0.11822
baseline_thickness	marginal	SCZ_prioritised	-	101	0.13233	0.0098119	0.090196	0.071176
baseline_thickness	marginal	SCZ_prioritised_pc	-	101	0.13233	0.0098119	0.090196	0.071176
global_slope	marginal	SCZ_locus_pool	-	455	0.1699	0.026476	0.051636	0.0005016
global_slope	marginal	SCZ_pool_not_prio	-	354	0.1973	0.027197	0.057953	0.00033224
global_slope	marginal	SCZ_prio_finemap	-	61	0.1392	0.0080301	0.1132	0.10941
global_slope	marginal	SCZ_prio_rare	-	7	0.72505	0.014189	0.38369	0.029411
global_slope	marginal	SCZ_prio_smr	-	44	-0.011771	-0.00057695	0.13513	0.5347
global_slope	marginal	SCZ_prioritised	-	101	0.040335	0.0029907	0.090063	0.32713
global_slope	marginal	SCZ_prioritised_pc	-	101	0.040335	0.0029907	0.090063	0.32713
MDD	marginal	SCZ_locus_pool	-	460	0.73138	0.1123	0.069703	5.7691e-26
MDD	marginal	SCZ_pool_not_prio	-	356	0.57458	0.077832	0.078566	1.3716e-13
MDD	marginal	SCZ_prio_finemap	-	64	1.1216	0.06492	0.16108	1.7341e-12
MDD	marginal	SCZ_prio_rare	-	7	2.0878	0.040025	0.50738	1.9484e-05
MDD	marginal	SCZ_prio_smr	-	44	0.6734	0.032335	0.21645	0.00093357
MDD	marginal	SCZ_prioritised	-	104	0.99969	0.073684	0.13258	2.48e-14
MDD	marginal	SCZ_prioritised_pc	-	104	0.99969	0.073684	0.13258	2.48e-14
SCZ	marginal	SCZ_locus_pool	-	457	2.4149	0.37536	0.06709	4.2675e-272
SCZ	marginal	SCZ_pool_not_prio	-	356	2.1271	0.29264	0.076388	1.4303e-166
SCZ	marginal	SCZ_prio_finemap	-	61	2.7711	0.15909	0.16289	1.3963e-64
SCZ	marginal	SCZ_prio_rare	-	7	3.9668	0.07726	0.52226	1.628e-14
SCZ	marginal	SCZ_prio_smr	-	44	2.1835	0.10651	0.21112	2.7682e-25
SCZ	marginal	SCZ_prioritised	-	101	2.5654	0.18931	0.13064	4.7222e-85
SCZ	marginal	SCZ_prioritised_pc	-	101	2.5654	0.18931	0.13064	4.7222e-85
slope_PC1	marginal	SCZ_locus_pool	-	455	-0.01464	-0.0022814	0.051053	0.61285
slope_PC1	marginal	SCZ_pool_not_prio	-	354	0.025481	0.0035124	0.0573	0.32827
slope_PC1	marginal	SCZ_prio_finemap	-	61	-0.18201	-0.0105	0.11187	0.94812
slope_PC1	marginal	SCZ_prio_rare	-	7	-0.22189	-0.0043425	0.37926	0.72075
slope_PC1	marginal	SCZ_prio_smr	-	44	0.03346	0.0016401	0.13356	0.40109
slope_PC1	marginal	SCZ_prioritised	-	101	-0.106	-0.0078592	0.089009	0.88313
slope_PC1	marginal	SCZ_prioritised_pc	-	101	-0.106	-0.0078592	0.089009	0.88313
slope_PC2	marginal	SCZ_locus_pool	-	455	0.018286	0.0028496	0.05114	0.36034
slope_PC2	marginal	SCZ_pool_not_prio	-	354	0.036314	0.0050056	0.057397	0.26348
slope_PC2	marginal	SCZ_prio_finemap	-	61	-0.11351	-0.0065479	0.11207	0.84442
slope_PC2	marginal	SCZ_prio_rare	-	7	0.093616	0.0018321	0.37991	0.40268
slope_PC2	marginal	SCZ_prio_smr	-	44	0.092669	0.0045422	0.13378	0.24426
slope_PC2	marginal	SCZ_prioritised	-	101	-0.032046	-0.0023761	0.089165	0.64035
slope_PC2	marginal	SCZ_prioritised_pc	-	101	-0.032046	-0.0023761	0.089165	0.64035
slope_PC3	marginal	SCZ_locus_pool	-	455	0.042606	0.0066395	0.051186	0.2026
slope_PC3	marginal	SCZ_pool_not_prio	-	354	0.048246	0.0066503	0.057449	0.20052
slope_PC3	marginal	SCZ_prio_finemap	-	61	-0.046647	-0.0026909	0.11218	0.66123
slope_PC3	marginal	SCZ_prio_rare	-	7	0.36498	0.0071428	0.38024	0.16857
slope_PC3	marginal	SCZ_prio_smr	-	44	0.077723	0.0038096	0.13391	0.28082
slope_PC3	marginal	SCZ_prioritised	-	101	0.01309	0.0009706	0.089246	0.44169
slope_PC3	marginal	SCZ_prioritised_pc	-	101	0.01309	0.0009706	0.089246	0.44169
baseline_thickness	cond_on_pool	SCZ_locus_pool	1	455	0.16888	0.026318	0.090821	0.031487
baseline_thickness	cond_on_pool	SCZ_pool_not_prio	1	354	0.026929	0.0037119	0.10193	0.39582
baseline_thickness	cond_on_pool	SCZ_locus_pool	2	455	0.20847	0.032487	0.057896	0.00015913
