kind	disorder_result	phenotype	variable	type	n_genes	beta	beta_std	se	p	file
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	baseline_thickness	baseline_thickness	COVAR	18261	0.022744	0.022675	0.011243	0.043101	PGC3_EUR_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	global_slope	global_slope	COVAR	18261	0.017916	0.017659	0.011246	0.11114	PGC3_EUR_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	slope_PC1	slope_PC1	COVAR	18261	-0.0030971	-0.0030195	0.01136	0.78514	PGC3_EUR_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	slope_PC2	slope_PC2	COVAR	18261	0.0010824	0.0010587	0.011352	0.92404	PGC3_EUR_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	slope_PC3	slope_PC3	COVAR	18261	-0.011263	-0.010897	0.011338	0.32055	PGC3_EUR_vs_slope_PC3.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	baseline_thickness	baseline_thickness	COVAR	18261	0.03003	0.029939	0.011364	0.0082348	PGC3_primary_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	global_slope	global_slope	COVAR	18261	0.020863	0.020563	0.011411	0.067523	PGC3_primary_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	slope_PC1	slope_PC1	COVAR	18261	-0.0030921	-0.0030147	0.011515	0.7883	PGC3_primary_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	slope_PC2	slope_PC2	COVAR	18261	-0.01361	-0.013312	0.01149	0.23622	PGC3_primary_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	slope_PC3	slope_PC3	COVAR	18261	-0.015896	-0.015379	0.011501	0.16697	PGC3_primary_vs_slope_PC3.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_EUR	baseline_thickness	baseline_thickness	COVAR	18270	0.02244	0.022372	0.010949	0.040441	SCZ25_EUR_vs_baseline_thickness.gsa.out
