method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p5	8596	7198	294886	-0.0436000742106854	0.0139837358337595	0.00182771049627233	0.0146216839701786
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p05	8596	7198		-0.0352611323686751	0.0104185688877654	0.000716553438580513	0.00573242750864411
PRSCS	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	8596	7198	1088729	-0.0355048950976309	0.0166787575335942	0.0333046435678005	0.0333046435678005
PRSCS	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	8596	7198	1088729	-0.0218500360371561	0.0104631580289875	0.0368031340540675	0.0368031340540675
SBayesR	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	8596	7198	1075055	-0.0700506458854107	0.0224560513528201	0.0018180687735402	0.0018180687735402
SBayesR	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	8596	7198	1075055	-0.0301711922659106	0.0105234276932567	0.00415371208936221	0.00415371208936221
SBayesRC	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	8596	7198	1154522	-0.0461005465369807	0.0164186827329269	0.00499964769442074	0.00499964769442074
SBayesRC	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	8596	7198	1154522	-0.0286732731608555	0.0104381357620831	0.006027885499105	0.006027885499105
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	1	4308	3601	396516	-0.042402047327838	0.0148649090103809	0.00435975314736608	0.0348780251789287
PRSCS	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	4308	3601	1088729	-0.0265457122155588	0.014624354896084	0.069570465102956	0.069570465102956
