design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
matched	SCZ_pooled	SCZpooled	full	baseline_thickness	8596	8	2000	0.21335388141865877	1.3020550490396043	0.5397301349325337	1.0	yes
matched	SCZ_pooled	SCZpooled	full	slope_PC1	8596	8	2000	0.0016918519921763297	3.197265503868724	0.0069965017491254375	0.013534815937410637	yes
matched	SCZ_pooled	SCZpooled	full	slope_PC2	8596	8	2000	0.07048810869110288	1.8919786583244649	0.18790604697651175	0.563904869528823	yes
matched	SCZ_pooled	SCZpooled	full	slope_PC3	8596	8	2000	0.47941377985845796	0.7195280897559087	0.9000499750124937	1.0	yes
matched	SCZ_pooled	SCZpooled	full	global_slope	8596	8	2000	0.001178417586199059	3.3042940388562205	0.008995502248875561	0.009427340689592473	yes
matched	MDD_pooled	MDDpooled	full	baseline_thickness	8596	8	2000	0.01568781770109707	2.5524893518461402	0.06196901549225387	0.12550254160877655	yes
matched	MDD_pooled	MDDpooled	full	slope_PC1	8596	8	2000	0.040969881949394035	2.0645800062040296	0.14042978510744628	0.3277590555951523	yes
matched	MDD_pooled	MDDpooled	full	slope_PC2	8596	8	2000	0.2648979677071973	1.1157908947897746	0.6646676661669165	1.0	yes
matched	MDD_pooled	MDDpooled	full	slope_PC3	8596	8	2000	0.1813672123240851	1.3753192043516294	0.49025487256371814	1.0	yes
matched	MDD_pooled	MDDpooled	full	global_slope	8596	8	2000	0.08688675537379606	1.7775024303436824	0.26636681659170414	0.6950940429903685	yes
matched	SCZ_eur	SCZeur	EUR	baseline_thickness	4308	8	2000	0.17851280711563677	1.3974149631116193	0.48575712143928035	1.0	yes
matched	SCZ_eur	SCZeur	EUR	slope_PC1	4308	8	2000	0.001458980252469318	3.2674040804256625	0.006496751624187906	0.011671842019754543	yes
matched	SCZ_eur	SCZeur	EUR	slope_PC2	4308	8	2000	0.016505101220943466	2.539607745565429	0.04847576211894053	0.13204080976754773	yes
matched	SCZ_eur	SCZeur	EUR	slope_PC3	4308	8	2000	0.06423268088019922	1.8609304874215193	0.22638680659670166	0.5138614470415938	yes
matched	SCZ_eur	SCZeur	EUR	global_slope	4308	8	2000	0.010381573516508502	2.631646377601496	0.03498250874562719	0.08305258813206802	yes
matched	MDD_eur	MDDeur	EUR	baseline_thickness	4308	8	2000	0.10469686416724251	1.7146646240075696	0.3148425787106447	0.8375749133379401	yes
matched	MDD_eur	MDDeur	EUR	slope_PC1	4308	8	2000	0.0694364359066554	1.8588479205959998	0.21539230384807595	0.5554914872532432	yes
matched	MDD_eur	MDDeur	EUR	slope_PC2	4308	8	2000	0.2451719011473694	1.141567913758	0.6411794102948526	1.0	yes
matched	MDD_eur	MDDeur	EUR	slope_PC3	4308	8	2000	0.2719406470141067	1.1385006307859487	0.6361819090454772	1.0	yes
matched	MDD_eur	MDDeur	EUR	global_slope	4308	8	2000	0.19125515189318162	1.3990025348489497	0.4672663668165917	1.0	yes
matched	ASD	ASD	EUR	baseline_thickness	4308	8	2000	0.006923075270468837	2.7649785613267146	0.046476761619190406	0.0553846021637507	yes
matched	ASD	ASD	EUR	slope_PC1	4308	8	2000	0.16948571484924554	1.42251737992176	0.5702148925537232	1.0	yes
matched	ASD	ASD	EUR	slope_PC2	4308	8	2000	0.43391206608376165	0.7791787640843566	0.9460269865067467	1.0	yes
matched	ASD	ASD	EUR	slope_PC3	4308	8	2000	0.5327669842330622	0.6235844513804691	0.9825087456271864	1.0	yes
