atlas	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	n
hcp	MDD_eur	EUR	CT	raw	-0.0211871033028112	0.0147855417402584	1.0	-0.0332852163334211	0.0144456455787515	0.170106426306838	4308
hcp	MDD_eur	EUR	PRSCS	raw	-0.0097538906987177	0.0146722671563918	0.506225865897377	-0.0293900706069658	0.0145281545331927	0.0431414864642899	4308
hcp	MDD_eur	EUR	SBayesR	raw	-0.0239848919263909	0.0148471189378411	0.106289079205898	-0.0425081032649169	0.0146883046216672	0.0038241230623733	4308
hcp	MDD_eur	EUR	SBayesRC	raw	-0.0167258512549457	0.0147572464068054	0.257113380446008	-0.0343906874227015	0.0146021115555803	0.0185614331306551	4308
hcp	MDD_pooled	full	CT	zanc	-0.0157686160694888	0.0104989736941967	1.0	-0.0281488336573383	0.0104401351956449	0.0562236304905409	8596
hcp	MDD_pooled	full	PRSCS	zanc	-0.0151267954682759	0.0104924347695842	0.149429344879222	-0.024395782266989	0.0103841181925082	0.0188309378382163	8596
hcp	MDD_pooled	full	SBayesR	zanc	-0.0231578001199007	0.0105933946783323	0.0288399061686733	-0.0305746548597554	0.0104762053085691	0.0035272472990538	8596
hcp	MDD_pooled	full	SBayesRC	zanc	-0.0181721882056631	0.0105038031088883	0.083657951237256	-0.0248086913844519	0.0103920244559121	0.0169965706974108	8596
hcp	SCZ_eur	EUR	CT	raw	-0.0396020949161512	0.0147761016022898	0.059110282977032	-0.0389833787470186	0.0146264368051695	0.0617900892528436	4308
hcp	SCZ_eur	EUR	PRSCS	raw	-0.029370817594446	0.0147483757018074	0.0464968566913613	-0.0273950089564393	0.0146014646830129	0.0607031397478027	4308
hcp	SCZ_eur	EUR	SBayesR	raw	-0.0338011058948604	0.0148073873215179	0.0224977910622555	-0.0262847768162816	0.0146697967009292	0.07324615711681	4308
hcp	SCZ_eur	EUR	SBayesRC	raw	-0.0332320210815465	0.0147059644663818	0.0238880044691322	-0.0263969429355137	0.014569465891206	0.0700915951031619	4308
hcp	SCZ_pooled	full	CT	zanc	-0.0352611323686751	0.0104185688877654	0.0057324275086441	-0.0364015938262458	0.0103136504517916	0.0033498443672785	8596
hcp	SCZ_pooled	full	PRSCS	zanc	-0.0218500360371561	0.0104631580289875	0.0368031340540675	-0.0253108520067116	0.0103564557325611	0.0145479950609675	8596
hcp	SCZ_pooled	full	SBayesR	zanc	-0.0301711922659106	0.0105234276932567	0.0041537120893622	-0.027486382276921	0.0104205855754636	0.0083629727824986	8596
hcp	SCZ_pooled	full	SBayesRC	zanc	-0.0286732731608555	0.0104381357620831	0.006027885499105	-0.0298537785824545	0.0103357894962969	0.0038824466076851	8596
