atlas	phenotype	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	n
hcp	baseline_thickness	SCZ_pooled	full	CT	zanc	0.0143164520943879	0.01095227323007	1.0	0.0141277559467833	0.0109634546474791	1.0	8596
hcp	baseline_thickness	SCZ_pooled	full	PRSCS	zanc	0.0041128819806171	0.0108269847357889	0.704048957651516	0.0036121240090516	0.0108380542836481	0.738929925445813	8596
hcp	baseline_thickness	SCZ_pooled	full	SBayesR	zanc	0.0166198309321504	0.0108872330053004	0.126911739625852	0.0161134416488096	0.010898436008219	0.139308379642586	8596
hcp	baseline_thickness	SCZ_pooled	full	SBayesRC	zanc	0.009650210981176	0.0107905370178419	0.371175003145443	0.0089474237724255	0.0108016276106131	0.407500925456395	8596
hcp	baseline_thickness	MDD_pooled	full	CT	zanc	-0.0148208224195601	0.0107736323572973	1.0	-0.0149527259734297	0.0107846054190602	1.0	8596
hcp	baseline_thickness	MDD_pooled	full	PRSCS	zanc	-0.0091845039575122	0.0108681898063603	0.398089263466022	-0.0096011568054131	0.0108792205444187	0.377519311093174	8596
hcp	baseline_thickness	MDD_pooled	full	SBayesR	zanc	-0.0026108540725044	0.0110039504343583	0.812456862420946	-0.0030498206382391	0.0110151236727197	0.781882312333837	8596
hcp	baseline_thickness	MDD_pooled	full	SBayesRC	zanc	-0.002738745579183	0.0108920048395178	0.80147579640753	-0.0031183186459981	0.0109030804792411	0.774882474404668	8596
hcp	baseline_thickness	SCZ_eur	EUR	CT	raw	-0.0220854408888385	0.0153317295589371	1.0	-0.0219746213445778	0.0153509404616668	1.0	4308
hcp	baseline_thickness	SCZ_eur	EUR	PRSCS	raw	0.0098085548467148	0.0155894577935611	0.529265624633821	0.0097381926447684	0.0156091278820359	0.532740883279781	4308
hcp	baseline_thickness	SCZ_eur	EUR	SBayesR	raw	0.018655807747713	0.0156264823663	0.232599366379988	0.0184626788555831	0.0156461588846952	0.238060272823617	4308
hcp	baseline_thickness	SCZ_eur	EUR	SBayesRC	raw	0.0198633660210364	0.0155205567602756	0.200681136992836	0.0196423808987511	0.0155401270434197	0.206306561825598	4308
hcp	baseline_thickness	MDD_eur	EUR	CT	raw	-0.0242271286266936	0.0153692062860018	0.920165440171863	-0.0251489058772665	0.0153881379212314	0.818145997446948	4308
