method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	raw	BIPeur	0p001	baseline_thickness	EUR	4308	3601	691	726	-0.033126670698765	0.039074050684511	0.396821559517642	0.0294628905869927	0.0167470378058783	0.0786130588145563	0.0625895612857578	0.0425223194363637	1.47192256009048	0.14104179067919
CT	BIP_eur	raw	BIPeur	0p01	baseline_thickness	EUR	4308	3601	691	726	-0.0104348140864829	0.039712708933795	0.792809261923394	0.0432783984186587	0.0168888323934084	0.010430923146694	0.0537132125051416	0.0431719007712102	1.24417066530833	0.213436757666462
CT	BIP_eur	raw	BIPeur	0p05	baseline_thickness	EUR	4308	3601	691	726	-0.0030928257262893	0.0418247942048725	0.941072069193708	0.0385691718739337	0.0171496341605004	0.0245740079664395	0.041661997600223	0.0452311209343492	0.921091424214169	0.357002697200387
CT	BIP_eur	raw	BIPeur	0p1	baseline_thickness	EUR	4308	3601	691	726	-0.0188375211113621	0.0420710925190391	0.654459349152333	0.0297359315484074	0.0171979733845087	0.0838876207020614	0.0485734526597695	0.0454735235889125	1.06816997730109	0.285443844840904
CT	BIP_eur	raw	BIPeur	0p5	baseline_thickness	EUR	4308	3601	691	726	-0.0082948907565647	0.0427726340502034	0.846283149682277	0.0236867425654861	0.0173561648782105	0.172417983971667	0.0319816333220509	0.046185907149641	0.692454371815874	0.488652030706006
CT	BIP_eur	raw	BIPeur	1	baseline_thickness	EUR	4308	3601	691	726	-0.0101019603831623	0.0428337953287104	0.813620299957119	0.0208231680752877	0.0173591833075468	0.23039351939398	0.03092512845845	0.0462410073124596	0.668781461646862	0.503634894032617
CT	BIP_eur	raw	BIPeur	1e-5	baseline_thickness	EUR	4308	3601	691	726	-0.0747455246165985	0.0392923575860759	0.0575139212596637	-0.0178992794721997	0.0167838438980438	0.286288200173679	0.0568462451443988	0.0427131886346666	1.33088273110712	0.18322760025764
CT	BIP_eur	raw	BIPeur	5e-8	baseline_thickness	EUR	4308	3601	691	726	-0.0476691550348314	0.0382549800020115	0.213117810927383	-0.038649539395745	0.0167046782163969	0.0207403590128666	0.0090196156390864	0.0417378574720594	0.216101548698911	0.828908592549175
CT	BIP_eur	raw	BIPeur	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.0521493105977951	0.0275747540757001	0.058794747956465	0.0225728954323509	0.0117012074254771	0.0537567040305863	0.0747222060301459	0.0299621957711627	2.4938828449303	0.0126354241084547
CT	BIP_eur	raw	BIPeur	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.0329447717162991	0.028441070412755	0.246909073791749	0.0198221426890512	0.0118868579701366	0.0954450364474841	0.0527669144053502	0.0308357783893487	1.71122368759716	0.0870398274982344
CT	BIP_eur	raw	BIPeur	0p05	baseline_thickness	full	8596	7198	1350	1449	0.0041298808615366	0.032396929904938	0.898579932790331	0.0143946225336298	0.0132963464085338	0.279022449596287	0.0102647416720931	0.0350178694106773	0.293128675297513	0.769423799242626
CT	BIP_eur	raw	BIPeur	0p1	baseline_thickness	full	8596	7198	1350	1449	-0.0008053322321785	0.0333250238963696	0.980723492671774	0.0141078396857723	0.0135305653514501	0.297138755384809	0.0149131719179509	0.0359551234649482	0.41477181777694	0.67830895226365
CT	BIP_eur	raw	BIPeur	0p5	baseline_thickness	full	8596	7198	1350	1449	0.0017764127830611	0.0344532586798532	0.958886243284015	0.0053871979816075	0.0139518391813248	0.699413177843024	0.0036107851985464	0.0371499714460212	0.0971948310590997	0.922571672829057
CT	BIP_eur	raw	BIPeur	1	baseline_thickness	full	8596	7198	1350	1449	-9.91426222787262e-05	0.0347004865812901	0.997720758450518	0.0034604102948419	0.014014085487943	0.804974290854517	0.0035595529171206	0.0374004779185577	0.0951739955000542	0.924176624792912
CT	BIP_eur	raw	BIPeur	1e-5	baseline_thickness	full	8596	7198	1350	1449	-0.0872953210953285	0.0278605411877648	0.0017628037110401	-0.0087439792661649	0.0117788059445966	0.457900603234799	0.0785513418291636	0.0302420607674279	2.59742027612639	0.0093926921409137
CT	BIP_eur	raw	BIPeur	5e-8	baseline_thickness	full	8596	7198	1350	1449	-0.0558307243261972	0.0276656376550092	0.0437674018062623	-0.0172015686453722	0.0118873981504559	0.147928686852502	0.038629155680825	0.0300874845614112	1.28389449114563	0.199178875045727
CT	BIP_eur	raw	BIPeur	0p001	global_slope	EUR	4308	3601	691	726	-0.0251421080632889	0.0456909851499921	0.582300838739964	-0.0336675892632125	0.0153968366262418	0.0288338035165721	-0.0085254811999236	0.0482233994496686	-0.17679137715751	0.859672262398924
CT	BIP_eur	raw	BIPeur	0p01	global_slope	EUR	4308	3601	691	726	-0.0301822424583554	0.0464129561573829	0.51569811199129	-0.0445635080654422	0.0155359562470742	0.0041500251692044	-0.0143812656070868	0.0489572062394983	-0.293751762237693	0.768947597729533
