method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	0p001	8596	7198	5106	-0.0258244752809909	0.0109230606551179	0.0180915479468165	0.144732383574532
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	0p1	8596	7198	89243	-0.026884333287198	0.0121268898713445	0.0266559552163184	0.213247641730547
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	5e-8	8596	7198	110	-0.0231989212604795	0.0109309043190017	0.0338391244295913	0.27071299543673
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	0p01	8596	7198	19894	0.0135668001767749	0.0112661839992144	0.22854488013925	1.0
CT	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	0p01	8596	7198	19894	-0.0124752907061198	0.0111630968477963	0.26379262031541	1.0
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	0p05	4308	3601	56597	-0.0501044674568072	0.014985701879707	0.0008348179613692	0.0066785436909543
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	0p01	4308	3601	19894	-0.0447776683168188	0.0154248208576174	0.0037168654813916	0.0297349238511333
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	5e-8	4308	3601	110	-0.0400961123819556	0.0153090893713187	0.0088470905374835	0.0707767242998681
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	0p01	4308	3601	19894	0.0409097944527085	0.0157302734110645	0.0093366984706236	0.0746935877649888
CT	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	0p01	4308	3601	19894	-0.0264533859495399	0.0156587403106	0.0912231953182408	0.729785562545927
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	global_slope	0p1	8596	7198	89243	-0.0234512675434841	0.0105867699259618	0.0267771757954781	0.214217406363825
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	0p001	8596	7198	5106	-0.0231970632257014	0.0108325446937641	0.0322693347767413	0.25815467821393
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	5e-8	8596	7198	110	-0.022531474396555	0.0106420086612136	0.0342698961142812	0.274159168914249
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	5e-8	8596	7198	110	0.0145115210722313	0.0108425230857521	0.180805955207846	1.0
CT	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	0p01	8596	7198	19894	0.0106510351536679	0.0110609130035913	0.335604095054401	1.0
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	5e-8	8596	7198	127	-0.0241140585815249	0.0109526845045062	0.0277160586522553	0.221728469218043
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	1e-5	8596	7198	623	-0.0211057043548312	0.0111948279957785	0.0594240573493478	0.475392458794782
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	0p05	8596	7198	51175	-0.0197570452218812	0.0109437394323585	0.0710599505321568	0.568479604257255
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	0p1	8596	7198	79137	0.0139866829091625	0.0117349288653265	0.233340875571869	1.0
CT	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	0p1	8596	7198	79137	-0.0097577392823928	0.0118384758708052	0.409827762232551	1.0
