design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
primary	SCZ25_EUR	SCZ25EUR	EUR	baseline_thickness	4308	8	2000	0.13187574499536986	1.583096684710388	0.367816091954023	1.0	yes
primary	SCZ25_EUR	SCZ25EUR	EUR	slope_PC1	4308	8	2000	0.0001361009886203139	3.892753041093131	0.0024987506246876563	0.0010888079089625112	yes
primary	SCZ25_EUR	SCZ25EUR	EUR	slope_PC2	4308	8	2000	0.0020307526540380948	3.237813327456562	0.005497251374312844	0.016246021232304758	yes
primary	SCZ25_EUR	SCZ25EUR	EUR	slope_PC3	4308	8	2000	0.25962050118880475	1.117364777751126	0.63968015992004	1.0	yes
primary	SCZ25_EUR	SCZ25EUR	EUR	global_slope	4308	8	2000	0.0007350758795596926	3.367670936430647	0.00399800099950025	0.005880607036477541	yes
primary	SCZ25_META	SCZ25META	full	baseline_thickness	8596	8	2000	0.19862677893536712	1.3394485182986817	0.504247876061969	1.0	yes
primary	SCZ25_META	SCZ25META	full	slope_PC1	8596	8	2000	0.0003496581645531529	3.5853452606805742	0.0029985007496251873	0.002797265316425223	yes
primary	SCZ25_META	SCZ25META	full	slope_PC2	8596	8	2000	0.02974437389304924	2.270075852565531	0.09095452273863068	0.23795499114439392	yes
primary	SCZ25_META	SCZ25META	full	slope_PC3	8596	8	2000	0.6800480229043284	0.426282889197538	0.9890054972513743	1.0	yes
primary	SCZ25_META	SCZ25META	full	global_slope	8596	8	2000	0.001330393617210341	3.22453570337112	0.0079960019990005	0.010643148937682728	yes
secondary	SCZ25_META	SCZ25META	EUR	baseline_thickness	4308	8	2000	0.3295501666393422	1.0103861594902457	0.7216391804097951	1.0	no (multi->EUR, not confounded)
secondary	SCZ25_META	SCZ25META	EUR	slope_PC1	4308	8	2000	0.0039524124966811205	2.9081071033815356	0.020989505247376312	0.031619299973448964	no (multi->EUR, not confounded)
secondary	SCZ25_META	SCZ25META	EUR	slope_PC2	4308	8	2000	0.012095557679862584	2.621439102887656	0.04247876061969016	0.09676446143890068	no (multi->EUR, not confounded)
secondary	SCZ25_META	SCZ25META	EUR	slope_PC3	4308	8	2000	0.16065527882552044	1.4237577452199526	0.44427786106946526	1.0	no (multi->EUR, not confounded)
secondary	SCZ25_META	SCZ25META	EUR	global_slope	4308	8	2000	0.01618198948484455	2.4012402966585507	0.05647176411794103	0.1294559158787564	no (multi->EUR, not confounded)
primary_matched	SCZ25_MATCHED	SCZ25MATCHED	full	baseline_thickness	8596	8	2000	0.20224435083900336	1.3155186463138526	0.5432283858070964	1.0	yes
primary_matched	SCZ25_MATCHED	SCZ25MATCHED	full	slope_PC1	8596	8	2000	0.0014481025739109825	3.268084235134554	0.0069965017491254375	0.01158482059128786	yes
primary_matched	SCZ25_MATCHED	SCZ25MATCHED	full	slope_PC2	8596	8	2000	0.03713928132499217	2.1775085901070463	0.12243878060969515	0.29711425059993735	yes
primary_matched	SCZ25_MATCHED	SCZ25MATCHED	full	slope_PC3	8596	8	2000	0.15444447285392995	1.4742993571109382	0.42828585707146427	1.0	yes
primary_matched	SCZ25_MATCHED	SCZ25MATCHED	full	global_slope	8596	8	2000	0.0016798403028488156	3.191776838612771	0.010994502748625687	0.013438722422790525	yes
