atlas	phenotype	cell	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	thr_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	thr_1lmm	n
hcp	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	CT	raw	0.0191318887962806	0.0156511493575891	1.0	0p5	0.0188404524070723	0.0156710654701616	1.0	0p5	4308
hcp	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	PRSCS	raw	0.0161258888658005	0.0155188520800895	0.298809440366214	prscs	0.0160211654904421	0.0155384794564299	0.302569096915793	prscs	4308
hcp	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	SBayesR	raw	0.0200974874724884	0.0155064136130183	0.195019181985967	sbr	0.0197728098148312	0.0155260582211828	0.202901198026324	sbr	4308
hcp	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	SBayesRC	raw	0.0210923752172976	0.0154791394466344	0.173070079806991	sbrc	0.0208061120184699	0.0154987685021632	0.179525671836422	sbrc	4308
hcp	baseline_thickness	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	PRSCSX	raw	0.0060906998135288	0.0154267007887485	0.692998733799447	csx	0.0058135094279824	0.0154461324747603	0.706658134568241	csx	4308
hcp	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	CT	zanc	0.0062520839311965	0.010939541099002	1.0	0p1	-0.0060359007917889	0.0106576317267954	1.0	5e-8	8596
hcp	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCS	zanc	-0.0022147149458241	0.0107177253332085	0.836295633337466	prscs	-0.002539978865623	0.010728670192239	0.812858857674809	prscs	8596
hcp	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesR	zanc	0.0056740404760725	0.0107142515578125	0.596417725557991	sbr	0.0056268296292162	0.0107252130893796	0.599850048330317	sbr	8596
hcp	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesRC	zanc	-2.43532973564043e-05	0.0107122772261204	0.99818614335285	sbrc	-0.0005054398918279	0.0107232219290336	0.962406671494135	sbrc	8596
hcp	baseline_thickness	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCSX	zanc	-0.0050696855382871	0.0106826212193296	0.63510333643053	csx	-0.0054582309774226	0.0106935187822551	0.609767459886359	csx	8596
