method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	1	8596	7198	396780.0	-0.0698314599714921	0.0176754786855234	7.85740768205716e-05	0.0006285926145645
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.0587272677448554	0.0157332604646694	0.0001907266185907	0.0015258129487259
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	1	8596	7198	396780.0	0.0515084017961047	0.0179310067369044	0.0040818258167235	0.0326546065337885
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.0350657992824957	0.0175376057275981	0.0455899014810809	0.364719211848647
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	0p01	8596	7198	28925.0	-0.0094821134468954	0.0128118269523494	0.459256539265124	1.0
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	1	4308	3601	396780.0	-0.0597853746506764	0.0154345029297736	0.0001090689553266	0.0008725516426132
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	1	4308	3601	396780.0	-0.0509829978620716	0.0147719531521589	0.0005635295665803	0.0045082365326426
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	1	4308	3601	396780.0	0.0452005266926434	0.0157687146682738	0.0041724485738066	0.0333795885904529
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	4308	3601	292703.0	0.0191318887962806	0.0156511493575891	0.221625665162703	1.0
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	1e-5	4308	3601	1623.0	0.0176503436976415	0.0154766173823228	0.254162970794355	1.0
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	1	8596	7198	396780.0	-0.0475198730215836	0.0109664063717095	1.48750654214251e-05	0.0001190005233714
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.0413767352104308	0.0104339705072652	7.38418794892033e-05	0.0005907350359136
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	1	8596	7198	396780.0	0.0366741314456992	0.0111268287736874	0.0009849431661521	0.007879545329217
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.029149777133654	0.0108842026336193	0.007416767470439	0.059334139763512
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	0p1	8596	7198	112113.0	-0.0106447074885163	0.0109732547663324	0.332045490654725	1.0
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC2	1e-5	8596	7198	120.0	-0.0247107559621034	0.0113151958145048	0.0290011224606166	0.232008979684933
