method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ25_EUR	raw	SCZ25EUR	0p001	baseline_thickness	EUR	4308	3601	691	726	0.0213210871083499	0.0399891268360808	0.594070879551679	-0.0114312026020053	0.0167102775056209	0.493967250058776	-0.0327522897103552	0.0433323746046665	-0.755838792800153	0.449745854970956
CT	SCZ25_EUR	raw	SCZ25EUR	0p01	baseline_thickness	EUR	4308	3601	691	726	0.0132595546676434	0.0405153065616547	0.743552160127386	0.0012765245546118	0.0167289404225306	0.93917961008557	-0.0119830301130315	0.0438317975327151	-0.273386691569919	0.784555981862111
CT	SCZ25_EUR	raw	SCZ25EUR	0p05	baseline_thickness	EUR	4308	3601	691	726	0.033779351084403	0.0405576623458647	0.405180265844964	0.0017291855836458	0.0167865084734067	0.917960426948707	-0.0320501655007572	0.0439160622705708	-0.729805083691093	0.465509336611172
CT	SCZ25_EUR	raw	SCZ25EUR	0p1	baseline_thickness	EUR	4308	3601	691	726	0.034441454722926	0.0406394671479832	0.396992532407394	0.0124573544176755	0.0168242308622256	0.459080552488234	-0.0219841003052505	0.0440104574183037	-0.499519923101445	0.617413154873478
CT	SCZ25_EUR	raw	SCZ25EUR	0p5	baseline_thickness	EUR	4308	3601	691	726	0.0393476082666299	0.0417284620983438	0.346011805656789	0.0158030976931094	0.0168986933438426	0.349765162222596	-0.0235445105735205	0.0450511052660571	-0.522617823346938	0.60124023481401
CT	SCZ25_EUR	raw	SCZ25EUR	1	baseline_thickness	EUR	4308	3601	691	726	0.0320823022701838	0.04177548509826	0.442745863640545	0.0165872855047826	0.0168983072103226	0.326365741698886	-0.0154950167654011	0.0450959197155095	-0.343601302804166	0.731146144808225
CT	SCZ25_EUR	raw	SCZ25EUR	1e-5	baseline_thickness	EUR	4308	3601	691	726	-0.0040109326994601	0.038080667128188	0.916144066065822	-0.0104084317403241	0.0167681302532517	0.534818518297133	-0.0063974990408639	0.041591873231608	-0.153816083378571	0.877754752053867
CT	SCZ25_EUR	raw	SCZ25EUR	5e-8	baseline_thickness	EUR	4308	3601	691	726	0.0056395040265987	0.0383252102035203	0.883053888627429	-0.0183359019069473	0.0167296094026725	0.273145226392233	-0.0239754059335461	0.0417885920751433	-0.573730885463527	0.566149924759056
CT	SCZ25_EUR	raw	SCZ25EUR	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.0105002001697336	0.0290702300712615	0.718001092305283	-0.0011505580583438	0.012174040032754	0.924707368857033	0.0093496421113897	0.0314957652874987	0.296853942936285	0.766578020134513
CT	SCZ25_EUR	raw	SCZ25EUR	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.0103890043310568	0.0327426392092418	0.751066575566131	0.0072377352421385	0.0136122685655283	0.594945508197348	0.0176267395731954	0.0353759642638501	0.498268808780084	0.618294589373957
CT	SCZ25_EUR	raw	SCZ25EUR	0p05	baseline_thickness	full	8596	7198	1350	1449	0.0090865188441897	0.0387877949555167	0.814814024166766	0.0201435275127306	0.0162415415353867	0.214923990098134	0.0110570086685409	0.0418188438930755	0.264402542949584	0.79146975224085
CT	SCZ25_EUR	raw	SCZ25EUR	0p1	baseline_thickness	full	8596	7198	1350	1449	0.0190539205433602	0.041899958519165	0.649357843726236	0.0288773538134456	0.0175108103775519	0.0991669272219315	0.0098234332700853	0.0451062399968479	0.217784352470342	0.827597136868493
CT	SCZ25_EUR	raw	SCZ25EUR	0p5	baseline_thickness	full	8596	7198	1350	1449	0.0493529482772529	0.0456785945564752	0.280124058199303	0.032764635745033	0.0188074108162225	0.0815307784100371	-0.0165883125322199	0.0489689177170405	-0.338751871709172	0.734796660517266
CT	SCZ25_EUR	raw	SCZ25EUR	1	baseline_thickness	full	8596	7198	1350	1449	0.0462874251037451	0.0456866166076153	0.311155153318048	0.030176671815385	0.0187736229648922	0.108010499423816	-0.0161107532883601	0.0489726960879688	-0.328974195323464	0.742175192590692
