method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.746059972361327	1.22899027140011	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.715204966003578	1.35886380483498	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.205304104946404	4.57954209286254	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.31258662235495	3.56375768214639	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.163029655099226	5.12270205015739	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.178050894874728	4.91601973831712	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.688532077932552	1.4729297318554	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.876184912014097	0.68730879188297	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	pooled_stratumFE	all	8596	7198	-0.0035800309075541	0.0107137685876821	0.73827276972842			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0031259244425098	0.0109179384368695	0.774646953519183			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0138502347781119	0.0113045750711076	0.220537895309212			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0191041470013412	0.0114965319047497	0.0966032404692045			8	0.772825923753636
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0234804583528311	0.0117567330666539	0.0458359268471277			8	0.366687414777022
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0216545374633958	0.0117663093975898	0.0657464069725194			8	0.525971255780155
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	pooled_stratumFE	all	8596	7198	-0.0102371062840379	0.0106879622564868	0.338182274228373			8	1.0
