comparison	variable	type	n_genes	beta	se	p
baseline_thickness_ahba_components_posneg	C1+	COVAR	6940	0.03882	0.034225	0.25673
baseline_thickness_ahba_components_posneg	C2+	COVAR	6940	0.036671	0.054005	0.49714
baseline_thickness_ahba_components_posneg	C3+	COVAR	6940	0.077036	0.068872	0.26338
baseline_thickness_ahba_components_posneg	C1-	COVAR	6940	-0.035626	0.03227	0.26964
baseline_thickness_ahba_components_posneg	C2-	COVAR	6940	0.055156	0.060251	0.36
baseline_thickness_ahba_components_posneg	C3-	COVAR	6940	-0.04505	0.069972	0.51971
baseline_thickness_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	3.1803	1.4007	0.0232
baseline_thickness_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	3.3451	1.191	0.0049843
baseline_thickness_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	1.0273	2.2777	0.65199
baseline_thickness_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	2.5862	10.544	0.80624
global_slope_ahba_components_posneg	C1+	COVAR	6940	0.028464	0.033518	0.39579
global_slope_ahba_components_posneg	C2+	COVAR	6940	-0.024225	0.052889	0.64695
global_slope_ahba_components_posneg	C3+	COVAR	6940	0.059088	0.06745	0.38105
global_slope_ahba_components_posneg	C1-	COVAR	6940	-0.06589	0.031595	0.037067
global_slope_ahba_components_posneg	C2-	COVAR	6940	-0.016779	0.059008	0.77615
global_slope_ahba_components_posneg	C3-	COVAR	6940	0.062503	0.068522	0.36172
global_slope_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	0.9073	1.392	0.51456
global_slope_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	2.6685	1.1835	0.02417
global_slope_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	-0.242	2.2631	0.91484
global_slope_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	-5.7896	10.476	0.58052
MDD_vs_baseline_thickness	baseline_thickness	COVAR	18224	0.036109	0.011507	0.0017049
MDD_vs_global_slope	global_slope	COVAR	18224	0.012627	0.011659	0.27881
MDD_vs_slope_PC1	slope_PC1	COVAR	18224	-0.010423	0.011835	0.37847
MDD_vs_slope_PC2	slope_PC2	COVAR	18224	-0.013554	0.011783	0.25004
MDD_vs_slope_PC3	slope_PC3	COVAR	18224	0.010748	0.011887	0.36589
SCZ_vs_baseline_thickness	baseline_thickness	COVAR	18253	0.043554	0.011655	0.00018697
SCZ_vs_global_slope	global_slope	COVAR	18253	0.017705	0.011792	0.13328
SCZ_vs_slope_PC1	slope_PC1	COVAR	18253	0.017991	0.011969	0.13284
SCZ_vs_slope_PC2	slope_PC2	COVAR	18253	-0.0061646	0.011883	0.60393
SCZ_vs_slope_PC3	slope_PC3	COVAR	18253	0.0375	0.012038	0.0018418
slope_PC1_ahba_components_posneg	C1+	COVAR	6940	0.050418	0.03265	0.1226
slope_PC1_ahba_components_posneg	C2+	COVAR	6940	0.0089553	0.051527	0.86203
slope_PC1_ahba_components_posneg	C3+	COVAR	6940	0.030178	0.065715	0.64609
slope_PC1_ahba_components_posneg	C1-	COVAR	6940	-0.1069	0.030762	0.00051393
slope_PC1_ahba_components_posneg	C2-	COVAR	6940	0.020538	0.057487	0.7209
slope_PC1_ahba_components_posneg	C3-	COVAR	6940	0.090268	0.066751	0.17632
slope_PC1_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	0.56944	1.3628	0.67608
slope_PC1_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	1.6435	1.1589	0.15615
slope_PC1_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	1.7525	2.2156	0.42897
slope_PC1_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	-5.7002	10.257	0.57838
slope_PC2_ahba_components_posneg	C1+	COVAR	6940	0.050302	0.033321	0.13119
slope_PC2_ahba_components_posneg	C2+	COVAR	6940	0.017651	0.052585	0.73714
slope_PC2_ahba_components_posneg	C3+	COVAR	6940	-0.042583	0.067063	0.52548
slope_PC2_ahba_components_posneg	C1-	COVAR	6940	-0.061066	0.031414	0.051953
slope_PC2_ahba_components_posneg	C2-	COVAR	6940	0.012359	0.058668	0.83316
slope_PC2_ahba_components_posneg	C3-	COVAR	6940	0.059455	0.068127	0.38285
slope_PC2_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	0.46787	1.3723	0.73316
slope_PC2_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	0.77843	1.167	0.50475
slope_PC2_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	-0.19454	2.231	0.93052
slope_PC2_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	9.7207	10.327	0.3466
slope_PC3_ahba_components_posneg	C1+	COVAR	6940	0.02317	0.032992	0.48253
slope_PC3_ahba_components_posneg	C2+	COVAR	6940	0.018322	0.052058	0.72488
slope_PC3_ahba_components_posneg	C3+	COVAR	6940	0.021426	0.066393	0.74693
slope_PC3_ahba_components_posneg	C1-	COVAR	6940	-0.077392	0.031094	0.012836
slope_PC3_ahba_components_posneg	C2-	COVAR	6940	0.07324	0.058074	0.2073
slope_PC3_ahba_components_posneg	C3-	COVAR	6940	0.10047	0.067438	0.1363
slope_PC3_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	0.40992	1.363	0.76361
