trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	SCZ_locus_pool	-	455	0.15331	0.023894	0.051277	0.0013983
baseline_thickness	marginal	SCZ_pool_not_prio	-	354	0.15256	0.021033	0.058074	0.0043115
baseline_thickness	marginal	SCZ_prio_finemap	-	61	0.11865	0.0068457	0.11426	0.14953
baseline_thickness	marginal	SCZ_prio_rare	-	7	0.021169	0.00041434	0.38337	0.47798
baseline_thickness	marginal	SCZ_prio_smr	-	44	0.10914	0.0053502	0.1373	0.21335
baseline_thickness	marginal	SCZ_prioritised	-	101	0.10969	0.0081342	0.091652	0.11571
baseline_thickness	marginal	SCZ_prioritised_pc	-	101	0.10969	0.0081342	0.091652	0.11571
global_slope	marginal	SCZ_locus_pool	-	455	0.12669	0.019746	0.051595	0.0070409
global_slope	marginal	SCZ_pool_not_prio	-	354	0.146	0.020128	0.05843	0.0062391
global_slope	marginal	SCZ_prio_finemap	-	61	0.0063346	0.00036548	0.11496	0.47803
global_slope	marginal	SCZ_prio_rare	-	7	0.71321	0.01396	0.38566	0.032216
global_slope	marginal	SCZ_prio_smr	-	44	0.11991	0.0058785	0.13814	0.19269
global_slope	marginal	SCZ_prioritised	-	101	0.041046	0.0030439	0.092216	0.32812
global_slope	marginal	SCZ_prioritised_pc	-	101	0.041046	0.0030439	0.092216	0.32812
MDD	marginal	SCZ_locus_pool	-	460	0.73138	0.1123	0.069703	5.7691e-26
MDD	marginal	SCZ_pool_not_prio	-	356	0.57458	0.077832	0.078566	1.3716e-13
MDD	marginal	SCZ_prio_finemap	-	64	1.1216	0.06492	0.16108	1.7341e-12
MDD	marginal	SCZ_prio_rare	-	7	2.0878	0.040025	0.50738	1.9484e-05
MDD	marginal	SCZ_prio_smr	-	44	0.6734	0.032335	0.21645	0.00093357
MDD	marginal	SCZ_prioritised	-	104	0.99969	0.073684	0.13258	2.48e-14
MDD	marginal	SCZ_prioritised_pc	-	104	0.99969	0.073684	0.13258	2.48e-14
SCZ	marginal	SCZ_locus_pool	-	457	2.4149	0.37536	0.06709	4.2675e-272
SCZ	marginal	SCZ_pool_not_prio	-	356	2.1271	0.29264	0.076388	1.4303e-166
SCZ	marginal	SCZ_prio_finemap	-	61	2.7711	0.15909	0.16289	1.3963e-64
SCZ	marginal	SCZ_prio_rare	-	7	3.9668	0.07726	0.52226	1.628e-14
SCZ	marginal	SCZ_prio_smr	-	44	2.1835	0.10651	0.21112	2.7682e-25
SCZ	marginal	SCZ_prioritised	-	101	2.5654	0.18931	0.13064	4.7222e-85
SCZ	marginal	SCZ_prioritised_pc	-	101	2.5654	0.18931	0.13064	4.7222e-85
slope_PC1	marginal	SCZ_locus_pool	-	455	-0.018597	-0.0028985	0.050912	0.64255
slope_PC1	marginal	SCZ_pool_not_prio	-	354	0.017638	0.0024316	0.057657	0.37984
slope_PC1	marginal	SCZ_prio_finemap	-	61	-0.06663	-0.0038442	0.11341	0.72156
slope_PC1	marginal	SCZ_prio_rare	-	7	0.31707	0.0062063	0.38051	0.20235
slope_PC1	marginal	SCZ_prio_smr	-	44	-0.14318	-0.0070194	0.13628	0.85329
slope_PC1	marginal	SCZ_prioritised	-	101	-0.10329	-0.0076602	0.090972	0.8719
slope_PC1	marginal	SCZ_prioritised_pc	-	101	-0.10329	-0.0076602	0.090972	0.8719
slope_PC2	marginal	SCZ_locus_pool	-	455	0.065226	0.010166	0.051747	0.10376
slope_PC2	marginal	SCZ_pool_not_prio	-	354	0.094596	0.013042	0.0586	0.053245
slope_PC2	marginal	SCZ_prio_finemap	-	61	-0.014081	-0.00081243	0.11528	0.54861
slope_PC2	marginal	SCZ_prio_rare	-	7	0.34885	0.0068283	0.38677	0.18354
slope_PC2	marginal	SCZ_prio_smr	-	44	-0.0091397	-0.00044806	0.13852	0.5263
slope_PC2	marginal	SCZ_prioritised	-	101	-0.027245	-0.0020204	0.092472	0.61586
slope_PC2	marginal	SCZ_prioritised_pc	-	101	-0.027245	-0.0020204	0.092472	0.61586
slope_PC3	marginal	SCZ_locus_pool	-	455	-0.02658	-0.0041427	0.051214	0.69812
slope_PC3	marginal	SCZ_pool_not_prio	-	354	0.014458	0.0019932	0.058	0.40157
slope_PC3	marginal	SCZ_prio_finemap	-	61	-0.16646	-0.0096042	0.11408	0.92774
slope_PC3	marginal	SCZ_prio_rare	-	7	0.22133	0.0043322	0.38278	0.28156
slope_PC3	marginal	SCZ_prio_smr	-	44	-0.099713	-0.0048883	0.13709	0.76649
slope_PC3	marginal	SCZ_prioritised	-	101	-0.12087	-0.0089635	0.091511	0.90671
slope_PC3	marginal	SCZ_prioritised_pc	-	101	-0.12087	-0.0089635	0.091511	0.90671
baseline_thickness	cond_on_pool	SCZ_locus_pool	1	455	0.13349	0.020806	0.092038	0.073485
baseline_thickness	cond_on_pool	SCZ_pool_not_prio	1	354	0.027022	0.0037253	0.10423	0.39772
baseline_thickness	cond_on_pool	SCZ_locus_pool	2	455	0.16081	0.025064	0.057035	0.0024083
baseline_thickness	cond_on_pool	SCZ_prio_finemap	2	61	-0.038185	-0.0022031	0.12705	0.61812
baseline_thickness	cond_on_pool	SCZ_locus_pool	3	455	0.15574	0.024274	0.051749	0.0013102
baseline_thickness	cond_on_pool	SCZ_prio_rare	3	7	-0.13539	-0.0026501	0.38677	0.63685
baseline_thickness	cond_on_pool	SCZ_locus_pool	4	455	0.15313	0.023867	0.053134	0.0019785
baseline_thickness	cond_on_pool	SCZ_prio_smr	4	44	0.0017623	8.6395e-05	0.14223	0.49506
baseline_thickness	cond_on_pool	SCZ_locus_pool	5	455	0.16051	0.025017	0.05833	0.002967
baseline_thickness	cond_on_pool	SCZ_prioritised	5	101	-0.027022	-0.0020039	0.10423	0.60228
baseline_thickness	cond_on_pool	SCZ_locus_pool	6	455	0.16051	0.025017	0.05833	0.002967
baseline_thickness	cond_on_pool	SCZ_prioritised_pc	6	101	-0.027022	-0.0020039	0.10423	0.60228
global_slope	cond_on_pool	SCZ_locus_pool	1	455	0.063257	0.0098592	0.092608	0.24729
global_slope	cond_on_pool	SCZ_pool_not_prio	1	354	0.086507	0.011926	0.10488	0.20474
global_slope	cond_on_pool	SCZ_locus_pool	2	455	0.15519	0.024188	0.057387	0.0034261
global_slope	cond_on_pool	SCZ_prio_finemap	2	61	-0.14502	-0.0083672	0.12784	0.87169
global_slope	cond_on_pool	SCZ_locus_pool	3	455	0.11595	0.018072	0.052066	0.012979
