disorder	phenotype	rg	se	z	p	h2_obs	h2_obs_se	h2_z	gcov_int	underpowered
SCZ	baseline_thickness	0.02597	0.05202	0.4992	0.6176	0.4671	0.1040	4.49	-2.6420e-03	no
SCZ	global_slope	-0.1493	0.109	-1.37	0.1707	0.1238	0.1068	1.16	2.4868e-03	yes
SCZ	slope_PC3	NA	NA	NA	NA	-0.2398	0.0940	-2.55	-4.4911e-03	yes
SCZ	slope_PC2	-0.05206	0.05982	-0.8702	0.3842	0.3773	0.1089	3.46	4.4525e-03	yes
SCZ	slope_PC1	0.09397	0.15	0.6265	0.531	0.0676	0.1031	0.66	7.4488e-05	yes
SCZ	slope_topDelta	-0.07163	0.2419	-0.2961	0.7671	0.0341	0.1139	0.30	-7.6616e-05	yes
SCZ	slope_topC3	-0.3086	0.453	-0.6813	0.4957	0.0388	0.0976	0.40	4.3875e-03	yes
SCZ	slope_projDelta	0.061	0.1366	0.4467	0.6551	0.0700	0.1057	0.66	-3.8744e-03	yes
SCZ	slope_projC3	-0.1939	0.2328	-0.8328	0.405	0.0595	0.0956	0.62	4.8095e-03	yes
MDD	baseline_thickness	-0.0186	0.0534	-0.3484	0.7276	0.4726	0.1102	4.29	-0.003101	no
MDD	global_slope	-0.05111	0.1067	-0.4787	0.6321	0.1153	0.1105	1.04	0.0002585	yes
MDD	slope_PC3	NA	NA	NA	NA	-0.2414	0.09313	-2.59	-0.0005843	yes
MDD	slope_PC2	-0.007857	0.06101	-0.1288	0.8975	0.4005	0.1062	3.77	0.003362	yes
MDD	slope_PC1	0.0127	0.1678	0.07565	0.9397	0.0448	0.1054	0.43	-0.0009439	yes
MDD	slope_topDelta	NA	NA	NA	NA	NA	NA	NA	NA	no
MDD	slope_topC3	-0.1251	1.059	-0.1181	0.906	0.01987	0.1006	0.20	0.002601	yes
MDD	slope_projDelta	-3.718e-05	0.1413	-0.0002632	0.9998	0.06854	0.1186	0.58	0.002536	yes
MDD	slope_projC3	-0.06034	0.178	-0.3389	0.7347	0.05051	0.1081	0.47	0.004902	yes
