trait	model	set	submodel	n_genes	beta	beta_std	se	p
slope_projC3	marginal	MDD_hc_expression	-	56	-0.26835	-0.014834	0.11986	0.98741
slope_projC3	marginal	MDD_hc_finemap	-	160	-0.13189	-0.012288	0.07424	0.96217
slope_projC3	marginal	MDD_hc_protein	-	10	0.24201	0.0056603	0.25517	0.17147
slope_projC3	marginal	MDD_highconf	-	213	-0.14593	-0.015665	0.063756	0.98895
slope_projC3	marginal	MDD_pool	-	1881	-0.029911	-0.0090899	0.026355	0.87179
slope_projC3	marginal	MDD_pool_not_hc	-	1668	-0.0055009	-0.0015844	0.027695	0.57872
slope_projDelta	marginal	MDD_hc_expression	-	56	-0.15544	-0.0085926	0.12025	0.90192
slope_projDelta	marginal	MDD_hc_finemap	-	160	-0.12226	-0.011391	0.074474	0.94965
slope_projDelta	marginal	MDD_hc_protein	-	10	0.17429	0.0040765	0.25598	0.24798
slope_projDelta	marginal	MDD_highconf	-	213	-0.10763	-0.011554	0.063962	0.95378
slope_projDelta	marginal	MDD_pool	-	1881	0.040224	0.012224	0.026436	0.064075
slope_projDelta	marginal	MDD_pool_not_hc	-	1668	0.064716	0.01864	0.027776	0.0099126
slope_topC3	marginal	MDD_hc_expression	-	56	-0.044518	-0.0024609	0.11889	0.64596
slope_topC3	marginal	MDD_hc_finemap	-	160	-0.053354	-0.004971	0.073636	0.76563
slope_topC3	marginal	MDD_hc_protein	-	10	0.3888	0.0090936	0.25306	0.062236
slope_topC3	marginal	MDD_highconf	-	213	-0.033944	-0.0036436	0.063243	0.70426
slope_topC3	marginal	MDD_pool	-	1881	0.024229	0.0073632	0.026138	0.17698
slope_topC3	marginal	MDD_pool_not_hc	-	1668	0.033156	0.0095499	0.027466	0.11369
slope_topDelta	marginal	MDD_hc_expression	-	56	-0.11306	-0.0062496	0.11899	0.82897
slope_topDelta	marginal	MDD_hc_finemap	-	160	-0.055342	-0.0051563	0.073698	0.77365
