trait	model	set	submodel	n_genes	beta	beta_std	se	p
slope_projC3	marginal	SCZ_locus_pool	-	455	0.020848	0.0032487	0.051223	0.34201
slope_projC3	marginal	SCZ_pool_not_prio	-	354	0.066638	0.0091855	0.057639	0.12383
slope_projC3	marginal	SCZ_prio_finemap	-	61	-0.1036	-0.0059765	0.11686	0.81235
slope_projC3	marginal	SCZ_prio_rare	-	7	0.81532	0.015956	0.38482	0.017066
slope_projC3	marginal	SCZ_prio_smr	-	44	-0.14818	-0.0072632	0.13942	0.85607
slope_projC3	marginal	SCZ_prioritised	-	101	-0.10476	-0.0077675	0.093004	0.86999
slope_projC3	marginal	SCZ_prioritised_pc	-	101	-0.10476	-0.0077675	0.093004	0.86999
slope_projDelta	marginal	SCZ_locus_pool	-	455	0.0076664	0.0011947	0.051384	0.4407
slope_projDelta	marginal	SCZ_pool_not_prio	-	354	0.036668	0.0050544	0.057822	0.263
slope_projDelta	marginal	SCZ_prio_finemap	-	61	-0.16579	-0.0095638	0.11722	0.92137
slope_projDelta	marginal	SCZ_prio_rare	-	7	-0.038	-0.00074367	0.38609	0.5392
slope_projDelta	marginal	SCZ_prio_smr	-	44	0.069293	0.0033964	0.13986	0.31015
slope_projDelta	marginal	SCZ_prioritised	-	101	-0.07019	-0.0052043	0.093298	0.77406
slope_projDelta	marginal	SCZ_prioritised_pc	-	101	-0.07019	-0.0052043	0.093298	0.77406
slope_topC3	marginal	SCZ_locus_pool	-	455	0.091772	0.014301	0.050796	0.035417
slope_topC3	marginal	SCZ_pool_not_prio	-	354	0.11323	0.015608	0.05716	0.023812
slope_topC3	marginal	SCZ_prio_finemap	-	61	0.10576	0.0061008	0.11589	0.18075
slope_topC3	marginal	SCZ_prio_rare	-	7	0.60507	0.011841	0.38168	0.056465
slope_topC3	marginal	SCZ_prio_smr	-	44	-0.14593	-0.0071527	0.13827	0.85436
slope_topC3	marginal	SCZ_prioritised	-	101	0.0077763	0.00057658	0.092243	0.46641
slope_topC3	marginal	SCZ_prioritised_pc	-	101	0.0077763	0.00057658	0.092243	0.46641
slope_topDelta	marginal	SCZ_locus_pool	-	455	0.12528	0.019523	0.050834	0.0068648
slope_topDelta	marginal	SCZ_pool_not_prio	-	354	0.16658	0.022962	0.057199	0.0017963
slope_topDelta	marginal	SCZ_prio_finemap	-	61	-0.0097091	-0.00056008	0.11599	0.53335
slope_topDelta	marginal	SCZ_prio_rare	-	7	0.088579	0.0017335	0.38204	0.40833
slope_topDelta	marginal	SCZ_prio_smr	-	44	-0.06285	-0.0030806	0.1384	0.67513
slope_topDelta	marginal	SCZ_prioritised	-	101	-0.020657	-0.0015316	0.09232	0.58852
slope_topDelta	marginal	SCZ_prioritised_pc	-	101	-0.020657	-0.0015316	0.09232	0.58852
slope_projC3	cond_on_pool	SCZ_locus_pool	1	455	-0.095406	-0.014867	0.093426	0.84641
slope_projC3	cond_on_pool	SCZ_pool_not_prio	1	354	0.15643	0.021562	0.10513	0.068402
slope_projC3	cond_on_pool	SCZ_locus_pool	2	455	0.049532	0.0077187	0.056734	0.19133
