disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	0p001	baseline_thickness	EUR	4116	3447	2391	0.000949355557365906	0.0157677861961851	0.951992473521011	8	1	9.0127597430153e-07
ALZ	0p01	baseline_thickness	EUR	4116	3447	13843	0.00575065498275078	0.0157223277360618	0.714560360792822	8	1	3.30700327306364e-05
ALZ	0p05	baseline_thickness	EUR	4116	3447	50502	0.0150449829949036	0.015663984829929	0.336869041120826	8	1	0.000226351513316939
ALZ	0p1	baseline_thickness	EUR	4116	3447	87019	0.0212422102158693	0.0156900326783971	0.175853528395919	8	1	0.000451231494855181
ALZ	0p5	baseline_thickness	EUR	4116	3447	271031	0.00815359965810904	0.0158088740541592	0.606049191561793	8	1	6.64811873847158e-05
ALZ	1	baseline_thickness	EUR	4116	3447	375721	0.00830191125780919	0.0158146593216497	0.599646075040465	8	1	6.89217305325389e-05
ALZ	1e-5	baseline_thickness	EUR	4116	3447	287	-0.0162079133426438	0.015723893039348	0.302703678537909	8	1	0.00026269645492265
ALZ	5e-8	baseline_thickness	EUR	4116	3447	128	-0.0205710286784317	0.0157177500262562	0.190683352620319	8	1	0.000423167220888859
ALZ	0p001	global_slope	EUR	4116	3447	2391	-0.037034557988917	0.0149908076239166	0.0135361059332649	8	0.108288847466119	0.00137155848543445
ALZ	0p01	global_slope	EUR	4116	3447	13843	-0.0342572938820121	0.0149922088011722	0.0223660741143704	8	0.178928592914963	0.00117356218411854
ALZ	0p05	global_slope	EUR	4116	3447	50502	-0.0487831620325813	0.0149687069771093	0.00112757353723065	8	0.00902058829784519	0.00237979689789708
ALZ	0p1	global_slope	EUR	4116	3447	87019	-0.0435029785673346	0.0149981205845121	0.00374572031786427	8	0.0299657625429142	0.00189250914422997
ALZ	0p5	global_slope	EUR	4116	3447	271031	-0.0416799343638159	0.015065274828846	0.00569091963495241	8	0.0455273570796193	0.00173721692857201
ALZ	1	global_slope	EUR	4116	3447	375721	-0.0396561439417413	0.0150633640780485	0.0085065810122032	8	0.0680526480976256	0.00157260975232811
ALZ	1e-5	global_slope	EUR	4116	3447	287	-0.0263117608070965	0.0149655252020848	0.0788001520709169	8	0.630401216567335	0.000692308756769858
ALZ	5e-8	global_slope	EUR	4116	3447	128	-0.0288510840516391	0.0149499567975755	0.0536998313333342	8	0.429598650666673	0.000832385050954745
ALZ	0p001	slope_PC1	EUR	4116	3447	2391	0.0384827848206378	0.0155286329006593	0.0132490553940957	8	0.105992443152766	0.00148092472755151
ALZ	0p01	slope_PC1	EUR	4116	3447	13843	0.0281504074990142	0.0155422529428254	0.0701858341215299	8	0.561486672972239	0.000792445442360554
ALZ	0p05	slope_PC1	EUR	4116	3447	50502	0.0335388426280136	0.0155295806423161	0.0308595323895912	8	0.24687625911673	0.00112485396482666
ALZ	0p1	slope_PC1	EUR	4116	3447	87019	0.0250048095140887	0.0155608258842626	0.108156902691543	8	0.865255221532344	0.000625240498835861
ALZ	0p5	slope_PC1	EUR	4116	3447	271031	0.0298159627404363	0.0156227956186177	0.0564032723902078	8	0.451226179121662	0.000888991634139086
ALZ	1	slope_PC1	EUR	4116	3447	375721	0.0290051198511135	0.0156186335619708	0.0633768382237036	8	0.507014705789629	0.000841296977577459
ALZ	1e-5	slope_PC1	EUR	4116	3447	287	0.0471879499084625	0.0154900506093385	0.00233256743848819	8	0.0186605395079055	0.00222670261656356
ALZ	5e-8	slope_PC1	EUR	4116	3447	128	0.0558514277036269	0.015466001063774	0.000308737963201185	8	0.00246990370560948	0.00311938197653346
ALZ	0p001	slope_PC2	EUR	4116	3447	2391	0.0396258612084028	0.0159068468222304	0.0127757756983845	8	0.102206205587076	0.0015702088765076
ALZ	0p01	slope_PC2	EUR	4116	3447	13843	0.0380837611441578	0.0159045585252618	0.0166890508787349	8	0.133512407029879	0.00145037286288526
ALZ	0p05	slope_PC2	EUR	4116	3447	50502	0.0312055720172199	0.0158934232244396	0.0496669491881803	8	0.397335593505442	0.0009737877249219
ALZ	0p1	slope_PC2	EUR	4116	3447	87019	0.0187827940529568	0.0159271011863629	0.238351012020535	8	1	0.000352793352435791
ALZ	0p5	slope_PC2	EUR	4116	3447	271031	0.0347670285374301	0.0159939867970614	0.0297835114889102	8	0.238268091911281	0.00120874627332248
ALZ	1	slope_PC2	EUR	4116	3447	375721	0.0362485163629771	0.0159900228417469	0.023448239321343	8	0.187585914570744	0.00131395493851702
ALZ	1e-5	slope_PC2	EUR	4116	3447	287	0.0399018698017889	0.0158733526622893	0.0119853479200119	8	0.0958827833600952	0.00159215921367891
ALZ	5e-8	slope_PC2	EUR	4116	3447	128	0.04182284191633	0.0158591044933252	0.00839411239370636	8	0.0671528991496509	0.00174915010595833
ALZ	0p001	slope_PC3	EUR	4116	3447	2391	-0.0242722206587168	0.0158447637176229	0.12563521118404	8	1	0.000589140695705437
ALZ	0p01	slope_PC3	EUR	4116	3447	13843	-0.0119668485046825	0.0158418740953508	0.450058626786724	8	1	0.000143205463134021
ALZ	0p05	slope_PC3	EUR	4116	3447	50502	-0.0226802973598718	0.0158174365506144	0.151686387753725	8	1	0.000514395888332206
ALZ	0p1	slope_PC3	EUR	4116	3447	87019	-0.0203775504875345	0.0158467556190519	0.198549382195214	8	1	0.000415244563872019
ALZ	0p5	slope_PC3	EUR	4116	3447	271031	-0.00820380795515936	0.0159276071967554	0.606534554312284	8	1	6.7302464965136e-05
ALZ	1	slope_PC3	EUR	4116	3447	375721	-0.00650847796415922	0.0159252120377501	0.682789650238567	8	1	4.23602854099461e-05
ALZ	1e-5	slope_PC3	EUR	4116	3447	287	-0.034218635804035	0.0158058573554638	0.0304540647444223	8	0.243632517955379	0.00117091503628919
ALZ	5e-8	slope_PC3	EUR	4116	3447	128	-0.038815824565279	0.0157895909553644	0.0140028676038275	8	0.11202294083062	0.00150666823668251
ALZ	0p001	baseline_thickness	full	8082	6789	2391	0.0130551628403888	0.0113369276919948	0.24953585649068	8	1	0.000170437276789068
ALZ	0p01	baseline_thickness	full	8082	6789	13843	0.0166725936570922	0.0123094372921377	0.175628938352681	8	1	0.000277975379254512
ALZ	0p05	baseline_thickness	full	8082	6789	50502	0.031680476422281	0.0130208471252565	0.0149935168354232	8	0.119948134683386	0.0010036525863427
ALZ	0p1	baseline_thickness	full	8082	6789	87019	0.02788643514986	0.0137068125301587	0.0419344447096279	8	0.335475557677023	0.00077765326536735
ALZ	0p5	baseline_thickness	full	8082	6789	271031	0.0204863370869276	0.0139957404763963	0.143299897679904	8	1	0.000419690007239226
ALZ	1	baseline_thickness	full	8082	6789	375721	0.0193672825602551	0.0139308171122703	0.164492189888608	8	1	0.000375091633768761
ALZ	1e-5	baseline_thickness	full	8082	6789	287	0.00333157183569448	0.0112408290293047	0.766946549404764	8	1	1.10993708963927e-05
ALZ	5e-8	baseline_thickness	full	8082	6789	128	-0.000302694842514342	0.0112218837124618	0.978481444319185	8	1	9.16241676847824e-08
ALZ	0p001	global_slope	full	8082	6789	2391	-0.0316057038677143	0.0110056059804873	0.00409300433333242	8	0.0327440346666594	0.000998920516973651
ALZ	0p01	global_slope	full	8082	6789	13843	-0.0252600298717157	0.0119733885170374	0.0349183758427581	8	0.279347006742065	0.000638069109119968
ALZ	0p05	global_slope	full	8082	6789	50502	-0.0414448660271686	0.0126829039077161	0.00108874217035379	8	0.00870993736283033	0.00171767692000995
ALZ	0p1	global_slope	full	8082	6789	87019	-0.0283549975191882	0.0133551979233111	0.0337738411622315	8	0.270190729297852	0.000804005884313166
ALZ	0p5	global_slope	full	8082	6789	271031	-0.0271504744960992	0.0136254362460754	0.0463374029316128	8	0.370699223452902	0.000737148265363333
ALZ	1	global_slope	full	8082	6789	375721	-0.0261911082694011	0.0135603602780175	0.0534649286496689	8	0.427719429197351	0.000685974152379489
ALZ	1e-5	global_slope	full	8082	6789	287	-0.0245350744945392	0.0109152457903012	0.0246189560562994	8	0.196951648450395	0.00060196988045259
ALZ	5e-8	global_slope	full	8082	6789	128	-0.0231287490577795	0.0108927794917653	0.0337603726911985	8	0.270082981529588	0.000534939032977736
ALZ	0p001	slope_PC1	full	8082	6789	2391	0.0146694628519984	0.0113739521482774	0.197180124554159	8	1	0.000215193140366161
ALZ	0p01	slope_PC1	full	8082	6789	13843	0.00789626197701202	0.0123737767605951	0.523398717445303	8	1	6.23509532096058e-05
ALZ	0p05	slope_PC1	full	8082	6789	50502	0.0234941550294761	0.0131100088538149	0.07316023833769	8	0.58528190670152	0.000551975320549057
ALZ	0p1	slope_PC1	full	8082	6789	87019	0.0122918151181529	0.0138020884195349	0.373184615381861	8	1	0.000151088718898853
ALZ	0p5	slope_PC1	full	8082	6789	271031	0.0167187185937117	0.0140795226652892	0.235087756935576	8	1	0.000279515551415722
ALZ	1	slope_PC1	full	8082	6789	375721	0.0167060346874718	0.0140118283689154	0.23318857432331	8	1	0.000279091594979011
ALZ	1e-5	slope_PC1	full	8082	6789	287	0.0134153540606947	0.0112781271415488	0.234279959471904	8	1	0.000179971724573798
ALZ	5e-8	slope_PC1	full	8082	6789	128	0.0175422282985916	0.0112534095663298	0.119077401772491	8	0.952619214179926	0.000307729773679909
ALZ	0p001	slope_PC2	full	8082	6789	2391	0.0255642825137751	0.0116115800605637	0.0277220616863105	8	0.221776493490484	0.000653532540444108
ALZ	0p01	slope_PC2	full	8082	6789	13843	0.015683169899134	0.0126310607076071	0.214409101669254	8	1	0.000245961818085101
ALZ	0p05	slope_PC2	full	8082	6789	50502	0.0226834631894779	0.0133825470115233	0.0901150875907806	8	0.720920700726245	0.000514539502268399
ALZ	0p1	slope_PC2	full	8082	6789	87019	0.0159058567332414	0.0140880250043852	0.258918661835911	8	1	0.0002529962784184
ALZ	0p5	slope_PC2	full	8082	6789	271031	0.0281814949587792	0.0143710855983728	0.0499167361069825	8	0.39933388885586	0.000794196658111699
ALZ	1	slope_PC2	full	8082	6789	375721	0.0301160835425434	0.0143017970675397	0.0352579944199527	8	0.282063955359622	0.000906978487941454
ALZ	1e-5	slope_PC2	full	8082	6789	287	0.0230300247039669	0.0115144114032481	0.0455244490769718	8	0.364195592615775	0.000530382037865327
ALZ	5e-8	slope_PC2	full	8082	6789	128	0.0229096319962805	0.0114908714610139	0.0462178352370713	8	0.36974268189657	0.000524851238204999
ALZ	0p001	slope_PC3	full	8082	6789	2391	0.0010523588141999	0.0114302476840829	0.926646536211454	8	1	1.10745907382422e-06
ALZ	0p01	slope_PC3	full	8082	6789	13843	0.00757710326467958	0.0124311237453159	0.542193449297129	8	1	5.74124938836179e-05
ALZ	0p05	slope_PC3	full	8082	6789	50502	-0.00962787955266894	0.0131707598435556	0.464798955825879	8	1	9.26960646807007e-05
ALZ	0p1	slope_PC3	full	8082	6789	87019	-0.0101902702074662	0.0138634565000839	0.46233430716744	8	1	0.000103841606901173
