disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAP	0p001	baseline_thickness	EUR	4116	3447	2001	0.0016910913916366	0.0157514190108874	0.914507690306211	8	1	2.85979009486743e-06
ALZIGAP	0p01	baseline_thickness	EUR	4116	3447	13425	0.0182937306202575	0.0161493917390592	0.257372270249067	8	1	0.000334660580006546
ALZIGAP	0p05	baseline_thickness	EUR	4116	3447	49571	0.0268111976082172	0.0170998262309113	0.116976489695191	8	0.935811917561526	0.000718840317186871
ALZIGAP	0p1	baseline_thickness	EUR	4116	3447	85645	0.0197839286337134	0.0173433765310198	0.254053303336071	8	1	0.000391403832183863
ALZIGAP	0p5	baseline_thickness	EUR	4116	3447	273317	0.0142963473199636	0.017432770604119	0.412215510901547	8	1	0.00020438554669303
ALZIGAP	1	baseline_thickness	EUR	4116	3447	383692	0.0145425381125032	0.0174341132261465	0.40424915469466	8	1	0.000211485414753607
ALZIGAP	1e-5	baseline_thickness	EUR	4116	3447	155	-0.00786574982068525	0.0157312934778161	0.617097363361125	8	1	6.18700202416101e-05
ALZIGAP	5e-8	baseline_thickness	EUR	4116	3447	73	-0.00943172993748385	0.0157203095782473	0.548558794192211	8	1	8.89575296136291e-05
ALZIGAP	0p001	global_slope	EUR	4116	3447	2001	-0.0189254142285041	0.0149844771497133	0.206665059215353	8	1	0.000358171303720466
ALZIGAP	0p01	global_slope	EUR	4116	3447	13425	-0.0130263232986637	0.0154547172433723	0.399352379608649	8	1	0.00016968509868131
ALZIGAP	0p05	global_slope	EUR	4116	3447	49571	-0.0292270267311682	0.0163023680180629	0.0730813937075492	8	0.584651149660394	0.000854219091544422
ALZIGAP	0p1	global_slope	EUR	4116	3447	85645	-0.0285399555485376	0.0165246293079409	0.0842267166668014	8	0.673813733334411	0.000814529062712503
ALZIGAP	0p5	global_slope	EUR	4116	3447	273317	-0.036553153312146	0.0166475910707495	0.0281721590631404	8	0.225377272505123	0.00133613301706125
ALZIGAP	1	global_slope	EUR	4116	3447	383692	-0.0399545560039037	0.0166423717931013	0.0164072594291235	8	0.131258075432988	0.00159636654546908
ALZIGAP	1e-5	global_slope	EUR	4116	3447	155	-0.0214635458898579	0.0149484969024082	0.151131465620655	8	1	0.000460683802166034
ALZIGAP	5e-8	global_slope	EUR	4116	3447	73	-0.0238292050881937	0.0149427817169791	0.110862341335696	8	0.886898730685567	0.000567831015135195
ALZIGAP	0p001	slope_PC1	EUR	4116	3447	2001	0.0193624794604416	0.0155285796556918	0.212513832824861	8	1	0.000374905610856022
ALZIGAP	0p01	slope_PC1	EUR	4116	3447	13425	0.0141697898833726	0.0160233937448263	0.376579224374205	8	1	0.000200782945338928
ALZIGAP	0p05	slope_PC1	EUR	4116	3447	49571	0.00635787564707136	0.016903187388276	0.706837687554777	8	1	4.04225827436231e-05
ALZIGAP	0p1	slope_PC1	EUR	4116	3447	85645	0.00869963101666416	0.01713083747999	0.611598951793033	8	1	7.56835798261051e-05
ALZIGAP	0p5	slope_PC1	EUR	4116	3447	273317	0.0182660366528161	0.0172639752250466	0.290102618695986	8	1	0.000333648095002022
ALZIGAP	1	slope_PC1	EUR	4116	3447	383692	0.0171336180905796	0.0172600541557063	0.320931612689541	8	1	0.000293560868873836
ALZIGAP	1e-5	slope_PC1	EUR	4116	3447	155	0.0323828166398411	0.0154821607360394	0.03653948133753	8	0.29231585070024	0.00104864681352957
ALZIGAP	5e-8	slope_PC1	EUR	4116	3447	73	0.0378828955161078	0.0154743557507453	0.0144062290559174	8	0.115249832447339	0.00143511377268434
ALZIGAP	0p001	slope_PC2	EUR	4116	3447	2001	0.0233658690899331	0.0158801141309298	0.141266386243977	8	1	0.000545963838327892
ALZIGAP	0p01	slope_PC2	EUR	4116	3447	13425	0.0310310928579086	0.0163685671800832	0.0580632006317362	8	0.464505605053889	0.000962928723956149
ALZIGAP	0p05	slope_PC2	EUR	4116	3447	49571	0.0199025865284826	0.0172801344140107	0.249489891706299	8	1	0.000396112950523739
ALZIGAP	0p1	slope_PC2	EUR	4116	3447	85645	0.0192126424501318	0.0175171066660811	0.27279982324767	8	1	0.000369125629916607
ALZIGAP	0p5	slope_PC2	EUR	4116	3447	273317	0.0226266551091015	0.0176496171475686	0.19992174935601	8	1	0.000511965521426229
ALZIGAP	1	slope_PC2	EUR	4116	3447	383692	0.0191771353790586	0.0176471132754056	0.277236078836357	8	1	0.00036776252134674
ALZIGAP	1e-5	slope_PC2	EUR	4116	3447	155	0.0272946172121131	0.015842961928523	0.0850007848268649	8	0.680006278614919	0.000744996128755783
ALZIGAP	5e-8	slope_PC2	EUR	4116	3447	73	0.0347355009764876	0.0158329633633853	0.0283039895158631	8	0.226431916126905	0.00120655502808757
ALZIGAP	0p001	slope_PC3	EUR	4116	3447	2001	-0.00756858136735621	0.0157374227861692	0.630594312029682	8	1	5.72834239142916e-05
ALZIGAP	0p01	slope_PC3	EUR	4116	3447	13425	-0.00627212428843088	0.0162171141102403	0.698955142530439	8	1	3.93395430895246e-05
ALZIGAP	0p05	slope_PC3	EUR	4116	3447	49571	-0.0010827621796788	0.0171200769563073	0.949574530635225	8	1	1.17237393774279e-06
ALZIGAP	0p1	slope_PC3	EUR	4116	3447	85645	-0.00151142821494508	0.0173562192333857	0.930610200523021	8	1	2.28441524893206e-06
ALZIGAP	0p5	slope_PC3	EUR	4116	3447	273317	-0.0138807580257129	0.0174832103631019	0.427274085448417	8	1	0.000192675443368392
ALZIGAP	1	slope_PC3	EUR	4116	3447	383692	-0.0157015376816491	0.0174801362941916	0.369107661507576	8	1	0.000246538285568247
ALZIGAP	1e-5	slope_PC3	EUR	4116	3447	155	-0.0202654025647934	0.0157006281389101	0.196872267265395	8	1	0.000410686541113137
ALZIGAP	5e-8	slope_PC3	EUR	4116	3447	73	-0.0212871682825698	0.0156936145368594	0.175044565785604	8	1	0.000453143533490448
ALZIGAP	0p001	baseline_thickness	full	8082	6789	2001	0.00381338580827293	0.0147010688527779	0.795337017787843	8	1	1.45419113227374e-05
ALZIGAP	0p01	baseline_thickness	full	8082	6789	13425	0.0310021565594841	0.0272047098043038	0.254491884164123	8	1	0.000961133711338764
ALZIGAP	0p05	baseline_thickness	full	8082	6789	49571	0.0656172840813811	0.0396172778221664	0.0977041859891423	8	0.781633487913138	0.00430562797021667
ALZIGAP	0p1	baseline_thickness	full	8082	6789	85645	0.0539840556423879	0.0441209581462208	0.221159090208863	8	1	0.00291427826360043
