disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZnoAPOE	0p001	baseline_thickness	EUR	4116	3447	2236	0.00994008048157172	0.0157388471654959	0.527707370878064	8	1	9.88051999801232e-05
ALZnoAPOE	0p01	baseline_thickness	EUR	4116	3447	13653	0.00950295797372367	0.0156577350036991	0.543939052418948	8	1	9.03062102503583e-05
ALZnoAPOE	0p05	baseline_thickness	EUR	4116	3447	50265	0.0169904218790466	0.0156536707008122	0.277810354991492	8	1	0.000288674435627984
ALZnoAPOE	0p1	baseline_thickness	EUR	4116	3447	86759	0.0225061024056268	0.0156724007444811	0.151068886988741	8	1	0.000506524645492562
ALZnoAPOE	0p5	baseline_thickness	EUR	4116	3447	270711	0.00867122853587175	0.0157895479220036	0.582915091679102	8	1	7.51902043213166e-05
ALZnoAPOE	1	baseline_thickness	EUR	4116	3447	375367	0.00876962758771586	0.0157994871412922	0.578885432866286	8	1	7.69063680272271e-05
ALZnoAPOE	1e-5	baseline_thickness	EUR	4116	3447	182	-0.0181120306978695	0.0157989943849494	0.251694876294936	8	1	0.000328045656000566
ALZnoAPOE	5e-8	baseline_thickness	EUR	4116	3447	52	-0.0390517718209066	0.0156321863584742	0.0125226707605847	8	0.100181366084677	0.00152504088235216
ALZnoAPOE	0p001	global_slope	EUR	4116	3447	2236	-0.0242404758058204	0.0150223092249139	0.106688672924278	8	0.853509383394223	0.000587600667292562
ALZnoAPOE	0p01	global_slope	EUR	4116	3447	13653	-0.0251204126665515	0.0149888543088278	0.0938297019991118	8	0.750637615992894	0.000631035132537842
ALZnoAPOE	0p05	global_slope	EUR	4116	3447	50265	-0.0435510306856146	0.014980528173216	0.00366753707286483	8	0.0293402965829186	0.00189669227377934
ALZnoAPOE	0p1	global_slope	EUR	4116	3447	86759	-0.0381402977776293	0.0150072499928458	0.0110773153755741	8	0.0886185230045931	0.00145468231456624
ALZnoAPOE	0p5	global_slope	EUR	4116	3447	270711	-0.0375923977746812	0.0150695465610944	0.0126513990008492	8	0.101211192006794	0.00141318837044985
ALZnoAPOE	1	global_slope	EUR	4116	3447	375367	-0.0356467376363531	0.0150688731427279	0.0180504772139251	8	0.144403817711401	0.00127068990411499
ALZnoAPOE	1e-5	global_slope	EUR	4116	3447	182	0.00639296100690738	0.0150889470759893	0.67181903340854	8	1	4.08699504358382e-05
ALZnoAPOE	5e-8	global_slope	EUR	4116	3447	52	0.0124903484493329	0.0149690776419417	0.404101097330294	8	1	0.000156008804385752
ALZnoAPOE	0p001	slope_PC1	EUR	4116	3447	2236	0.00303419907785678	0.0155749158586541	0.845549622816511	8	1	9.20636404406692e-06
ALZnoAPOE	0p01	slope_PC1	EUR	4116	3447	13653	0.00648041358586565	0.0155474090800345	0.676835967537384	8	1	4.19957602438721e-05
ALZnoAPOE	0p05	slope_PC1	EUR	4116	3447	50265	0.0212125425795805	0.0155442854493333	0.172442174134263	8	1	0.000449971962690517
ALZnoAPOE	0p1	slope_PC1	EUR	4116	3447	86759	0.0142910931682675	0.0155715110734372	0.358795865540433	8	1	0.000204235343944102
ALZnoAPOE	0p5	slope_PC1	EUR	4116	3447	270711	0.0220454424278441	0.0156289138358377	0.158457668415531	8	1	0.000486001531839388
ALZnoAPOE	1	slope_PC1	EUR	4116	3447	375367	0.0213985567863048	0.015625774331537	0.170942946202528	8	1	0.000457898232536712
ALZnoAPOE	1e-5	slope_PC1	EUR	4116	3447	182	-0.00772585626596231	0.0156415025756554	0.621381956978174	8	1	5.96888550423091e-05
ALZnoAPOE	5e-8	slope_PC1	EUR	4116	3447	52	-0.00235868550560785	0.0155207760775892	0.879218963107913	8	1	5.56339731436456e-06
ALZnoAPOE	0p001	slope_PC2	EUR	4116	3447	2236	0.0162049374946005	0.0159418850636795	0.30945406211431	8	1	0.000262599999203908
ALZnoAPOE	0p01	slope_PC2	EUR	4116	3447	13653	0.0226743691855563	0.0159015767751503	0.153970717489033	8	1	0.000514127017962903
ALZnoAPOE	0p05	slope_PC2	EUR	4116	3447	50265	0.0219591198944721	0.0159046229626943	0.16745712513691	8	1	0.000482202946539798
ALZnoAPOE	0p1	slope_PC2	EUR	4116	3447	86759	0.0107068691429214	0.0159334140866128	0.501638466368199	8	1	0.000114637046843641
ALZnoAPOE	0p5	slope_PC2	EUR	4116	3447	270711	0.0291282822642084	0.015997174840938	0.0687078107803947	8	0.549662486243158	0.000848456827663395
ALZnoAPOE	1	slope_PC2	EUR	4116	3447	375367	0.030764103173434	0.0159950149588893	0.054508183194474	8	0.436065465555792	0.00094643004406569
ALZnoAPOE	1e-5	slope_PC2	EUR	4116	3447	182	0.0129583140040524	0.0160096871172009	0.418331838378391	8	1	0.00016791790182762
ALZnoAPOE	5e-8	slope_PC2	EUR	4116	3447	52	0.0124417896194095	0.015882858442029	0.433470660423255	8	1	0.000154798128933646
ALZnoAPOE	0p001	slope_PC3	EUR	4116	3447	2236	-0.00506563815809377	0.0158700632678683	0.749596114577919	8	1	2.56606899487357e-05
ALZnoAPOE	0p01	slope_PC3	EUR	4116	3447	13653	0.000585563496160912	0.0158279389781802	0.970490420614819	8	1	3.4288460803619e-07
ALZnoAPOE	0p05	slope_PC3	EUR	4116	3447	50265	-0.0159962162716733	0.0158265070711319	0.312211179627088	8	1	0.000255878935010146
ALZnoAPOE	0p1	slope_PC3	EUR	4116	3447	86759	-0.0144715590630522	0.0158522529639488	0.361349861838272	8	1	0.000209426021715408
ALZnoAPOE	0p5	slope_PC3	EUR	4116	3447	270711	-0.00355937578568692	0.0159273858596492	0.823177410769447	8	1	1.26691559837344e-05
ALZnoAPOE	1	slope_PC3	EUR	4116	3447	375367	-0.00194537465520516	0.0159268348344492	0.90279093392835	8	1	3.7844825491146e-06
ALZnoAPOE	1e-5	slope_PC3	EUR	4116	3447	182	-0.00768195116524158	0.0159362342934724	0.629802486874297	8	1	5.90123737051564e-05
ALZnoAPOE	5e-8	slope_PC3	EUR	4116	3447	52	-0.0114387110289188	0.0158061070358596	0.469299740824633	8	1	0.000130844110003108
ALZnoAPOE	0p001	baseline_thickness	full	8082	6789	2236	0.0158677880347043	0.011570113316565	0.170274098605708	8	1	0.000251786697114304
ALZnoAPOE	0p01	baseline_thickness	full	8082	6789	13653	0.0163991400193569	0.0123331185075903	0.183660315963472	8	1	0.000268931793374471
ALZnoAPOE	0p05	baseline_thickness	full	8082	6789	50265	0.0317830875767942	0.0130404596287703	0.014820211961608	8	0.118561695692864	0.00101016465591417
ALZnoAPOE	0p1	baseline_thickness	full	8082	6789	86759	0.0272623227329032	0.0136894397738258	0.046461209817912	8	0.371689678543296	0.000743234240792969
ALZnoAPOE	0p5	baseline_thickness	full	8082	6789	270711	0.0196421615593857	0.0139370730070031	0.158771402706839	8	1	0.000385814510725008
ALZnoAPOE	1	baseline_thickness	full	8082	6789	375367	0.0184925940458522	0.0138764687584055	0.182681589898642	8	1	0.000341976034544687
ALZnoAPOE	1e-5	baseline_thickness	full	8082	6789	182	0.00552468610563452	0.0113756794280821	0.627223087080995	8	1	3.05221565657911e-05
ALZnoAPOE	5e-8	baseline_thickness	full	8082	6789	52	-0.0121354741792906	0.0116953890703864	0.299473974931163	8	1	0.000147269733556228
ALZnoAPOE	0p001	global_slope	full	8082	6789	2236	-0.0237474423883845	0.0112713557270265	0.0351600947557699	8	0.28128075804616	0.00056394101998964
ALZnoAPOE	0p01	global_slope	full	8082	6789	13653	-0.0168722767984158	0.0120285491845552	0.160750858613084	8	1	0.000284673724362361
ALZnoAPOE	0p05	global_slope	full	8082	6789	50265	-0.0364030816102251	0.012713194143902	0.00420243437966906	8	0.0336194750373525	0.00132518435072071
ALZnoAPOE	0p1	global_slope	full	8082	6789	86759	-0.0227659028618742	0.0133521846147966	0.0882288732033543	8	0.705830985626834	0.000518286333116293
ALZnoAPOE	0p5	global_slope	full	8082	6789	270711	-0.0227323041189458	0.0135783319785935	0.094140034062709	8	0.753120272501672	0.000516757650556239
ALZnoAPOE	1	global_slope	full	8082	6789	375367	-0.0218328476400243	0.0135159895625272	0.106279558599374	8	0.850236468794995	0.000476673236072516
ALZnoAPOE	1e-5	global_slope	full	8082	6789	182	-0.00563034042571607	0.011101549102527	0.612052099836003	8	1	3.17007333094526e-05
