disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZnoAPOE	0p001	baseline_thickness	EUR	4116	3447	2236	0.009940086060699	0.0157388471186969	0.52770713797743	8	1	9.88053108941025e-05
ALZnoAPOE	0p01	baseline_thickness	EUR	4116	3447	13653	0.00950295267784373	0.0156577349761076	0.54393927615991	8	1	9.03061095973373e-05
ALZnoAPOE	0p05	baseline_thickness	EUR	4116	3447	50265	0.0169904179623936	0.0156536707841632	0.277810468306291	8	1	0.000288674302536828
ALZnoAPOE	0p1	baseline_thickness	EUR	4116	3447	86759	0.0225060998894256	0.0156724006927265	0.151068931319673	8	1	0.000506524532232801
ALZnoAPOE	0p5	baseline_thickness	EUR	4116	3447	270711	0.00867122892920321	0.0157895479079774	0.582915074252138	8	1	7.51902111426506e-05
ALZnoAPOE	1	baseline_thickness	EUR	4116	3447	375367	0.00876962425549726	0.0157994871312372	0.578885576865999	8	1	7.69063095826058e-05
ALZnoAPOE	1e-5	baseline_thickness	EUR	4116	3447	182	-0.018112030496329	0.0157989943915748	0.251694881768927	8	1	0.000328045648699952
ALZnoAPOE	5e-8	baseline_thickness	EUR	4116	3447	52	-0.0390517765425422	0.0156321863461478	0.0125226600372221	8	0.100181280297777	0.00152504125112865
ALZnoAPOE	0p001	global_slope	EUR	4116	3447	2236	-0.0242404722771007	0.0150223092034044	0.106688723405468	8	0.853509787243742	0.000587600496216887
ALZnoAPOE	0p01	global_slope	EUR	4116	3447	13653	-0.0251204081306586	0.0149888543028479	0.0938297611538038	8	0.75063808923043	0.000631034904650858
ALZnoAPOE	0p05	global_slope	EUR	4116	3447	50265	-0.0435510347536756	0.014980528189827	0.00366753393373522	8	0.0293402714698818	0.00189669262811586
ALZnoAPOE	0p1	global_slope	EUR	4116	3447	86759	-0.0381403000660763	0.0150072499854351	0.0110773105118123	8	0.0886184840944983	0.00145468248913034
ALZnoAPOE	0p5	global_slope	EUR	4116	3447	270711	-0.0375924028651597	0.0150695465561561	0.0126513869491391	8	0.101211095593113	0.00141318875317646
ALZnoAPOE	1	global_slope	EUR	4116	3447	375367	-0.0356467400656731	0.0150688731303486	0.0180504692720587	8	0.14440375417647	0.00127069007730966
ALZnoAPOE	1e-5	global_slope	EUR	4116	3447	182	0.00639296832051983	0.0150889470933091	0.67181868025785	8	1	4.08700439471702e-05
ALZnoAPOE	5e-8	global_slope	EUR	4116	3447	52	0.0124903509407665	0.014969077632888	0.404101003299612	8	1	0.000156008866623508
ALZnoAPOE	0p001	slope_PC1	EUR	4116	3447	2236	0.00303419610797992	0.0155749158388434	0.845549771895294	8	1	9.20634602168048e-06
ALZnoAPOE	0p01	slope_PC1	EUR	4116	3447	13653	0.00648041801039628	0.0155474090727921	0.676835759240747	8	1	4.19958175894685e-05
ALZnoAPOE	0p05	slope_PC1	EUR	4116	3447	50265	0.0212125429165286	0.01554428546474	0.1724421677447	8	1	0.000449971976985566
ALZnoAPOE	0p1	slope_PC1	EUR	4116	3447	86759	0.0142910940540629	0.0155715110697007	0.358795835640789	8	1	0.000204235369262072
ALZnoAPOE	0p5	slope_PC1	EUR	4116	3447	270711	0.0220454565235643	0.0156289138299731	0.158457402175254	8	1	0.000486002153332362
ALZnoAPOE	1	slope_PC1	EUR	4116	3447	375367	0.0213985572813507	0.0156257743187564	0.170942935956278	8	1	0.000457898253723247
ALZnoAPOE	1e-5	slope_PC1	EUR	4116	3447	182	-0.00772586109421835	0.0156415025956835	0.621381739436184	8	1	5.96889296471568e-05
ALZnoAPOE	5e-8	slope_PC1	EUR	4116	3447	52	-0.00235868631862303	0.0155207760689727	0.879218921728948	8	1	5.56340114965945e-06
ALZnoAPOE	0p001	slope_PC2	EUR	4116	3447	2236	0.0162049384456885	0.0159418850367817	0.309454032905907	8	1	0.000262600030028554
ALZnoAPOE	0p01	slope_PC2	EUR	4116	3447	13653	0.0226743802023117	0.0159015767599368	0.153970517102367	8	1	0.000514127517558986
