disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	0p001	baseline_thickness	EUR	4116	3447		0.00106920391711158	0.0157657128450221	0.945933584079924	8	1	1.14319701636676e-06
ALZ	0p01	baseline_thickness	EUR	4116	3447		0.00550243710616489	0.0157208722930694	0.726350386666825	8	1	3.02768141073002e-05
ALZ	0p05	baseline_thickness	EUR	4116	3447		0.0150540917265322	0.0156618022298772	0.336509316184783	8	1	0.000226625677710847
ALZ	0p1	baseline_thickness	EUR	4116	3447		0.0212458511237047	0.0156878529119891	0.175719512106753	8	1	0.000451386189970626
ALZ	0p5	baseline_thickness	EUR	4116	3447		0.00835447271022609	0.0158071234884269	0.597163045172312	8	1	6.97972142659126e-05
ALZ	1	baseline_thickness	EUR	4116	3447		0.00861602949067704	0.0158136934207467	0.585888996503445	8	1	7.42359641842164e-05
ALZ	1e-5	baseline_thickness	EUR	4116	3447		-0.0160715657307233	0.0157219383678864	0.306728545996761	8	1	0.000258295225036959
ALZ	5e-8	baseline_thickness	EUR	4116	3447		-0.0205558036764901	0.0157154027866174	0.190945508620453	8	1	0.000422541064786405
ALZ	0p001	global_slope	EUR	4116	3447		-0.0373189211416516	0.0149875493873277	0.0128164693206019	8	0.102531754564815	0.00139270187517681
ALZ	0p01	global_slope	EUR	4116	3447		-0.0340811016033162	0.0149890914054335	0.0230367458087382	8	0.184293966469906	0.00116152148649556
ALZ	0p05	global_slope	EUR	4116	3447		-0.0487274737091361	0.014965049725129	0.00113922909669501	8	0.00911383277356005	0.00237436669407455
ALZ	0p1	global_slope	EUR	4116	3447		-0.0434421922766096	0.0149944483897371	0.00378580562258866	8	0.0302864449807093	0.00188722406979792
ALZ	0p5	global_slope	EUR	4116	3447		-0.0418712776591956	0.015061627745697	0.00546223360710601	8	0.0436978688568481	0.00175320389281345
ALZ	1	global_slope	EUR	4116	3447		-0.0399326952484569	0.0150604220474023	0.00804628379890936	8	0.0643702703912749	0.00159462014980613
ALZ	1e-5	global_slope	EUR	4116	3447		-0.026561315092565	0.0149620419104191	0.0759363255808409	8	0.607490604646727	0.000705503459446521
ALZ	5e-8	global_slope	EUR	4116	3447		-0.0290301226011037	0.0149458656962624	0.0521677492888717	8	0.417341994310973	0.00084274801823511
ALZ	0p001	slope_PC1	EUR	4116	3447		0.0389517151015712	0.0155231284606803	0.0121399460284816	8	0.0971195682278526	0.00151723610935397
ALZ	0p01	slope_PC1	EUR	4116	3447		0.0278497653049304	0.0155368147034213	0.0731319658966625	8	0.5850557271733	0.000775609427539707
ALZ	0p05	slope_PC1	EUR	4116	3447		0.0334456433861255	0.0155233808918395	0.031260343129287	8	0.250082745034296	0.00111861106151188
ALZ	0p1	slope_PC1	EUR	4116	3447		0.0248914909575618	0.0155546115946989	0.109622273516103	8	0.876978188128825	0.000619586322090381
ALZ	0p5	slope_PC1	EUR	4116	3447		0.0301273971084733	0.0156168375976349	0.05378545102608	8	0.43028360820864	0.000907660056531648
ALZ	1	slope_PC1	EUR	4116	3447		0.0294564759470733	0.0156134481440601	0.0592894551353634	8	0.474315641082907	0.000867683975220509
ALZ	1e-5	slope_PC1	EUR	4116	3447		0.0475862854961435	0.0154841496178934	0.00213279063662166	8	0.0170623250929733	0.00226445456732048
ALZ	5e-8	slope_PC1	EUR	4116	3447		0.0561281368530467	0.0154595078869706	0.000286490734563707	8	0.00229192587650966	0.00315036774659433
ALZ	0p001	slope_PC2	EUR	4116	3447		0.0390064248092225	0.0158823261008156	0.0140944969626077	8	0.112755975700862	0.00152150117639753
ALZ	0p01	slope_PC2	EUR	4116	3447		0.0387148988695501	0.0158787956067849	0.0148069594248559	8	0.118455675398847	0.00149884339447949
ALZ	0p05	slope_PC2	EUR	4116	3447		0.0313757076249428	0.0158677551091012	0.0480747188305095	8	0.384597750644076	0.000984435028965891
ALZ	0p1	slope_PC2	EUR	4116	3447		0.0189843324814682	0.0159014671210631	0.232599786723437	8	1	0.000360404879766928
ALZ	0p5	slope_PC2	EUR	4116	3447		0.0342235523647322	0.0159687885890609	0.0321627416884494	8	0.257301933507595	0.00117125153646157
ALZ	1	slope_PC2	EUR	4116	3447		0.0354600626640139	0.0159657526035743	0.0264079421101009	8	0.211263536880808	0.00125741604413579
ALZ	1e-5	slope_PC2	EUR	4116	3447		0.0393855979079654	0.0158484088458475	0.0129919135704963	8	0.10393530856397	0.00155122532256793
ALZ	5e-8	slope_PC2	EUR	4116	3447		0.0414903628250371	0.0158333578556382	0.00881612999412364	8	0.0705290399529891	0.00172145020735322
ALZ	0p001	slope_PC3	EUR	4116	3447		-0.0258010968582692	0.0157438656825295	0.101336151209363	8	0.810689209674904	0.000665696599089789
ALZ	0p01	slope_PC3	EUR	4116	3447		-0.010882718675464	0.0157421334441438	0.489411027805672	8	1	0.000118433565769293
ALZ	0p05	slope_PC3	EUR	4116	3447		-0.0224757501873731	0.0157170847747224	0.152790901639381	8	1	0.000505159346485201
ALZ	0p1	slope_PC3	EUR	4116	3447		-0.0200849660885442	0.0157462563030424	0.202194146061662	8	1	0.000403405862777969
ALZ	0p5	slope_PC3	EUR	4116	3447		-0.00934833305099857	0.0158266600886829	0.554776022122871	8	1	8.73913308323921e-05
ALZ	1	slope_PC3	EUR	4116	3447		-0.00817673811103851	0.0158250319335279	0.605397616491222	8	1	6.68590461365097e-05
ALZ	1e-5	slope_PC3	EUR	4116	3447		-0.0355428886461116	0.0157047412134821	0.0236792422733186	8	0.189433938186549	0.00126329693330989
ALZ	5e-8	slope_PC3	EUR	4116	3447		-0.0396725425872956	0.0156880727932805	0.0114839881653817	8	0.0918719053230533	0.00157391063534078
ALZ	0p001	baseline_thickness	full	8082	6789		0.0137665417003982	0.0110336544479003	0.212182325015942	8	1	0.000189517670388802
ALZ	0p01	baseline_thickness	full	8082	6789		0.0203760289246713	0.0110417606425948	0.0650219188661444	8	0.520175350929155	0.000415182554739041
ALZ	0p05	baseline_thickness	full	8082	6789		0.0340737506689566	0.0110356443613934	0.00202461150921903	8	0.0161968920737522	0.00116102048465022
ALZ	0p1	baseline_thickness	full	8082	6789		0.0282371197334234	0.0110663762723405	0.0107408681552095	8	0.0859269452416759	0.000797334930839688
ALZ	0p5	baseline_thickness	full	8082	6789		0.0230821870127526	0.01109405496561	0.0375029779391221	8	0.300023823512977	0.000532787357291685
ALZ	1	baseline_thickness	full	8082	6789		0.0221970869849229	0.0110970430807814	0.0455046520935852	8	0.364037216748681	0.000492710670616236
ALZ	1e-5	baseline_thickness	full	8082	6789		0.00616305099624882	0.0110324742790992	0.576431104831943	8	1	3.79831975823636e-05
ALZ	5e-8	baseline_thickness	full	8082	6789		0.00341719533176144	0.0110370044601355	0.756863644051152	8	1	1.16772239354122e-05
ALZ	0p001	global_slope	full	8082	6789		-0.0299756931856082	0.0107173811704619	0.00517218802140706	8	0.0413775041712565	0.000898542181957718
ALZ	0p01	global_slope	full	8082	6789		-0.02374968937648	0.0107388852521004	0.0270266729168636	8	0.216213383334909	0.000564047745479287
ALZ	0p05	global_slope	full	8082	6789		-0.0370205331833771	0.0107458457841721	0.000573906466101668	8	0.00459125172881334	0.00137051987718152
ALZ	0p1	global_slope	full	8082	6789		-0.023547558304227	0.0107776771858659	0.0289304264260646	8	0.231443411408517	0.000554487502090971
ALZ	0p5	global_slope	full	8082	6789		-0.0223247216676713	0.0108000286915056	0.0387585257551758	8	0.310068206041407	0.000498393197538995
ALZ	1	global_slope	full	8082	6789		-0.022028883590352	0.0108009039191409	0.0414304965561912	8	0.33144397244953	0.000485271712237279
ALZ	1e-5	global_slope	full	8082	6789		-0.0229772104317695	0.0107154071186784	0.032039436774437	8	0.256315494195496	0.000527952199225817
ALZ	5e-8	global_slope	full	8082	6789		-0.0217127839001532	0.0107183734797964	0.0428251073996924	8	0.342600859197539	0.000471444984694751
ALZ	0p001	slope_PC1	full	8082	6789		0.0114544216410169	0.0110764044779818	0.301109527299611	8	1	0.000131203775130195
ALZ	0p01	slope_PC1	full	8082	6789		0.00650173518543972	0.0110979096886249	0.557992310590088	8	1	4.22725604215849e-05
ALZ	0p05	slope_PC1	full	8082	6789		0.0216264156245732	0.0111075665443781	0.0515716808338789	8	0.412573446671031	0.000467701852766785
ALZ	0p1	slope_PC1	full	8082	6789		0.0110814715089929	0.0111377582194257	0.319794065132113	8	1	0.000122799010804622
ALZ	0p5	slope_PC1	full	8082	6789		0.0143766193519129	0.0111597804351628	0.197697285523184	8	1	0.000206687183989796
ALZ	1	slope_PC1	full	8082	6789		0.0147514226703127	0.0111603081765087	0.186282851895463	8	1	0.000217604470798216
