disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDDeur	0p001	baseline_thickness	EUR	4116	3447	9120	-0.016277253681963	0.0159136367203096	0.306439500060068	8	1	0.000264948987426977
MDDeur	0p01	baseline_thickness	EUR	4116	3447	29378	-0.0171869661916243	0.0158763664203558	0.279071720726968	8	1	0.000295391806872036
MDDeur	0p05	baseline_thickness	EUR	4116	3447	73524	-0.00683000784970254	0.0159583471949748	0.668681142737	8	1	4.66490072269984e-05
MDDeur	0p1	baseline_thickness	EUR	4116	3447	111718	-0.00327658063329298	0.0159799691608342	0.837548735473146	8	1	1.07359806464706e-05
MDDeur	0p5	baseline_thickness	EUR	4116	3447	284457	-0.00386925352126887	0.0160741702456417	0.809790043142625	8	1	1.49711228118516e-05
MDDeur	1	baseline_thickness	EUR	4116	3447	381411	-0.00301384430394574	0.0160751733462139	0.851290169082654	8	1	9.08325748842618e-06
MDDeur	1e-5	baseline_thickness	EUR	4116	3447	1660	-0.00515105126351063	0.0159979528475621	0.747482853234327	8	1	2.65333291193145e-05
MDDeur	5e-8	baseline_thickness	EUR	4116	3447	424	-0.0143255877712476	0.0160474566784538	0.372069607538897	8	1	0.00020522246499172
MDDeur	0p001	global_slope	EUR	4116	3447	9120	-0.0258135611039507	0.0151316616272857	0.0881019452541397	8	0.704815562033118	0.000666339936867395
MDDeur	0p01	global_slope	EUR	4116	3447	29378	-0.0228748011167664	0.0151289887344949	0.130619566575748	8	1	0.000523256526131615
MDDeur	0p05	global_slope	EUR	4116	3447	73524	-0.0200743271080521	0.0151812542421697	0.186143613112805	8	1	0.000402978608841077
MDDeur	0p1	global_slope	EUR	4116	3447	111718	-0.0177071013913608	0.0151913863791977	0.243848158723667	8	1	0.00031354143968393
MDDeur	0p5	global_slope	EUR	4116	3447	284457	-0.0199348522218707	0.0152501025101876	0.191225497828139	8	1	0.000397398333107823
MDDeur	1	global_slope	EUR	4116	3447	381411	-0.0203017474077494	0.0152447034030492	0.183030473265286	8	1	0.000412160947808059
MDDeur	1e-5	global_slope	EUR	4116	3447	1660	-0.0255198286388238	0.0152027015685161	0.093304252802175	8	0.7464340224174	0.000651261653754931
