disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	0p001	baseline_thickness	EUR	4116	3447	7558	0.000719808074078878	0.0168734894626214	0.965975354077583	8	1	5.18123663509143e-07
SCZeur	0p01	baseline_thickness	EUR	4116	3447	26079	-0.000688488917374706	0.0164437072245146	0.96660481455019	8	1	4.74016989347795e-07
SCZeur	0p05	baseline_thickness	EUR	4116	3447	69501	0.00820587464534775	0.0161380263619114	0.611143654379569	8	1	6.73363786951611e-05
SCZeur	0p1	baseline_thickness	EUR	4116	3447	107755	0.00497887966909917	0.0160906071415791	0.757011940326291	8	1	2.4789242759369e-05
SCZeur	0p5	baseline_thickness	EUR	4116	3447	289986	0.0181556688462742	0.0160627083743934	0.258416443791455	8	1	0.000329628311255572
SCZeur	1	baseline_thickness	EUR	4116	3447	396598	0.0170509200225482	0.0160631419968717	0.288528477105865	8	1	0.000290733873615335
SCZeur	1e-5	baseline_thickness	EUR	4116	3447	1213	-0.0163770006672183	0.0172635554216287	0.342856644007252	8	1	0.000268206150854068
SCZeur	5e-8	baseline_thickness	EUR	4116	3447	332	-0.019868474536969	0.017397790419811	0.253515973685572	8	1	0.000394756280426186
SCZeur	0p001	global_slope	EUR	4116	3447	7558	-0.0217116389121929	0.016031487122313	0.175717218095665	8	1	0.000471395264253447
SCZeur	0p01	global_slope	EUR	4116	3447	26079	-0.0331543771314628	0.0156299438737868	0.0339683680417382	8	0.271746944333906	0.00109921272297526
SCZeur	0p05	global_slope	EUR	4116	3447	69501	-0.0382592916170896	0.0153588595130175	0.0127793387687723	8	0.102234710150179	0.00146377339504151
SCZeur	0p1	global_slope	EUR	4116	3447	107755	-0.0390896709167207	0.0153019126591023	0.0106703173252967	8	0.0853625386023736	0.00152800237237752
SCZeur	0p5	global_slope	EUR	4116	3447	289986	-0.0465480623485589	0.0152383699649094	0.00226867942993297	8	0.0181494354394638	0.00216672210840533
SCZeur	1	global_slope	EUR	4116	3447	396598	-0.046738484235466	0.015230377581021	0.00216453427607248	8	0.0173162742085799	0.0021844859086289
SCZeur	1e-5	global_slope	EUR	4116	3447	1213	0.00146636927335498	0.0164595083377775	0.929015418788913	8	1	2.15023884583961e-06
SCZeur	5e-8	global_slope	EUR	4116	3447	332	0.00714933683691837	0.0165779840034931	0.666307238875595	8	1	5.1113017207718e-05
SCZeur	0p001	slope_PC1	EUR	4116	3447	7558	0.0261577075076602	0.0166067336626669	0.115312533206456	8	0.922500265651648	0.000684225662056303
SCZeur	0p01	slope_PC1	EUR	4116	3447	26079	0.0389977032901911	0.0161907556981077	0.0160602112826482	8	0.128481690261186	0.00152082086190979
