disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	0p001	baseline_thickness	EUR	4116	3447		0.000506753534482723	0.0168715123754381	0.976039769369533	8	1	2.56799144710732e-07
SCZeur	0p01	baseline_thickness	EUR	4116	3447		-0.000797241251808186	0.0164413832445842	0.96132816820101	8	1	6.35593613584683e-07
SCZeur	0p05	baseline_thickness	EUR	4116	3447		0.00790847518233382	0.0161369897331661	0.624100934165423	8	1	6.254397970959e-05
SCZeur	0p1	baseline_thickness	EUR	4116	3447		0.0047424406234555	0.016089026696633	0.768190314059279	8	1	2.2490743067001e-05
SCZeur	0p5	baseline_thickness	EUR	4116	3447		0.0181911280997755	0.0160601902575176	0.257413254772117	8	1	0.000330917141542441
SCZeur	1	baseline_thickness	EUR	4116	3447		0.0170539624881671	0.0160605941291151	0.288366011844951	8	1	0.000290837636547809
SCZeur	1e-5	baseline_thickness	EUR	4116	3447		-0.0161281312833683	0.0172619539334963	0.350195588818599	8	1	0.000260116618693563
SCZeur	5e-8	baseline_thickness	EUR	4116	3447		-0.0193777353723931	0.0173987503754311	0.265454780654451	8	1	0.000375496628162494
SCZeur	0p001	global_slope	EUR	4116	3447		-0.021539805694769	0.0160271104591432	0.179041346673434	8	1	0.000463963229368403
SCZeur	0p01	global_slope	EUR	4116	3447		-0.0330626066682846	0.0156254510425857	0.0344139344798114	8	0.275311475838491	0.0010931359597017
SCZeur	0p05	global_slope	EUR	4116	3447		-0.0380258289994769	0.015355795273427	0.0133172394818519	8	0.106537915854815	0.00144596367109745
SCZeur	0p1	global_slope	EUR	4116	3447		-0.0389240124500115	0.0152982372816065	0.0109870086588168	8	0.0878960692705341	0.00151507874520865
SCZeur	0p5	global_slope	EUR	4116	3447		-0.0465497501627937	0.0152338147904177	0.00226097919996135	8	0.0180878335996908	0.00216687924021851
SCZeur	1	global_slope	EUR	4116	3447		-0.0467190248015947	0.015225804544052	0.00216712594138492	8	0.0173370075310793	0.00218266727841202
SCZeur	1e-5	global_slope	EUR	4116	3447		0.00127021021049599	0.0164555918036811	0.938476261519441	8	1	1.61343397884827e-06
SCZeur	5e-8	global_slope	EUR	4116	3447		0.0067580626661899	0.0165762971083804	0.683520829492537	8	1	4.56714110001498e-05
SCZeur	0p001	slope_PC1	EUR	4116	3447		0.0259084544078074	0.0166001349466444	0.118671048241843	8	0.949368385934744	0.000671248009801434
SCZeur	0p01	slope_PC1	EUR	4116	3447		0.0388803715267904	0.0161839920911768	0.0163365640840718	8	0.130692512672574	0.00151168329006126
SCZeur	0p05	slope_PC1	EUR	4116	3447		0.036169863595854	0.0159126371676377	0.0230805983222785	8	0.184644786578228	0.00130825903254268
SCZeur	0p1	slope_PC1	EUR	4116	3447		0.0365851314970431	0.0158530419245769	0.0210659744701719	8	0.168527795761376	0.00133847184665594
SCZeur	0p5	slope_PC1	EUR	4116	3447		0.0390467672806002	0.0157868843106427	0.0134287794438977	8	0.107430235551182	0.00152465003506535
SCZeur	1	slope_PC1	EUR	4116	3447		0.0400067554507898	0.0157772686237433	0.0112620874683384	8	0.0900966997467076	0.0016005404816993
SCZeur	1e-5	slope_PC1	EUR	4116	3447		0.0161429648189944	0.0170498871160187	0.343797551604087	8	1	0.000260595313147292
SCZeur	5e-8	slope_PC1	EUR	4116	3447		0.00560111411384906	0.017175125650867	0.744353427518707	8	1	3.13724793163591e-05
SCZeur	0p001	slope_PC2	EUR	4116	3447		0.0304067331168685	0.0169845870960209	0.0734920839800734	8	0.587936671840587	0.000924569418840469
