disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZpooled	0p001	baseline_thickness	EUR	4116	3447	8647	-0.00664147087871949	0.0166924871770182	0.690745393055934	8	1	4.4109135432879e-05
SCZpooled	0p01	baseline_thickness	EUR	4116	3447	28912	-0.00972207373105415	0.0162962534825329	0.550818603241666	8	1	9.45187176320531e-05
SCZpooled	0p05	baseline_thickness	EUR	4116	3447	74127	0.00275293253395449	0.0161142905172869	0.864359618934586	8	1	7.57863753650508e-06
SCZpooled	0p1	baseline_thickness	EUR	4116	3447	113731	0.00234215129932433	0.0161582743980597	0.884757041844669	8	1	5.48567270892665e-06
SCZpooled	0p5	baseline_thickness	EUR	4116	3447	294886	0.0170728736916262	0.0161126461964837	0.28939171658441	8	1	0.000291483016090223
SCZpooled	1	baseline_thickness	EUR	4116	3447	396516	0.0186182877378859	0.0161175367366323	0.24809371096132	8	1	0.000346640638290714
SCZpooled	1e-5	baseline_thickness	EUR	4116	3447	1511	-0.00529137210892757	0.0172027383282274	0.758410769071864	8	1	2.79986187951366e-05
SCZpooled	5e-8	baseline_thickness	EUR	4116	3447	434	-0.0149561968587006	0.017296015872324	0.387243518254468	8	1	0.000223687824476206
SCZpooled	0p001	global_slope	EUR	4116	3447	8647	-0.0106900758662589	0.0158652251366261	0.500475856316913	8	1	0.000114277722026371
SCZpooled	0p01	global_slope	EUR	4116	3447	28912	-0.0270721883290505	0.0154897399115263	0.0805872581007882	8	0.644698064806306	0.000732903380923579
SCZpooled	0p05	global_slope	EUR	4116	3447	74127	-0.0441522238913824	0.0153237708468394	0.00398242915707953	8	0.0318594332566363	0.00194941887455476
SCZpooled	0p1	global_slope	EUR	4116	3447	113731	-0.0414684802690461	0.0153264170505767	0.00684658083437486	8	0.0547726466749989	0.00171963485582426
SCZpooled	0p5	global_slope	EUR	4116	3447	294886	-0.0512308992362064	0.0152742602913612	0.00080409732082886	8	0.00643277856663088	0.00262460503655033
SCZpooled	1	global_slope	EUR	4116	3447	396516	-0.0496362110563908	0.0152751970175487	0.00116625540135693	8	0.00933004321085545	0.00246375344803457
SCZpooled	1e-5	global_slope	EUR	4116	3447	1511	0.00249725260764739	0.0163735940284481	0.878787156569904	8	1	6.23627058640166e-06
SCZpooled	5e-8	global_slope	EUR	4116	3447	434	0.00807815491356919	0.0164797635324226	0.624030124123746	8	1	6.52565868076221e-05
SCZpooled	0p001	slope_PC1	EUR	4116	3447	8647	0.0166262052082232	0.0164335405178377	0.311735898947727	8	1	0.000276430699625948
SCZpooled	0p01	slope_PC1	EUR	4116	3447	28912	0.0190701384985119	0.0160515796052874	0.234887195482988	8	1	0.000363670182352426
SCZpooled	0p05	slope_PC1	EUR	4116	3447	74127	0.0271429891447083	0.0158878876124199	0.0876430777082859	8	0.701144621666287	0.000736741859709751
SCZpooled	0p1	slope_PC1	EUR	4116	3447	113731	0.0295862229238458	0.0158851318993322	0.0626094578829779	8	0.500875663063823	0.000875344586899496
SCZpooled	0p5	slope_PC1	EUR	4116	3447	294886	0.0298718392274696	0.0158391682712907	0.05937952468021	8	0.47503619744168	0.000892326778831794
SCZpooled	1	slope_PC1	EUR	4116	3447	396516	0.0311818057149672	0.0158377803536091	0.0490470942928961	8	0.392376754343169	0.00097230500764596
SCZpooled	1e-5	slope_PC1	EUR	4116	3447	1511	0.00110417076940526	0.0169639881805006	0.948106529404428	8	1	1.219193088009e-06
SCZpooled	5e-8	slope_PC1	EUR	4116	3447	434	0.00162038843802153	0.017074043705824	0.924396471435319	8	1	2.62565869007385e-06
SCZpooled	0p001	slope_PC2	EUR	4116	3447	8647	0.0096320411597262	0.0168169001066615	0.566841051261092	8	1	9.27762169026597e-05
SCZpooled	0p01	slope_PC2	EUR	4116	3447	28912	0.00586202650010719	0.0164220482204461	0.721140696413803	8	1	3.4363354687959e-05
