disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZpooled	0p001	baseline_thickness	EUR	4116	3447		-0.00664146411966469	0.0166924871139592	0.69074569041473	8	1	4.41090456527935e-05
SCZpooled	0p01	baseline_thickness	EUR	4116	3447		-0.00972207549308709	0.0162962535338882	0.550818532296782	8	1	9.45187518932847e-05
SCZpooled	0p05	baseline_thickness	EUR	4116	3447		0.00275293490969884	0.0161142906169356	0.864359503844032	8	1	7.57865061703858e-06
SCZpooled	0p1	baseline_thickness	EUR	4116	3447		0.00234215869778894	0.0161582743550488	0.884756680049804	8	1	5.48570736562837e-06
SCZpooled	0p5	baseline_thickness	EUR	4116	3447		0.0170728747965466	0.0161126461977077	0.289391685414066	8	1	0.000291483053818557
SCZpooled	1	baseline_thickness	EUR	4116	3447		0.0186182830404334	0.0161175366951575	0.24809382905914	8	1	0.000346640463373691
SCZpooled	1e-5	baseline_thickness	EUR	4116	3447		-0.00529137963293834	0.0172027383378802	0.758410436378108	8	1	2.79986984198747e-05
SCZpooled	5e-8	baseline_thickness	EUR	4116	3447		-0.0149562036645467	0.0172960158388361	0.387243301334643	8	1	0.000223688028055401
SCZpooled	0p001	global_slope	EUR	4116	3447		-0.0106900791903339	0.0158652250908158	0.500475721872535	8	1	0.00011427779309561
SCZpooled	0p01	global_slope	EUR	4116	3447		-0.0270721910525091	0.0154897399322319	0.0805872280422544	8	0.644697824338035	0.000732903528383555
SCZpooled	0p05	global_slope	EUR	4116	3447		-0.0441522335630862	0.0153237708862959	0.00398242129287487	8	0.0318593703429989	0.00194941972860932
SCZpooled	0p1	global_slope	EUR	4116	3447		-0.041468488726089	0.015326417033357	0.00684656941856103	8	0.0547725553484882	0.00171963555722577
SCZpooled	0p5	global_slope	EUR	4116	3447		-0.0512309051644655	0.0152742602913071	0.000804096196253942	8	0.00643276957003154	0.00262460564397046
SCZpooled	1	global_slope	EUR	4116	3447		-0.0496362116232243	0.0152751970183891	0.00116625525028385	8	0.00933004200227083	0.00246375350430551
SCZpooled	1e-5	global_slope	EUR	4116	3447		0.00249725383134424	0.0163735940344696	0.878787097676984	8	1	6.23627669816347e-06
SCZpooled	5e-8	global_slope	EUR	4116	3447		0.00807815974501676	0.016479763536081	0.624029916781181	8	1	6.52566648660092e-05
SCZpooled	0p001	slope_PC1	EUR	4116	3447		0.0166262120409577	0.0164335404706137	0.311735698729908	8	1	0.000276430926830887
SCZpooled	0p01	slope_PC1	EUR	4116	3447		0.0190701445337371	0.016051579627009	0.234887048012592	8	1	0.000363670412537622
SCZpooled	0p05	slope_PC1	EUR	4116	3447		0.027142997707153	0.0158878876498614	0.0876429785154768	8	0.701143828123815	0.000736742324530513
SCZpooled	0p1	slope_PC1	EUR	4116	3447		0.0295862268412372	0.0158851318868076	0.0626094229384771	8	0.500875383507817	0.000875344818701145
SCZpooled	0p5	slope_PC1	EUR	4116	3447		0.0298718474635368	0.0158391682736327	0.0593794546189962	8	0.47503563695197	0.000892327270884809
SCZpooled	1	slope_PC1	EUR	4116	3447		0.0311818075337843	0.0158377803591316	0.049047081173394	8	0.392376649387152	0.000972305121073967
SCZpooled	1e-5	slope_PC1	EUR	4116	3447		0.00110416541554801	0.0169639881880114	0.948106780691043	8	1	1.21918126489231e-06
SCZpooled	5e-8	slope_PC1	EUR	4116	3447		0.00162038118801225	0.0170740437129042	0.92439680872038	8	1	2.62563519446401e-06
SCZpooled	0p001	slope_PC2	EUR	4116	3447		0.00963205400377061	0.0168169000577198	0.56684053298294	8	1	9.27764643315534e-05
SCZpooled	0p01	slope_PC2	EUR	4116	3447		0.00586202797291734	0.0164220482448857	0.721140629675434	8	1	3.43633719552654e-05
SCZpooled	0p05	slope_PC2	EUR	4116	3447		0.00903178220976746	0.0162563255685389	0.578526225316415	8	1	8.15730898846721e-05
SCZpooled	0p1	slope_PC2	EUR	4116	3447		0.0115284992267165	0.0162586566981754	0.478325052854782	8	1	0.000132906294420402
SCZpooled	0p5	slope_PC2	EUR	4116	3447		0.0163988215951877	0.0162113013712341	0.31180877048165	8	1	0.000268921349710795
SCZpooled	1	slope_PC2	EUR	4116	3447		0.0169666361574577	0.0162105182994793	0.295329897407574	8	1	0.000287866742499552
SCZpooled	1e-5	slope_PC2	EUR	4116	3447		0.0127405419335124	0.0173536073992309	0.462888234018632	8	1	0.000162321408759587
SCZpooled	5e-8	slope_PC2	EUR	4116	3447		0.0162778813434375	0.0174658047483469	0.35140223843821	8	1	0.000264969421031029
SCZpooled	0p001	slope_PC3	EUR	4116	3447		-0.016467431136074	0.0166648379946024	0.323139721857214	8	1	0.000271176288221341
SCZpooled	0p01	slope_PC3	EUR	4116	3447		-0.0145111795343395	0.016270382200723	0.372514709574748	8	1	0.000210574331477835
SCZpooled	0p05	slope_PC3	EUR	4116	3447		-0.0170258046087992	0.0161056683454839	0.290517981042398	8	1	0.00028987802257701
SCZpooled	0p1	slope_PC3	EUR	4116	3447		-0.0225840995473434	0.016109711366799	0.161028269815202	8	1	0.000510041552364315
SCZpooled	0p5	slope_PC3	EUR	4116	3447		-0.0200774545164736	0.0160647680031093	0.211455913890254	8	1	0.000403104179861066
SCZpooled	1	slope_PC3	EUR	4116	3447		-0.0213840545939878	0.0160640901328808	0.183212261786049	8	1	0.00045727779087865
SCZpooled	1e-5	slope_PC3	EUR	4116	3447		0.00434114128929005	0.0171957673731541	0.800703630317206	8	1	1.88455076935789e-05
SCZpooled	5e-8	slope_PC3	EUR	4116	3447		0.00632037983491697	0.0173073614769212	0.714993792363964	8	1	3.99472012576251e-05
SCZpooled	0p001	baseline_thickness	full	8082	6789		-0.00237443113846802	0.0110777923677051	0.83028615882364	8	1	5.63792323132655e-06
SCZpooled	0p01	baseline_thickness	full	8082	6789		0.000542728327830331	0.0110604375912493	0.960865261253736	8	1	2.94554037829507e-07
