disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	prscs	baseline_thickness	EUR	4116	3447		0.00735747473775182	0.0157314221598073	0.640029088455897	1	0.640029088455897	5.41324345166562e-05
ALZ	prscs	global_slope	EUR	4116	3447		-0.0328856098880317	0.014967901622819	0.0280743306836901	1	0.0280743306836901	0.00108146333770781
ALZ	prscs	slope_PC1	EUR	4116	3447		0.0383596129861925	0.0155051240586546	0.0134048169621424	1	0.0134048169621424	0.00147145990845047
ALZ	prscs	slope_PC2	EUR	4116	3447		0.0438492189821178	0.0158760858489613	0.00577252210689326	1	0.00577252210689326	0.00192275400534172
ALZ	prscs	slope_PC3	EUR	4116	3447		-0.0314198322362419	0.0158112424641677	0.0469727748742595	1	0.0469727748742595	0.000987205857753587
ALZ	prscs	baseline_thickness	full	8082	6789		0.0220193423808171	0.0110622585528173	0.0465706361945432	1	0.0465706361945432	0.000484851438883647
ALZ	prscs	global_slope	full	8082	6789		-0.0309253903237312	0.0107392301261292	0.00399211416980477	1	0.00399211416980477	0.000956379766675125
ALZ	prscs	slope_PC1	full	8082	6789		0.0193790483456394	0.0110979331876651	0.0808195367084164	1	0.0808195367084164	0.00037554751478263
ALZ	prscs	slope_PC2	full	8082	6789		0.0180667208476675	0.0113319999772009	0.110907957709782	1	0.110907957709782	0.000326406402187544
ALZ	prscs	slope_PC3	full	8082	6789		-0.0192013000243683	0.0111498540746259	0.0850899159917682	1	0.0850899159917682	0.000368689922625808
