disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	prscs	baseline_thickness	EUR	4116	3447	370645	-0.0440942318579906	0.0159275298060385	0.00565802134478248	1	0.00565802134478248	0.00194430128314623
ASD	prscs	global_slope	EUR	4116	3447	370645	0.0157210854965589	0.0152219383824175	0.301765885672582	1	0.301765885672582	0.000247152529190114
ASD	prscs	slope_PC1	EUR	4116	3447	370645	0.00274457321357938	0.0157808545986733	0.861939224326965	1	0.861939224326965	7.53268212469746e-06
ASD	prscs	slope_PC2	EUR	4116	3447	370645	-0.00778002926646826	0.0161546696163681	0.630119720914344	1	0.630119720914344	6.05288553871026e-05
ASD	prscs	slope_PC3	EUR	4116	3447	370645	-0.0222007819417414	0.0160750670347008	0.167336908213221	1	0.167336908213221	0.000492874718824752
ASD	prscs	baseline_thickness	full	8082	6789	370645	-0.0191522464793317	0.0119864533499982	0.110121323744475	1	0.110121323744475	0.000366808545205074
ASD	prscs	global_slope	full	8082	6789	370645	0.00494196565642901	0.0116879340583462	0.672433802063164	1	0.672433802063164	2.44230245493238e-05
ASD	prscs	slope_PC1	full	8082	6789	370645	0.0125832160149426	0.0120763997883666	0.297459609366377	1	0.297459609366377	0.000158337325278707
ASD	prscs	slope_PC2	full	8082	6789	370645	-0.00248638412013375	0.0123254028129428	0.840134324198386	1	0.840134324198386	6.18210599285326e-06
ASD	prscs	slope_PC3	full	8082	6789	370645	-0.0247910142805265	0.012125517677572	0.0409348190749649	1	0.0409348190749649	0.00061459438905727
