disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
EA	prscs	baseline_thickness	EUR	4116	3447	1077436	0.0316867858481688	0.016136655370292	0.0496380499688905	1	0.0496380499688905	0.00100405239738771
EA	prscs	global_slope	EUR	4116	3447	1077436	0.0344546657559707	0.0153344088872664	0.0247039715087147	1	0.0247039715087147	0.00118712399235566
EA	prscs	slope_PC1	EUR	4116	3447	1077436	-0.0101871947146784	0.0158982102029136	0.521707155297158	1	0.521707155297158	0.000103778936154773
EA	prscs	slope_PC2	EUR	4116	3447	1077436	0.00978558465527829	0.0162627903395094	0.54739842526013	1	0.54739842526013	9.57576670456179e-05
EA	prscs	slope_PC3	EUR	4116	3447	1077436	0.0207611404315588	0.0161131100323494	0.197662629755002	1	0.197662629755002	0.000431024952018905
EA	prscs	baseline_thickness	full	8082	6789	1077436	0.0085841668002051	0.0111897132456552	0.443016133139956	1	0.443016133139956	7.36879196537434e-05
EA	prscs	global_slope	full	8082	6789	1077436	0.0237943258101831	0.0108697698133727	0.0286244029096172	1	0.0286244029096172	0.000566169940761148
EA	prscs	slope_PC1	full	8082	6789	1077436	-0.00589068578527744	0.0112333829426389	0.600021910011235	1	0.600021910011235	3.47001790208697e-05
EA	prscs	slope_PC2	full	8082	6789	1077436	0.000234550125546636	0.0114520378946225	0.98366013591136	1	0.98366013591136	5.50137613939428e-08
EA	prscs	slope_PC3	full	8082	6789	1077436	0.0055262970907224	0.0112411558955576	0.623007182682318	1	0.623007182682318	3.05399595349269e-05
