disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDDpooled	prscs	baseline_thickness	EUR	4116	3447	972307	-0.0174725346078906	0.0159252149125668	0.272635322646671	1	0.272635322646671	0.000305289465623934
MDDpooled	prscs	global_slope	EUR	4116	3447	972307	-0.018451360392535	0.0151480424524068	0.223272425802367	1	0.223272425802367	0.000340452700335211
MDDpooled	prscs	slope_PC1	EUR	4116	3447	972307	0.00280298958194661	0.015698154227406	0.858296433765515	1	0.858296433765515	7.85675059650123e-06
MDDpooled	prscs	slope_PC2	EUR	4116	3447	972307	0.017259371680702	0.0160540565406396	0.282406616442783	1	0.282406616442783	0.000297885910812619
MDDpooled	prscs	slope_PC3	EUR	4116	3447	972307	0.000769647675839295	0.0159083884479844	0.96141591660205	1	0.96141591660205	5.92357544924829e-07
MDDpooled	prscs	baseline_thickness	full	8082	6789	972307	-0.00777335827834851	0.011221004721492	0.48848621760012	1	0.48848621760012	6.04250989235693e-05
MDDpooled	prscs	global_slope	full	8082	6789	972307	-0.0187555347853776	0.0108855637995572	0.0849342251051823	1	0.0849342251051823	0.000351770085085508
MDDpooled	prscs	slope_PC1	full	8082	6789	972307	0.0135993818576001	0.0112463564488839	0.226614240464384	1	0.226614240464384	0.000184943186908823
MDDpooled	prscs	slope_PC2	full	8082	6789	972307	0.022462911476009	0.0114656809726135	0.0501324050219681	1	0.0501324050219681	0.000504582391979015
MDDpooled	prscs	slope_PC3	full	8082	6789	972307	0.000365553864536356	0.0112565448269995	0.97409428080133	1	0.97409428080133	1.33629627877465e-07
