disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	prscs	baseline_thickness	EUR	4116	3447	1088629	0.0100317938060776	0.0166214492171068	0.546179597364382	1	0.546179597364382	0.000100636886967657
SCZeur	prscs	global_slope	EUR	4116	3447	1088629	-0.0266130999421821	0.015774334779566	0.0916637465794211	1	0.0916637465794211	0.000708257088532575
SCZeur	prscs	slope_PC1	EUR	4116	3447	1088629	0.0250065889826412	0.0163413851385993	0.126037738825308	1	0.126037738825308	0.000625329492546751
SCZeur	prscs	slope_PC2	EUR	4116	3447	1088629	0.0148409128653366	0.0167502566606798	0.375667333550652	1	0.375667333550652	0.000220252694676515
SCZeur	prscs	slope_PC3	EUR	4116	3447	1088629	-0.00737408659725044	0.0166814999315211	0.658476928429253	1	0.658476928429253	5.43771531437486e-05
SCZeur	prscs	baseline_thickness	full	8082	6789	1088629	-0.00797573733686996	0.0269303375808934	0.767114170050533	1	0.767114170050533	6.36123860667415e-05
SCZeur	prscs	global_slope	full	8082	6789	1088629	-0.0443613122603577	0.0261676877285061	0.0900653211111402	1	0.0900653211111402	0.00196792602546097
SCZeur	prscs	slope_PC1	full	8082	6789	1088629	0.0700160649731776	0.0270257360705934	0.00959616423883791	1	0.00959616423883791	0.00490224935432823
SCZeur	prscs	slope_PC2	full	8082	6789	1088629	0.0330447277179933	0.0276065568807645	0.231348306504337	1	0.231348306504337	0.00109195402995632
SCZeur	prscs	slope_PC3	full	8082	6789	1088629	-0.0518848318256703	0.0271588903107021	0.0561171875104674	1	0.0561171875104674	0.00269203577357809
