disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZpooled	prscs	baseline_thickness	EUR	4116	3447	1088729	0.000913903609239287	0.0163103163984739	0.955318851826317	1	0.955318851826317	8.35219806980596e-07
SCZpooled	prscs	global_slope	EUR	4116	3447	1088729	-0.0211731087997936	0.015526953890391	0.172762344621213	1	0.172762344621213	0.000448300536247897
SCZpooled	prscs	slope_PC1	EUR	4116	3447	1088729	0.0177031436578891	0.0160894146860152	0.271273282022021	1	0.271273282022021	0.000313401295371859
SCZpooled	prscs	slope_PC2	EUR	4116	3447	1088729	0.00482689964461019	0.016483869805347	0.769671172340704	1	0.769671172340704	2.3298960179138e-05
SCZpooled	prscs	slope_PC3	EUR	4116	3447	1088729	-0.00310762837668748	0.0164110142488275	0.849818826695263	1	0.849818826695263	9.65735412759326e-06
SCZpooled	prscs	baseline_thickness	full	8082	6789	1088729	-0.0112225188043472	0.0178776200075553	0.530191307543483	1	0.530191307543483	0.000125944928313926
SCZpooled	prscs	global_slope	full	8082	6789	1088729	-0.0247909028284823	0.0173857640874382	0.153929375484011	1	0.153929375484011	0.000614588863051251
SCZpooled	prscs	slope_PC1	full	8082	6789	1088729	0.0421775043723701	0.0179561906405556	0.01885412123267	1	0.01885412123267	0.0017789418750813
SCZpooled	prscs	slope_PC2	full	8082	6789	1088729	0.0208881063963547	0.0183396170894564	0.254755129863952	1	0.254755129863952	0.000436312988825434
SCZpooled	prscs	slope_PC3	full	8082	6789	1088729	-0.0290735429999105	0.0180436393625483	0.10715798759775	1	0.10715798759775	0.000845270902567644
