disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.0030870457121872	0.0157681868738544	0.844794589137198	1	0.844794589137198	9.52985122913337e-06
ALZ	sbrc	global_slope	EUR	4116	3447	1154522	-0.0253336689136475	0.0149527987751318	0.0903009875865711	1	0.0903009875865711	0.00064179478062631
ALZ	sbrc	slope_PC1	EUR	4116	3447	1154522	0.0381731500744059	0.0154763988050261	0.0136874038295094	1	0.0136874038295094	0.00145718938660312
ALZ	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0455836875891362	0.015834442631967	0.00401448856145889	1	0.00401448856145889	0.00207787257422397
ALZ	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.027055046955545	0.0157055267441077	0.0850341003428717	1	0.0850341003428717	0.000731975565766742
ALZ	sbrc	baseline_thickness	full	8082	6789	1154522	0.0133358306618332	0.012002832420576	0.266577143287523	1	0.266577143287523	0.00017784437944109
ALZ	sbrc	global_slope	full	8082	6789	1154522	-0.0282077506918211	0.0116592219921566	0.0155716405304783	1	0.0155716405304783	0.000795677199091936
ALZ	sbrc	slope_PC1	full	8082	6789	1154522	0.00938248143242505	0.0120479771083622	0.436145703574488	1	0.436145703574488	8.80309578298008e-05
ALZ	sbrc	slope_PC2	full	8082	6789	1154522	0.0168226677331365	0.0122835843356052	0.170875729890801	1	0.170875729890801	0.000283002149659513
ALZ	sbrc	slope_PC3	full	8082	6789	1154522	-0.0100550446328211	0.0120581886091888	0.40437665711083	1	0.40437665711083	0.000101103922568025
