disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAP	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.00806641254715517	0.015792630622134	0.609539280207387	1	0.609539280207387	6.50670113809023e-05
ALZIGAP	sbrc	global_slope	EUR	4116	3447	1154522	-0.0228134348347185	0.0149768264176617	0.1277795168665	1	0.1277795168665	0.000520452808957945
ALZIGAP	sbrc	slope_PC1	EUR	4116	3447	1154522	0.0408503954671874	0.015497987838593	0.00842756470082216	1	0.00842756470082216	0.0016687548098256
ALZIGAP	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0359117496226765	0.0158658195882799	0.0236627996645429	1	0.0236627996645429	0.00128965376096181
ALZIGAP	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.0362837128909339	0.0157244348016141	0.0210819443291301	1	0.0210819443291301	0.00131650782115172
ALZIGAP	sbrc	baseline_thickness	full	8082	6789	1154522	0.013304024729743	0.0152952293942425	0.384427340914509	1	0.384427340914509	0.000176997074009612
ALZIGAP	sbrc	global_slope	full	8082	6789	1154522	-0.0248688669333137	0.0148769808813053	0.0946376223279492	1	0.0946376223279492	0.000618460542546866
ALZIGAP	sbrc	slope_PC1	full	8082	6789	1154522	0.00701185769481753	0.0153714311669246	0.648286840217443	1	0.648286840217443	4.91661483323717e-05
ALZIGAP	sbrc	slope_PC2	full	8082	6789	1154522	0.0163977206958756	0.0156699661350226	0.295389694735653	1	0.295389694735653	0.000268885244019946
ALZIGAP	sbrc	slope_PC3	full	8082	6789	1154522	-0.0114679872320598	0.0153822051913122	0.455970775483856	1	0.455970775483856	0.000131514731154687
