disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAPnoAPOE	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.0181685690421693	0.0159771664822539	0.255538506150084	1	0.255538506150084	0.000330096901040071
ALZIGAPnoAPOE	sbrc	global_slope	EUR	4116	3447	1154522	0.00431054766363864	0.0152464969657879	0.777403737709068	1	0.777403737709068	1.85808211605006e-05
ALZIGAPnoAPOE	sbrc	slope_PC1	EUR	4116	3447	1154522	0.0174390812189722	0.0157955360831713	0.269641310253945	1	0.269641310253945	0.00030412155376191
ALZIGAPnoAPOE	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0202170807532163	0.0161543744799169	0.210830251636909	1	0.210830251636909	0.000408730354182068
ALZIGAPnoAPOE	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.0285027480949303	0.0159982245053686	0.0748897753262477	1	0.0748897753262477	0.00081240664896305
ALZIGAPnoAPOE	sbrc	baseline_thickness	full	8082	6789	1154522	0.010281867078901	0.0112995999371294	0.362885750324164	1	0.362885750324164	0.000105716790628189
ALZIGAPnoAPOE	sbrc	global_slope	full	8082	6789	1154522	0.00325934062971768	0.0109814854628257	0.766624852864393	1	0.766624852864393	1.06233013405285e-05
ALZIGAPnoAPOE	sbrc	slope_PC1	full	8082	6789	1154522	0.00203109056603169	0.0113446057478286	0.857914412724435	1	0.857914412724435	4.12532888742292e-06
ALZIGAPnoAPOE	sbrc	slope_PC2	full	8082	6789	1154522	0.0102178191179081	0.0115664615530495	0.377047652385064	1	0.377047652385064	0.000104403827526289
ALZIGAPnoAPOE	sbrc	slope_PC3	full	8082	6789	1154522	-0.00904095346315209	0.0113529931482085	0.425853680218475	1	0.425853680218475	8.17388395228818e-05
