disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZnoAPOE	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.0057506981827264	0.0157195669018862	0.714510365221699	1	0.714510365221699	3.30705295888127e-05
ALZnoAPOE	sbrc	global_slope	EUR	4116	3447	1154522	0.00183308952904902	0.015001201424866	0.902750015138853	1	0.902750015138853	3.36021722150914e-06
ALZnoAPOE	sbrc	slope_PC1	EUR	4116	3447	1154522	0.0048775238396733	0.0155461263245051	0.753731855998273	1	0.753731855998273	2.37902388065813e-05
ALZnoAPOE	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0312332237342589	0.0159103885875181	0.0497091935053336	1	0.0497091935053336	0.000975514264834276
ALZnoAPOE	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.00757961715980693	0.0158457168903303	0.632436289558715	1	0.632436289558715	5.74505962892397e-05
ALZnoAPOE	sbrc	baseline_thickness	full	8082	6789	1154522	0.0125205101876231	0.0127722426278224	0.32697207308663	1	0.32697207308663	0.000156763175358374
ALZnoAPOE	sbrc	global_slope	full	8082	6789	1154522	-0.00938438670448369	0.0124653271373519	0.451569539220154	1	0.451569539220154	8.80667138192903e-05
ALZnoAPOE	sbrc	slope_PC1	full	8082	6789	1154522	0.0105639458038259	0.0128801099310342	0.412141797925958	1	0.412141797925958	0.000111596950946171
ALZnoAPOE	sbrc	slope_PC2	full	8082	6789	1154522	0.0234118432785539	0.0131419376372777	0.0748763257498258	1	0.0748763257498258	0.000548114405699569
ALZnoAPOE	sbrc	slope_PC3	full	8082	6789	1154522	-0.0154673245040329	0.0129337395767687	0.231776371198242	1	0.231776371198242	0.000239238127313057
