disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	sbrc	baseline_thickness	EUR	4116	3447		-0.00308705013344359	0.0157681868255483	0.844794369209243	1	0.844794369209243	9.52987852639408e-06
ALZ	sbrc	global_slope	EUR	4116	3447		-0.0253336655136961	0.0149527987716416	0.0903010307050908	1	0.0903010307050908	0.000641794608359834
ALZ	sbrc	slope_PC1	EUR	4116	3447		0.038173147555189	0.0154763988023914	0.0136874100242106	1	0.0136874100242106	0.00145718919427023
ALZ	sbrc	slope_PC2	EUR	4116	3447		0.0455836870104989	0.0158344425454202	0.00401448882573934	1	0.00401448882573934	0.00207787252147113
ALZ	sbrc	slope_PC3	EUR	4116	3447		-0.0270550450427235	0.0157055267825815	0.0850341231471194	1	0.0850341231471194	0.000731975462263798
ALZ	sbrc	baseline_thickness	full	8082	6789		0.0145855892175134	0.0110348452283879	0.186280628580238	1	0.186280628580238	0.000212739412822042
ALZ	sbrc	global_slope	full	8082	6789		-0.0247708628247128	0.0107150505529764	0.0208164377937978	1	0.0208164377937978	0.00061359564508074
ALZ	sbrc	slope_PC1	full	8082	6789		0.00886083754528553	0.0110717624898525	0.423556811109881	1	0.423556811109881	7.85144420039417e-05
ALZ	sbrc	slope_PC2	full	8082	6789		0.0158145448122527	0.0112887005918139	0.161279286080202	1	0.161279286080202	0.00025009982761875
ALZ	sbrc	slope_PC3	full	8082	6789		-0.00847564072445641	0.0110816062623749	0.444391487542732	1	0.444391487542732	7.18364856900639e-05
