disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	sbrc	baseline_thickness	EUR	4116	3447		-0.0181057965660903	0.0157506287063661	0.250405146619994	1	0.250405146619994	0.000327819869292647
ASD	sbrc	global_slope	EUR	4116	3447		-0.00317534142018679	0.0150851959665019	0.833293167005533	1	0.833293167005533	1.00827931347538e-05
ASD	sbrc	slope_PC1	EUR	4116	3447		0.0116184832707925	0.0156392564865365	0.457584393042016	1	0.457584393042016	0.000134989153513685
ASD	sbrc	slope_PC2	EUR	4116	3447		-0.0171546594743456	0.0159814206445451	0.283151745641913	1	0.283151745641913	0.000294282341680755
ASD	sbrc	slope_PC3	EUR	4116	3447		-0.0315740982572322	0.0158201965429708	0.0460235050322349	1	0.0460235050322349	0.000996923680757352
ASD	sbrc	baseline_thickness	full	8082	6789		-0.0109999858165612	0.0110328097402638	0.318782396030255	1	0.318782396030255	0.000120999687964547
ASD	sbrc	global_slope	full	8082	6789		0.0104023745797741	0.0107631780927193	0.333835340064797	1	0.333835340064797	0.000108209396897931
ASD	sbrc	slope_PC1	full	8082	6789		0.00861305067898006	0.0111216589946206	0.438694861702659	1	0.438694861702659	7.41846419986789e-05
ASD	sbrc	slope_PC2	full	8082	6789		0.00268380902104777	0.0113340144589521	0.812824055384026	1	0.812824055384026	7.20283086145736e-06
ASD	sbrc	slope_PC3	full	8082	6789		-0.0209490874998667	0.0111237398454569	0.0597003143576553	1	0.0597003143576553	0.00043886426707707
