disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
EA	sbrc	baseline_thickness	EUR	4116	3447	1154522	0.0181139814791006	0.0161753151399274	0.262842067935761	1	0.262842067935761	0.000328116325025199
EA	sbrc	global_slope	EUR	4116	3447	1154522	0.0244662642559606	0.0153423141071865	0.110864555564728	1	0.110864555564728	0.000598598086642495
EA	sbrc	slope_PC1	EUR	4116	3447	1154522	-0.00186356314911199	0.0158951927685348	0.906675703454705	1	0.906675703454705	3.47286761072821e-06
EA	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0158964080598208	0.0162675878516864	0.32854061796971	1	0.32854061796971	0.000252695789204335
EA	sbrc	slope_PC3	EUR	4116	3447	1154522	0.0164531763631833	0.0161235397548029	0.307582840128087	1	0.307582840128087	0.000270707012438013
EA	sbrc	baseline_thickness	full	8082	6789	1154522	0.0100993079442859	0.0156578632321381	0.518946206472944	1	0.518946206472944	0.000101996020953517
EA	sbrc	global_slope	full	8082	6789	1154522	0.014982560680362	0.0152157717393376	0.32481617308011	1	0.32481617308011	0.000224477124540728
EA	sbrc	slope_PC1	full	8082	6789	1154522	-0.000339822716970899	0.0157192474826667	0.982753045392716	1	0.982753045392716	1.15479478969483e-07
EA	sbrc	slope_PC2	full	8082	6789	1154522	0.00316939532862314	0.0160285019263844	0.843257695338862	1	0.843257695338862	1.00450667490982e-05
EA	sbrc	slope_PC3	full	8082	6789	1154522	0.00800663796943327	0.0157325833868632	0.610822604416264	1	0.610822604416264	6.41062515735704e-05
