disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDDeur	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.0177104980618786	0.0160451464138284	0.269748748082656	1	0.269748748082656	0.000313661741599806
MDDeur	sbrc	global_slope	EUR	4116	3447	1154522	-0.0172114050872886	0.0151996239817699	0.257555932379107	1	0.257555932379107	0.000296232465078743
MDDeur	sbrc	slope_PC1	EUR	4116	3447	1154522	0.00877509739346001	0.0157435313465042	0.577302939080105	1	0.577302939080105	7.70023342647086e-05
MDDeur	sbrc	slope_PC2	EUR	4116	3447	1154522	0.017724460653415	0.0161120712382698	0.271369668268452	1	0.271369668268452	0.000314156505454455
MDDeur	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.00461208836226331	0.0159721746374279	0.772782636948796	1	0.772782636948796	2.12713590613246e-05
MDDeur	sbrc	baseline_thickness	full	8082	6789	1154522	-0.00418691203044917	0.0112658646641149	0.710166448783806	1	0.710166448783806	1.753023235072e-05
MDDeur	sbrc	global_slope	full	8082	6789	1154522	-0.0192369580858667	0.0109082491641399	0.0778528993927314	1	0.0778528993927314	0.000370060556397394
MDDeur	sbrc	slope_PC1	full	8082	6789	1154522	0.017368481307861	0.0112677309461655	0.12325335429257	1	0.12325335429257	0.000301664142941516
MDDeur	sbrc	slope_PC2	full	8082	6789	1154522	0.0232145254608066	0.0114909016752111	0.0433923836029022	1	0.0433923836029022	0.000538914192370437
MDDeur	sbrc	slope_PC3	full	8082	6789	1154522	-0.00364600314635949	0.011280929371315	0.746552338684475	1	0.746552338684475	1.32933389432633e-05
