disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDDpooled	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.0163815563571387	0.01598997512565	0.305665018678645	1	0.305665018678645	0.000268355388682112
MDDpooled	sbrc	global_slope	EUR	4116	3447	1154522	-0.0193314527480359	0.0151626471110558	0.202408757134809	1	0.202408757134809	0.000373705065349544
MDDpooled	sbrc	slope_PC1	EUR	4116	3447	1154522	0.00517374931867464	0.0157077239477274	0.741889994772289	1	0.741889994772289	2.67676820124863e-05
MDDpooled	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0194814079843747	0.0160726390982827	0.225554726234827	1	0.225554726234827	0.000379525257053659
MDDpooled	sbrc	slope_PC3	EUR	4116	3447	1154522	0.00472517117340632	0.0159327126847026	0.76681073155115	1	0.76681073155115	2.232724261799e-05
MDDpooled	sbrc	baseline_thickness	full	8082	6789	1154522	-0.00137360213692494	0.0112431645512159	0.902765729491721	1	0.902765729491721	1.88678283056477e-06
MDDpooled	sbrc	global_slope	full	8082	6789	1154522	-0.0215378443002717	0.0108909774752774	0.048011944216721	1	0.048011944216721	0.000463878737102744
MDDpooled	sbrc	slope_PC1	full	8082	6789	1154522	0.0160506006085914	0.0112510928538811	0.153742474053753	1	0.153742474053753	0.000257621779896516
MDDpooled	sbrc	slope_PC2	full	8082	6789	1154522	0.0255876211802222	0.0114726248130691	0.0257554202079185	1	0.0257554202079185	0.000654726357662555
MDDpooled	sbrc	slope_PC3	full	8082	6789	1154522	0.00169109439855751	0.0112636113524784	0.880659889147221	1	0.880659889147221	2.85980026483258e-06
