disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	sbrc	baseline_thickness	EUR	4116	3447	1154522	0.0187796195830448	0.0159780131903115	0.239926432463433	1	0.239926432463433	0.000352674111683881
SCZeur	sbrc	global_slope	EUR	4116	3447	1154522	-0.0356339771574272	0.0152059008357554	0.0191581487935465	1	0.0191581487935465	0.00126978032805605
SCZeur	sbrc	slope_PC1	EUR	4116	3447	1154522	0.0252622692961975	0.0157616631474174	0.1090705528452	1	0.1090705528452	0.000638182249993604
SCZeur	sbrc	slope_PC2	EUR	4116	3447	1154522	0.00288981221174566	0.0161510973519393	0.858007092060846	1	0.858007092060846	8.35101461915432e-06
SCZeur	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.00894574933193288	0.0160787413913067	0.577989487872762	1	0.577989487872762	8.00264311097775e-05
SCZeur	sbrc	baseline_thickness	full	8082	6789	1154522	0.00306448409886165	0.0262648684566214	0.907119592830069	1	0.907119592830069	9.39106279217589e-06
SCZeur	sbrc	global_slope	full	8082	6789	1154522	-0.075242100150809	0.0255326784652044	0.00321959628649655	1	0.00321959628649655	0.00566137363510438
SCZeur	sbrc	slope_PC1	full	8082	6789	1154522	0.0808130206788994	0.0263752859675497	0.00219195281457299	1	0.00219195281457299	0.00653074431124822
SCZeur	sbrc	slope_PC2	full	8082	6789	1154522	0.0170265486971992	0.0269475450276465	0.527510005598003	1	0.527510005598003	0.000289903360538095
SCZeur	sbrc	slope_PC3	full	8082	6789	1154522	-0.0656483435264317	0.0265034748218243	0.0132718445492976	1	0.0132718445492976	0.00430970500776439
